old_teaching_unit_id	old_specialist_headword_de	distinct_surface_recipe_units	surfaces	component_recipes	root_sum_defaults_de	decision
W001	ABKÜHLEN	2	chary|ral	AR+Y|R+AL	QUELLE · POSTEN|MERKEN · ZIEL	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W002	ABLAUF	3	lar|lo|sheey	L+AR|L+O|SH+EE+Y	LEITEN · QUELLE|LEITEN · AUSFÜHREN|HALTEN · LÄNGER · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W004	ANWÄRMEN	2	oltchy|qotchol	OL+T+Y|OT+CH+OL	FORTSETZEN · STELLEN · POSTEN|DANACH · NEHMEN · FORTSETZEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W012	BECKEN	2	cheedar|qolchey	EE+AR|OL+Y	LÄNGER · QUELLE|FORTSETZEN · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W022	KLARLAUF	2	cheey|shey	SH+EE+Y|SH+E+Y	HALTEN · LÄNGER · POSTEN|HALTEN · KURZ · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W024	KUEHLEN	2	ody|tchody	O+DY|T+CH+O+DY	AUSFÜHREN · SCHLUSS|STELLEN · NEHMEN · AUSFÜHREN · SCHLUSS	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W033	SPÜLUNG	2	cheeety|tshey	EEE+T+Y|SH+E+Y	VOLL · STELLEN · POSTEN|HALTEN · KURZ · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W036	STELLE	2	lcheey|qolky	L+EE+Y|SOLK+Y	LEITEN · LÄNGER · POSTEN|AUFFANGEN · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W041	TUCH	2	dain|solkaiin	AIN|SOLK+AIIN	PORTION|AUFFANGEN · MASS	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W042	ÜBERLAUF	2	qockhey|sheckhy	O+CKH+E+Y|SH+E+CKH+Y	AUSFÜHREN · DURCHLASS · KURZ · POSTEN|HALTEN · KURZ · DURCHLASS · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W044	VORPOSTEN	2	dchol|schol	D_ADDR+OL|RESUME_CARD	TEIL · FORTSETZEN|WIEDER	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W046	WARMGRAD	3	lol|rol|shecthy	L+OL|R+OL|SH+E+CTH+Y	LEITEN · FORTSETZEN|MERKEN · FORTSETZEN|HALTEN · KURZ · BEREIT · POSTEN	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
W048	WASCHEN	3	choy|lkedy|rshedy	HO+Y|L+K+E+DY|R+SHED+DY	TEILSTOFF · POSTEN|LEITEN · GEBEN · KURZ · SCHLUSS|MERKEN · ABSETZEN · SCHLUSS	SPLIT_INTO_SURFACE_SPECIFIC_CONTEXTUAL_COMPOSITIONS
