whole	model	default_de	confidence	evidence_or_origin	main_unpaid_cost
otchol	N_G_Q_R	dieses?	C0_UNCONFIRMED	Unchanged GDT813 demonstrative trial	No identified referent; f32v quantity-pronominal use still owed
cthar	N_G_Q_R	Wurzel?	C0_UNCONFIRMED	Unchanged GDT813 concrete part guess	No independent root-name anchor; repeated cthar retained
chol	N_G_Q_R	trocken?	C0_UNCONFIRMED	Unchanged inherited quality rival	Humoral quality versus dried state or drying effect unresolved
dan	N_G_Q_R	sehr wenig?	C0_UNCONFIRMED	Unchanged GDT812 A whole family	No external scalar identity; amount and quality remain possible
dain	N_G_Q_R	wenig?	C0_UNCONFIRMED	Unchanged GDT812 A whole family	Comparison and numerical rivals retained
daiin	N_G_Q_R	viel?	C0_UNCONFIRMED	Unchanged GDT812 A whole family	Magnitude host and repeated-chain grammar unresolved
daiiin	N_G_Q_R	sehr viel?	C0_UNCONFIRMED	Unchanged GDT812 A whole family	No numbered IV identity or joint scope over multiple properties
okaiin	N	Pulver?	C0_UNCONFIRMED	Unchanged GDT813 material-form trial	No depicted powder or written grinding; astral contexts not explained by an invisible preparation
okaiin	G	ist?	C0_UNCONFIRMED	Unchanged GDT813 copula trial; f88r.22 remains favourable	Standalone local inscription needs additional syntax
okaiin	Q	warm?	C0_UNCONFIRMED	Declared whole-property trial; scalar contexts and historical material/astral quality architecture	No observed warmth; cold gives analogous constructions; not EVA-k or hot-III identity
okaiin	R	dessen?	C0_UNCONFIRMED	Declared anaphoric possessive genitive; historical N-eius and written cross-line head possible	Head category and owner unknown; standalone and okaiin dan need head ellipsis; not partitive davon
