metric_id	feature_id	metric_group	target_or_pair	scope	family_radius	numerator	denominator	value	display	interpretation	source	flower_vs_seed_identity_credit	component_credit
CF01_CHOR_D1_ED0	CF01	DRY_MOIST_POLARITY	chor	D1	0	36	54	0.666667	DRY 45 / MOIST 9; polarity 0.666667	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF01_CHOR_D1_ED1	CF01	DRY_MOIST_POLARITY	chor	D1	1	19	37	0.513514	DRY 28 / MOIST 9; polarity 0.513514	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF01_CHOR_D1_ED2	CF01	DRY_MOIST_POLARITY	chor	D1	2	5	19	0.263158	DRY 12 / MOIST 7; polarity 0.263158	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF01_CHOR_LINE_ED0	CF03	DRY_MOIST_POLARITY	chor	LINE	0	65	159	0.408805	DRY 112 / MOIST 47; polarity 0.408805	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF01_CHOR_LINE_ED1	CF03	DRY_MOIST_POLARITY	chor	LINE	1	43	137	0.313869	DRY 90 / MOIST 47; polarity 0.313869	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF01_CHOR_LINE_ED2	CF03	DRY_MOIST_POLARITY	chor	LINE	2	24	86	0.27907	DRY 55 / MOIST 31; polarity 0.279070	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF02_SHOR_D1_ED0	CF02	DRY_MOIST_POLARITY	shor	D1	0	-4	20	-0.2	DRY 8 / MOIST 12; polarity -0.200000	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF02_SHOR_D1_ED1	CF02	DRY_MOIST_POLARITY	shor	D1	1	3	13	0.230769	DRY 8 / MOIST 5; polarity 0.230769	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF02_SHOR_D1_ED2	CF02	DRY_MOIST_POLARITY	shor	D1	2	5	9	0.555556	DRY 7 / MOIST 2; polarity 0.555556	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF02_SHOR_LINE_ED0	CF03	DRY_MOIST_POLARITY	shor	LINE	0	-5	61	-0.081967	DRY 28 / MOIST 33; polarity -0.081967	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF02_SHOR_LINE_ED1	CF03	DRY_MOIST_POLARITY	shor	LINE	1	9	47	0.191489	DRY 28 / MOIST 19; polarity 0.191489	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF02_SHOR_LINE_ED2	CF03	DRY_MOIST_POLARITY	shor	LINE	2	16	30	0.533333	DRY 23 / MOIST 7; polarity 0.533333	Positive is dry-affine; negative is moist-affine.	GDT768_CORE_FAMILY_ABLATION	0	0
CF04_CHOR_D1_ED0_NAMED_STATE_WHOLES	CF04	EXACT_PART_STATE_FAMILY_PERSISTENCE	chor	D1	0	19	20	0.95	expected dry: chol=15, qokchol=2, cheor=2 (total 19); rival moist: shol=0, sheol=0, sheor=1 (total 1)	Exact complete-form donor counts measure local state-family alignment; they do not assign a plaintext value to any EVA substring.	GDT768_CORE_FAMILY_ABLATION_DONOR_SURFACES	0	0
