pair_id	first_surface	second_surface	line_count	page_count	occurrence_pair_count	direct_pair_count	first_before_second	second_before_first	loci	pages	identity_direction_credit	component_export_credit
G768-P01	chor	shor	8	8	8	3	5	3	f10r.9|f17r.5|f28v.4|f29r.8|f52r.5|f86v5.10|f8r.1|f8v.2	f10r|f17r|f28v|f29r|f52r|f86v5|f8r|f8v	0	0
G768-P02	chor	cthy	14	11	15	5	12	3	f10r.6|f15v.10|f15v.2|f15v.5|f17r.5|f29r.8|f3r.19|f3v.9|f45v.2|f6r.12|f6r.2|f6v.13|f9r.5|f9v.3	f10r|f15v|f17r|f29r|f3r|f3v|f45v|f6r|f6v|f9r|f9v	0	0
G768-P03	chor	dair	5	5	5	2	3	2	f113r.24|f114r.24|f17r.5|f2v.1|f3r.19	f113r|f114r|f17r|f2v|f3r	0	0
G768-P04	chor	kooiin	1	1	1	0	0	1	f2v.1	f2v	0	0
G768-P05	chor	koaiin	0	0	0	0	0	0	NONE	NONE	0	0
G768-P06	shor	cthy	8	7	10	3	8	2	f11r.5|f15r.13|f15r.5|f17r.5|f29r.8|f2r.2|f4r.8|f9r.1	f11r|f15r|f17r|f29r|f2r|f4r|f9r	0	0
G768-P07	shor	dair	2	2	2	0	2	0	f17r.5|f85r1.17	f17r|f85r1	0	0
G768-P08	shor	kooiin	1	1	1	1	0	1	f29v.1	f29v	0	0
G768-P09	shor	koaiin	0	0	0	0	0	0	NONE	NONE	0	0
G768-P10	cthy	dair	4	4	4	1	2	2	f11r.6|f17r.5|f36r.1|f3r.19	f11r|f17r|f36r|f3r	0	0
G768-P11	cthy	kooiin	0	0	0	0	0	0	NONE	NONE	0	0
G768-P12	cthy	koaiin	0	0	0	0	0	0	NONE	NONE	0	0
G768-P13	dair	kooiin	1	1	1	0	0	1	f2v.1	f2v	0	0
G768-P14	dair	koaiin	0	0	0	0	0	0	NONE	NONE	0	0
G768-P15	kooiin	koaiin	0	0	0	0	0	0	NONE	NONE	0	0
