multi_anchor_line_id	page	physical_folio	locus	line_number	section	language	hand	paragraph_start_line	paragraph_end_line	line_token_count	distinct_exact_anchor_count	exact_anchor_occurrence_count	exact_anchor_surfaces	exact_anchor_ordinals	exact_anchor_counts	written_line_eva	reader_exact_anchor_positions	confirmed_plaintext	component_export_credit
G768-M01	f10r	f10	f10r.6	6	H	A	1	1	0	9	2	2	cthy|chor	2|3	"{""chor"":1,""cthy"":1}"	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	1	0	0
G768-M02	f10r	f10	f10r.9	9	H	A	1	0	0	7	2	2	shor|chor	2|3	"{""chor"":1,""shor"":1}"	oykchor shor chor chy kaiiin dy chodaiin	1	0	0
G768-M03	f113r	f113	f113r.24	24	S	B	3	0	1	7	2	2	dair|chor	1|2	"{""chor"":1,""dair"":1}"	dair chor chopchey araiin or ral arody	1	0	0
G768-M04	f114r	f114	f114r.24	24	S	B	3	1	0	13	2	2	chor|dair	3|13	"{""chor"":1,""dair"":1}"	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	1	0	0
G768-M05	f11r	f11	f11r.5	5	H	A	1	1	0	11	2	3	shor|shor|cthy	2|3|7	"{""cthy"":1,""shor"":2}"	tchol shor shor dky y daiin cthy d y chodl daiin	1	0	0
G768-M06	f11r	f11	f11r.6	6	H	A	1	0	0	12	2	2	dair|cthy	8|10	"{""cthy"":1,""dair"":1}"	odl d s y otol chaiin ykchor dair chody cthy s daiin	1	0	0
G768-M07	f15r	f15	f15r.5	5	H	A	1	0	0	7	2	3	shor|cthy|cthy	3|4|6	"{""cthy"":2,""shor"":1}"	qotchy r shor cthy daiin cthy dy	1	0	0
G768-M08	f15r	f15	f15r.13	13	H	A	1	0	0	8	2	2	cthy|shor	4|7	"{""cthy"":1,""shor"":1}"	ykshol dor sheey cthy dain sky shor shoty	1	0	0
G768-M09	f15v	f15	f15v.2	2	H	A	1	0	0	8	2	2	chor|cthy	1|6	"{""chor"":1,""cthy"":1}"	chor or oro r aiin cthy ain dar	1	0	0
G768-M10	f15v	f15	f15v.5	5	H	A	1	0	0	6	2	2	chor|cthy	2|5	"{""chor"":1,""cthy"":1}"	otchor chor chor ytchor cthy s	1	0	0
G768-M11	f15v	f15	f15v.10	10	H	A	1	0	0	5	2	2	chor|cthy	2|4	"{""chor"":1,""cthy"":1}"	sor chor cthoiin cthy qokaiin	1	0	0
G768-M12	f17r	f17	f17r.5	5	H	A	1	0	0	9	4	4	cthy|chor|shor|dair	2|3|4|7	"{""chor"":1,""cthy"":1,""dair"":1,""shor"":1}"	ychekchy cthy chor shor cphor cphaldy dair cthey qody	1	0	0
G768-M13	f28v	f28	f28v.4	4	H	A	1	1	0	10	2	2	chor|shor	3|8	"{""chor"":1,""shor"":1}"	tshoiin cheor chor o chty qotol sheol shor daiin qoty	1	0	0
G768-M14	f29r	f29	f29r.8	8	H	A	1	0	0	8	3	3	shor|chor|cthy	1|2|8	"{""chor"":1,""cthy"":1,""shor"":1}"	shor chor shosheky shy qoty kody daiin cthy	1	0	0
G768-M15	f29v	f29	f29v.1	1	H	A	1	1	0	11	2	2	kooiin|shor	1|2	"{""kooiin"":1,""shor"":1}"	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin	1	0	0
G768-M16	f2r	f2	f2r.2	2	H	A	1	0	0	5	2	2	shor|cthy	4|5	"{""cthy"":1,""shor"":1}"	dorchory chkar s shor cthy	1	0	0
G768-M17	f2v	f2	f2v.1	1	H	A	1	1	0	8	3	3	kooiin|chor|dair	1|6|7	"{""chor"":1,""dair"":1,""kooiin"":1}"	kooiin cheo pchor otaiin odain chor dair shty	1	0	0
