surface	occurrence_count	physical_pages	truth_recipe	revised_working_recipe	gdt526_rank	gdt526_revised_rank	gdt526_top1	gdt527_rank	gdt527_revised_rank	gdt527_top1	gdt527_top5	truth_gdt526_score	truth_stem_feature	truth_gdt527_score	truth_stem_trace	top1_gdt526_score	top1_stem_feature	top1_gdt527_score	top1_stem_trace	top1_alignment_trace	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	9	9	AIIN+CH+T+Y	9	9	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+LOCAL_CHAR_I+CH+T+Y | A_ADDR+IIN+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_TRANSPARENT_LS_SUFFIX	5.733798402	0.000000000	5.733798402	NO_TRANSPARENT_LS_SUFFIX	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501	GDT526_ERROR_UNCHANGED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
akar	1	f66r	A_ADDR+K+AR	A_ADDR+K+AR	1	1	A_ADDR+K+AR	1	1	A_ADDR+K+AR	A_ADDR+K+AR | K+A_ADDR+AR | A_ADDR+K+R | A_ADDR+A_ADDR+K+AR | A_ADDR+K+A_ADDR+R	3.830351983	0.000000000	3.830351983	NO_TRANSPARENT_LS_SUFFIX	3.830351983	0.000000000	3.830351983	NO_TRANSPARENT_LS_SUFFIX	a=>a~A_ADDR@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | ar=>ar~AR@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
alkey	1	f66r	AL+K+E+Y	AL+K+E+Y	1	1	AL+K+E+Y	1	1	AL+K+E+Y	AL+K+E+Y | A_ADDR+L+K+E+Y | A_ADDR+AL+K+E+Y | AL+CH+Y+K+E | A_ADDR+L+CH+Y+K+E	3.942539772	0.000000000	3.942539772	NO_TRANSPARENT_LS_SUFFIX	3.942539772	0.000000000	3.942539772	NO_TRANSPARENT_LS_SUFFIX	al=>al~AL@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
axor	1	f66r	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR	1	1	A_ADDR+LOCAL_X+OR	1	1	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR | A_ADDR+LOCAL_X+O+R | A_ADDR+LOCAL_X+O+AR	3.377113959	0.000000000	3.377113959	NO_TRANSPARENT_LS_SUFFIX	3.377113959	0.000000000	3.377113959	NO_TRANSPARENT_LS_SUFFIX	a=>a~A_ADDR@edit0+alias0.000 | x=>x~LOCAL_X@edit0+alias0.000 | or=>or~OR@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
c	1	f66r	LOCAL_C	LOCAL_C	1	1	LOCAL_C	1	1	LOCAL_C	LOCAL_C | CH	3.334871375	0.000000000	3.334871375	NO_TRANSPARENT_LS_SUFFIX	3.334871375	0.000000000	3.334871375	NO_TRANSPARENT_LS_SUFFIX	c=>c~LOCAL_C@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
chady	1	f66r	CH+A_ADDR+DY	CH+A_ADDR+DY	1	1	CH+A_ADDR+DY	1	1	CH+A_ADDR+DY	CH+A_ADDR+DY | CH+DY | CH+A_ADDR+Y | CH+D_ADDR+Y | CH+Y	6.072581093	0.000000000	4.826647131	NO_TRANSPARENT_LS_SUFFIX	6.072581093	0.000000000	4.826647131	NO_TRANSPARENT_LS_SUFFIX	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
chap	1	f66r	CH+A_ADDR+P	CH+A_ADDR+P	1	1	CH+A_ADDR+P	1	1	CH+A_ADDR+P	CH+A_ADDR+P | CH+P | LOCAL_C+A_ADDR+P | LOCAL_C+SH+A_ADDR+P | CH+SH+A_ADDR+P	4.394574143	0.000000000	3.154574143	NO_TRANSPARENT_LS_SUFFIX	4.394574143	0.000000000	3.154574143	NO_TRANSPARENT_LS_SUFFIX	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | p=>p~P@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
chckhedy	1	f66r	CH+CH+K+E+DY	CH+CH+K+E+DY	1	1	CH+CH+K+E+DY	1	1	CH+CH+K+E+DY	CH+CH+K+E+DY | CH+K+E+DY | CH+CH+K+E+Y | CH+CH+K+E+D_ADDR+Y | CH+LOCAL_C+K+E+DY	4.042052192	0.000000000	4.042052192	NO_TRANSPARENT_LS_SUFFIX	4.042052192	0.000000000	4.042052192	NO_TRANSPARENT_LS_SUFFIX	ch=>ch~CH@edit0+alias0.000 | ckhe=>ckhe~CH+K+E@edit0+alias0.514 | dy=>dy~DY@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
chcpheor	1	f66r	CH+CH+P+E+OR	CH+CH+P+E+OR	1	1	CH+CH+P+E+OR	1	1	CH+CH+P+E+OR	CH+CH+P+E+OR | CH+CH+P+E+O+R | CH+P+E+OR | LOCAL_C+CH+CH+P+E+OR | LOCAL_C+CH+P+E+OR	4.197994858	0.000000000	4.197994858	NO_TRANSPARENT_LS_SUFFIX	4.197994858	0.000000000	4.197994858	NO_TRANSPARENT_LS_SUFFIX	chcph=>chcph~CH+CH+P@edit0+alias0.500 | e=>e~E@edit0+alias0.000 | or=>or~OR@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
chctho	1	f66r	CH+CH+T+O	CH+CH+T+O	1	1	CH+CH+T+O	1	1	CH+CH+T+O	CH+CH+T+O | CH+T+O | CH+CH+T+SH+O | CH+LOCAL_C+T+O | CH+CH+T+O+D_ADDR	3.070681291	0.000000000	3.070681291	NO_TRANSPARENT_LS_SUFFIX	3.070681291	0.000000000	3.070681291	NO_TRANSPARENT_LS_SUFFIX	chcth=>chcth~CH+CH+T@edit0+alias0.507 | o=>o~O@edit0+alias0.000	GDT526_CORRECT_PRESERVED	CERTIFIED_OLD_STEM_PLUS_TRANSPARENT_RIGHT_S
