surface	recipe	terminal_class
alol	AL+OL	ATOMIC_OL
arol	AR+OL	ATOMIC_OL
cfhol	CH+LOCAL_CHAR_F+OL	ATOMIC_OL
chckhol	CH+K+OL	ATOMIC_OL
chcthol	CH+CH+T+OL	ATOMIC_OL
chdol	CHD+OL	ATOMIC_OL
chedol	CHD+OL	ATOMIC_OL
cheeol	SH+EE+OL	ATOMIC_OL
chekeol	CH+K+E+OL	ATOMIC_OL
chekol	CH+K+OL	ATOMIC_OL
cheorol	CH+E+O+R+OL	ATOMIC_OL
chepol	CH+E+P+OL	ATOMIC_OL
chlol	L+OL	ATOMIC_OL
chokchol	OK+OL	ATOMIC_OL
chokeol	OK+E+OL	ATOMIC_OL
chokol	OK+OL	ATOMIC_OL
chol	OL	ATOMIC_OL
chotol	CH+OT+OL	ATOMIC_OL
ckhol	CH+K+OL	ATOMIC_OL
cpheeedol	CH+P+EEE+D_ADDR+OL	ATOMIC_OL
cphol	CH+P+OL	ATOMIC_OL
ctheol	CH+T+E+OL	ATOMIC_OL
cthol	CH+T+OL	ATOMIC_OL
dchol	D_ADDR+OL	ATOMIC_OL
dol	D_ADDR+OL	ATOMIC_OL
dolchsyckheol	D_ADDR+OL+CH+S+Y+CH+K+E+OL	ATOMIC_OL
dsheol	SH+E+OL	ATOMIC_OL
eol	E+OL	ATOMIC_OL
kalol	K+AL+OL	ATOMIC_OL
kchol	K+OL	ATOMIC_OL
keol	K+E+OL	ATOMIC_OL
kol	K+OL	ATOMIC_OL
lkeopol	L+K+E+O+P+OL	ATOMIC_OL
lol	L+OL	ATOMIC_OL
lolol	L+OL+OL	ATOMIC_OL
mol	M_LOCAL+OL	ATOMIC_OL
ochol	O+OL	ATOMIC_OL
octheol	O+CH+T+E+OL	ATOMIC_OL
okchol	OK+OL	ATOMIC_OL
okeedyqol	OK+EE+DY+OL	ATOMIC_OL
okeeol	OK+EE+OL	ATOMIC_OL
okeol	OK+E+OL	ATOMIC_OL
okol	OK+OL	ATOMIC_OL
ol	OL	ATOMIC_OL
olkeol	OL+K+E+OL	ATOMIC_OL
olol	OL+OL	ATOMIC_OL
olsheol	OL+K+E+OL	ATOMIC_OL
opcheeol	O+P+CH+EE+OL	ATOMIC_OL
opcheol	O+P+CH+E+OL	ATOMIC_OL
opodchol	O+P+O+D_ADDR+OL	ATOMIC_OL
opol	O+P+OL	ATOMIC_OL
otchol	OT+CH+OL	ATOMIC_OL
oteol	OT+E+OL	ATOMIC_OL
otol	OT+OL	ATOMIC_OL
otshol	OT+SH+OL	ATOMIC_OL
otytchol	OT+Y+T+CH+OL	ATOMIC_OL
pchodol	P+CH+O+D_ADDR+OL	ATOMIC_OL
pol	P+OL	ATOMIC_OL
porachol	P+O+R+A_ADDR+CH+OL	ATOMIC_OL
pshol	P+SH+OL	ATOMIC_OL
qockhol	CARRIER_Q+O+CH+K+OL	ATOMIC_OL
qoekeol	O+E+K+E+OL	ATOMIC_OL
qoekol	CARRIER_Q+O+E+K+OL	ATOMIC_OL
qokchol	OK+OL	ATOMIC_OL
qokedol	OK+E+D_ADDR+OL	ATOMIC_OL
qokeeol	OK+EE+OL	ATOMIC_OL
qokeol	OK+E+OL	ATOMIC_OL
qokol	OK+OL	ATOMIC_OL
qol	OL	ATOMIC_OL
qool	CARRIER_Q+O+OL	ATOMIC_OL
qopchol	CARRIER_Q+O+P+CH+OL	ATOMIC_OL
qopol	CARRIER_Q+O+P+OL	ATOMIC_OL
qotchol	OT+CH+OL	ATOMIC_OL
qoteeol	OT+EE+OL	ATOMIC_OL
qoteol	OT+E+OL	ATOMIC_OL
qotol	OT+OL	ATOMIC_OL
rol	R+OL	ATOMIC_OL
rorol	L+OL+OL	ATOMIC_OL
saiisol	S+A_ADDR+IIN+S+OL	ATOMIC_OL
sarol	S+AR+OL	ATOMIC_OL
shealol	SH+E+AL+OL	ATOMIC_OL
sheeol	SH+EE+OL	ATOMIC_OL
sheol	SH+E+OL	ATOMIC_OL
shepchol	SH+E+P+CH+OL	ATOMIC_OL
shol	SH+OL	ATOMIC_OL
shtol	SH+T+OL	ATOMIC_OL
sol	OL	ATOMIC_OL
solarol	S+OL+AR+OL	ATOMIC_OL
soteol	S+OT+E+OL	ATOMIC_OL
ssheol	S+SH+E+OL	ATOMIC_OL
tchodol	T+CH+O+D_ADDR+OL	ATOMIC_OL
tchol	T+OL	ATOMIC_OL
teol	E+OL	ATOMIC_OL
tochol	T+O+CH+OL	ATOMIC_OL
tol	T+OL	ATOMIC_OL
tshol	T+SH+OL	ATOMIC_OL
ychol	Y+OL	ATOMIC_OL
ykchol	Y+K+OL	ATOMIC_OL
ykeolol	Y+K+E+OL+OL	ATOMIC_OL
ykol	Y+K+OL	ATOMIC_OL
yksheol	SH+E+OL	ATOMIC_OL
yokeeol	Y+OK+EE+OL	ATOMIC_OL
ytol	Y+T+OL	ATOMIC_OL
chkorol	CH+K+OR	OTHER
olcheol	OL+CH+E+O+DY	OTHER
schol	RESUME_CARD	OTHER
cheol	CH+E+O+L	O_PLUS_L
ocheol	O+CH+E+O+L	O_PLUS_L
okearcheol	OK+E+AR+CH+E+O+L	O_PLUS_L
salcheol	S+AL+CH+E+O+L	O_PLUS_L
tcheol	T+CH+E+O+L	O_PLUS_L
ycheol	Y+CH+E+O+L	O_PLUS_L
