locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	atomic_reading_de	celestial_context_reading_de	orientation	cross_instrument_join	owner_class	owner_code	concrete_owner_de	dies_resolves_to_de	dort_quelle_resolves_to_de	stelle_resolves_to_de	owner_status	owner_expanded_reading_de	referent_rule	active_before_de	referent_resolved_locus_de	cross_locus_pronoun_carry
1	A1	f67r2	f67r2.1	A67_RIGHT_CELESTIAL_WHEEL	3	1|2|3	dies + zufuehren + dies; Sternbezug; von dort + Gegenfeld	dieser Eintrag; zuordnen; dieser Eintrag. Sternbezug. von dieser Position; Gegenfeld.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_01	Sektorplatz 1 des rechten Rades	Wert am rechten Sektorplatz 1	Sektorplatz 1 des rechten Rades	Sektorplatz 1 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 1 des rechten Rades: Wert am rechten Sektorplatz 1; zuordnen; Wert am rechten Sektorplatz 1. Sternbezug. von Sektorplatz 1 des rechten Rades; Gegenfeld.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 1	Bei Sektorplatz 1 des rechten Rades: Wert am rechten Sektorplatz 1; zuordnen; Wert am rechten Sektorplatz 1. Sternbezug. von Sektorplatz 1 des rechten Rades; Gegenfeld.	NONE
2	A1	f67r2	f67r2.2	A67_RIGHT_CELESTIAL_WHEEL	3	4|5|6	dies + zufuehren + kurz + Gabe; Arbeitsgang + hinausfuehren; laenger + dies + Schluss	dieser Eintrag; zuordnen; kurze Stufe; Eintrag. Lesegang; aus dem Bereich hinausfuehren. lange Stufe; dieser Eintrag; Eintrag schliessen.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_02	Sektorplatz 2 des rechten Rades	Wert am rechten Sektorplatz 2	Sektorplatz 2 des rechten Rades	Sektorplatz 2 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 2 des rechten Rades: Wert am rechten Sektorplatz 2; zuordnen; kurze Stufe; Wert am rechten Sektorplatz 2. Lesegang; aus dem Bereich hinausfuehren. lange Stufe; Wert am rechten Sektorplatz 2; Wert am rechten Sektorplatz 2 schliessen.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 2	Bei Sektorplatz 2 des rechten Rades: Wert am rechten Sektorplatz 2; zuordnen; kurze Stufe; Wert am rechten Sektorplatz 2. Lesegang; aus dem Bereich hinausfuehren. lange Stufe; Wert am rechten Sektorplatz 2; Wert am rechten Sektorplatz 2 schliessen.	NONE
3	A1	f67r2	f67r2.3	A67_RIGHT_CELESTIAL_WHEEL	3	7|8|9	kurz + dies; halten + Sternbezug; ansetzen + von dort	kurze Stufe; dieser Eintrag. beibehalten; Sternbezug. markieren; von dieser Position.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_03	Sektorplatz 3 des rechten Rades	Wert am rechten Sektorplatz 3	Sektorplatz 3 des rechten Rades	Sektorplatz 3 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 3 des rechten Rades: kurze Stufe; Wert am rechten Sektorplatz 3. beibehalten; Sternbezug. markieren; von Sektorplatz 3 des rechten Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 3	Bei Sektorplatz 3 des rechten Rades: kurze Stufe; Wert am rechten Sektorplatz 3. beibehalten; Sternbezug. markieren; von Sektorplatz 3 des rechten Rades.	NONE
4	A1	f67r2	f67r2.4	A67_RIGHT_CELESTIAL_WHEEL	2	10|11	halten + kurz + zufuehren + dies; dies + zufuehren + Arbeitsgang + Sternbezug	beibehalten; kurze Stufe; zuordnen; dieser Eintrag. dieser Eintrag; zuordnen; Lesegang; Sternbezug.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_04	Sektorplatz 4 des rechten Rades	Wert am rechten Sektorplatz 4	Sektorplatz 4 des rechten Rades	Sektorplatz 4 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 4 des rechten Rades: beibehalten; kurze Stufe; zuordnen; Wert am rechten Sektorplatz 4. Wert am rechten Sektorplatz 4; zuordnen; Lesegang; Sternbezug.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 4	Bei Sektorplatz 4 des rechten Rades: beibehalten; kurze Stufe; zuordnen; Wert am rechten Sektorplatz 4. Wert am rechten Sektorplatz 4; zuordnen; Lesegang; Sternbezug.	NONE
5	A1	f67r2	f67r2.5	A67_RIGHT_CELESTIAL_WHEEL	2	12|13	dies + zufuehren + kurz + Arbeitsgang + dies; dies ansetzen	dieser Eintrag; zuordnen; kurze Stufe; Lesegang; dieser Eintrag. markieren; dieser Eintrag.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_05	Sektorplatz 5 des rechten Rades	Wert am rechten Sektorplatz 5	Sektorplatz 5 des rechten Rades	Sektorplatz 5 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 5 des rechten Rades: Wert am rechten Sektorplatz 5; zuordnen; kurze Stufe; Lesegang; Wert am rechten Sektorplatz 5. markieren; Wert am rechten Sektorplatz 5.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 5	Bei Sektorplatz 5 des rechten Rades: Wert am rechten Sektorplatz 5; zuordnen; kurze Stufe; Lesegang; Wert am rechten Sektorplatz 5. markieren; Wert am rechten Sektorplatz 5.	NONE
6	A1	f67r2	f67r2.6	A67_RIGHT_CELESTIAL_WHEEL	1	14	Teiladresse + entnehmen + kurz + eintragen + Nebenadresse + dies	Teiladresse; Eintrag entnehmen; kurze Stufe; eintragen; Nebenadresse; dieser Eintrag.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_06	Sektorplatz 6 des rechten Rades	Wert am rechten Sektorplatz 6	Sektorplatz 6 des rechten Rades	Sektorplatz 6 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 6 des rechten Rades: Teiladresse; Wert am rechten Sektorplatz 6 entnehmen; kurze Stufe; eintragen; Nebenadresse; Wert am rechten Sektorplatz 6.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 6	Bei Sektorplatz 6 des rechten Rades: Teiladresse; Wert am rechten Sektorplatz 6 entnehmen; kurze Stufe; eintragen; Nebenadresse; Wert am rechten Sektorplatz 6.	NONE
7	A1	f67r2	f67r2.7	A67_RIGHT_CELESTIAL_WHEEL	3	15|16|17	dies + zufuehren + dies; dies kurz zuführen; dies + zufuehren + dies + Sternbezug	dieser Eintrag; zuordnen; dieser Eintrag. zuordnen; kurze Stufe; dieser Eintrag. dieser Eintrag; zuordnen; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_07	Sektorplatz 7 des rechten Rades	Wert am rechten Sektorplatz 7	Sektorplatz 7 des rechten Rades	Sektorplatz 7 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 7 des rechten Rades: Wert am rechten Sektorplatz 7; zuordnen; Wert am rechten Sektorplatz 7. zuordnen; kurze Stufe; Wert am rechten Sektorplatz 7. Wert am rechten Sektorplatz 7; zuordnen; Wert am rechten Sektorplatz 7; Sternbezug.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 7	Bei Sektorplatz 7 des rechten Rades: Wert am rechten Sektorplatz 7; zuordnen; Wert am rechten Sektorplatz 7. zuordnen; kurze Stufe; Wert am rechten Sektorplatz 7. Wert am rechten Sektorplatz 7; zuordnen; Wert am rechten Sektorplatz 7; Sternbezug.	NONE
8	A1	f67r2	f67r2.8	A67_RIGHT_CELESTIAL_WHEEL	1	18	anheben + umsetzen + von dort	Stufe anheben; uebertragen; von dieser Position.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_08	Sektorplatz 8 des rechten Rades	Wert am rechten Sektorplatz 8	Sektorplatz 8 des rechten Rades	Sektorplatz 8 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 8 des rechten Rades: Stufe anheben; uebertragen; von Sektorplatz 8 des rechten Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 8	Bei Sektorplatz 8 des rechten Rades: Stufe anheben; uebertragen; von Sektorplatz 8 des rechten Rades.	NONE
9	A1	f67r2	f67r2.9	A67_RIGHT_CELESTIAL_WHEEL	2	19|20	dies + zufuehren + von dort; dies + zufuehren + Stelle + dies	dieser Eintrag; zuordnen; von dieser Position. dieser Eintrag; zuordnen; Position; dieser Eintrag.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_09	Sektorplatz 9 des rechten Rades	Wert am rechten Sektorplatz 9	Sektorplatz 9 des rechten Rades	Sektorplatz 9 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 9 des rechten Rades: Wert am rechten Sektorplatz 9; zuordnen; von Sektorplatz 9 des rechten Rades. Wert am rechten Sektorplatz 9; zuordnen; Sektorplatz 9 des rechten Rades; Wert am rechten Sektorplatz 9.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 9	Bei Sektorplatz 9 des rechten Rades: Wert am rechten Sektorplatz 9; zuordnen; von Sektorplatz 9 des rechten Rades. Wert am rechten Sektorplatz 9; zuordnen; Sektorplatz 9 des rechten Rades; Wert am rechten Sektorplatz 9.	NONE
10	A1	f67r2	f67r2.10	A67_RIGHT_CELESTIAL_WHEEL	3	21|22|23	fuehren + zufuehren + dies; dies zuführen; ansetzen + von dort	fuehren; zuordnen; dieser Eintrag. zuordnen; dieser Eintrag. markieren; von dieser Position.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_10	Sektorplatz 10 des rechten Rades	Wert am rechten Sektorplatz 10	Sektorplatz 10 des rechten Rades	Sektorplatz 10 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 10 des rechten Rades: fuehren; zuordnen; Wert am rechten Sektorplatz 10. zuordnen; Wert am rechten Sektorplatz 10. markieren; von Sektorplatz 10 des rechten Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 10	Bei Sektorplatz 10 des rechten Rades: fuehren; zuordnen; Wert am rechten Sektorplatz 10. zuordnen; Wert am rechten Sektorplatz 10. markieren; von Sektorplatz 10 des rechten Rades.	NONE
