statement_id	register	record_unit_id	page	owner_code	concrete_owner_de	events	reference_tokens_resolved	owner_reset	unresolved_invisible_targets	referent_resolved_statement_de
H1-S001	HERBAL	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	10	6	YES	0	Material dieser Pflanze kurz abziehen; Ansatz bereit; von laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze fuellen; Gefäß; Wasser abziehen; danach Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze fuellen und weiter abziehen; verwende entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze; Mass; entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze kurz fuellen.
H1-S002	HERBAL	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	4	1	NO	0	entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze ansetzen; danach weiter abziehen; fortsetzen; bereit.
H2-S001	HERBAL	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	9	4	YES	0	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze bereit weiterführen; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; Mass; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze.
H2-S002	HERBAL	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	8	1	NO	0	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; von laufender Ansatz bei breitblättrige gezähnte Blütenpflanze.
H2-S003	HERBAL	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	7	3	NO	0	laufender Ansatz bei breitblättrige gezähnte Blütenpflanze dem Ansatz zuführen; Ansatz; Ansatz; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; bis zur Sollstufe zuführen; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; auf Maß abziehen.
H3-S001	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	7	2	YES	1	weiter gefuellt halten; an der Stelle halten; auswringen; Material dieser Pflanze bis zum Maß halten; Material dieser Pflanze hineinführen; Klarauszug; fuellen und abziehen; Schluss.
H3-S002	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	1	1	NO	0	entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone halten und fuellen.
H3-S003	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	5	3	NO	0	fortsetzen; entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone; entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone zuführen; entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone; Mass.
H3-S004	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	4	1	NO	0	nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten bei dicht beblätterte Pflanze mit blauer Blütenkrone.
H4-S001	HERBAL	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	5	0	YES	0	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.
H4-S002	HERBAL	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	3	1	NO	0	Mass; abgeteilte Portion von abgeteilte Portion von Material dieser Pflanze umsetzen; verwahren.
H4-S003	HERBAL	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	4	2	NO	0	abgeteilte Portion von abgeteilte Portion von Material dieser Pflanze auf Maß zuführen; Auszug aus der Quelle; abgeteilte Portion von abgeteilte Portion von Material dieser Pflanze länger wärmen; fortsetzen; Schluss.
H4-S004	HERBAL	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	6	2	NO	1	Mass; an die Stelle setzen; abgeteilte Portion von abgeteilte Portion von Material dieser Pflanze weiter fuellen; Ansatz; laufender Ansatz bei breitblättrige Rispenpflanze mit auffälligem Wurzelkörper; Ansatzportion.
H5-S001	HERBAL	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	9	1	YES	2	Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Stelle; Mass; Zutat; weiter zuführen; danach Ansatz abziehen; verwende laufender Ansatz bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze; Stelle.
H5-S002	HERBAL	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	4	1	NO	0	fortsetzen; diese Zutat; verwende Zugabe bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze; länger durch den Durchlass; Schluss.
H5-S003	HERBAL	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	4	2	NO	0	halten; Zutat; Zugabe bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze kurz zuführen; Zugabe bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze erneut ansetzen.
H5-S004	HERBAL	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	3	1	NO	1	Zugabe bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze ansetzen; Auszug ansetzen; an die Stelle zuführen.
H5-S005	HERBAL	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	4	1	NO	0	Zutat; Zugabe bei mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze ansetzen; Zutat aus dem Vorrat zuführen; danach eine Portion.
H5-S006	HERBAL	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	3	0	NO	0	nächster Posten; kurz weiter zuführen; Mass.
B1-S001	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	1	0	YES	0	kurz ansetzen; Schluss.
B1-S002	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	19	1	NO	0	bemessen; Wasser zufuehren; an die Stelle setzen; von Laufflüssigkeit bei gemeinsame zweireihige Figuren- und Beckenanlage; fortsetzen; eine Portion; weitere Portion; Stelle; fortsetzen; weiter abkuehlen; weiterfuehren; weiterer Ansatz; fortsetzen; kurz an der Durchlassstelle; Mass; länger an der Stelle halten; Mass; durchführen; umsetzen; Schluss.
B1-S003	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	2	0	NO	0	fortsetzen; gebuendelt umsetzen; Schluss.
B1-S004	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	3	1	NO	0	laufender Ansatz bei gemeinsame zweireihige Figuren- und Beckenanlage umsetzen; fortsetzen; absetzen; Schluss.
B1-S005	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	1	0	NO	0	weiterführen; Schluss.
B1-S006	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	4	0	NO	0	eine Portion zugeben; durchführen; weiterfuehren; an der Stelle abkuehlen.
B1-S007	BIOLOGICAL	B1	f81v	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	1	0	NO	0	Ansatz umsetzen; Schluss.
