surface	occurrence_count	pages	registers	content_classes	decision_tier	semantic_status	selected_recipe_or_whole_class	short_default_de	confidence	source_event_ids
aiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AIIN	WERT	HIGH_WORKING	P1008-E0355
ainaly	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0286
ainam	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	C_SHORT_OR_REPEATED_COMPOSITION	PROVISIONAL_ADDRESS_FORMULA	AIN+AM_ADDR	ANTEIL · HIER	MEDIUM_CREATIVE	P1008-E0141
airal	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	C_SHORT_OR_REPEATED_COMPOSITION	PROVISIONAL_ADDRESS_FORMULA	AIR+AL	BAHN · ZIELORT	MEDIUM_CREATIVE	P1008-E0419
al	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AL	ZIELORT	HIGH_WORKING	P1008-E0357
alaly	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0360
alcphy	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0600
alif	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0135
aly	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AL+Y	ZIELORT · POSTEN	HIGH_WORKING	P1003-E0605
am	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AM_ADDR	HIER	HIGH_WORKING	P1003-E0607
ar	3	f71v|f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AR	AUSGANG	HIGH_WORKING	P1003-E0604|P1003-E0610|P1008-E0130
aral	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	C_SHORT_OR_REPEATED_COMPOSITION	PROVISIONAL_ADDRESS_FORMULA	AR+AL	AUSGANG · ZIELORT	MEDIUM_CREATIVE	P1008-E0458
ararchodaiin	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1042
arody	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0417
arom	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0596
ary	3	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	B_ATTESTED_RECIPE_NEW_SURFACE	PORTABLE_ADDRESS_FORMULA	AR+Y	AUSGANG · POSTEN	HIGH_WORKING	P1008-E0131|P1008-E0175|P1008-E0242
char	2	f71v|f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AR	AUSGANG	HIGH_WORKING	P1003-E0595|P1008-E0134
chdaiirdainy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0128
cheocthy	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0414
cheody	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	CH+E+O+Y	NEHMEN · GRAD I · AUSFÜHRUNG · POSTEN	HIGH_WORKING	P1008-E1299
