event_serial	page	locus	record_unit_id	field_id	statement_id	exact_card_id	surface_display_only	literal_exact_card_layer	v71_whole_plant_owner	owner_status	default_slot_type	concrete_german_default	source_layer	known_card	known_formal_prompt	parse_status	terminal_status	working_confidence	confidence_label	confidence_scope	strongest_alternative	contradiction	v70_image_constraint	semantic_ceiling
1	f10r	f10r.2	H1	F001	H1-S001	65f320e75510b2f38182	dchey	EXACT_CARD_ID=65f320e75510b2f38182 | SURFACE_DISPLAY_ONLY=dchey | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	PART_ARGUMENT	Nimm vom ganzen abgebildeten Kraut den kräftigen unteren Wurzelstock.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.39	LOW_MEDIUM_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
2	f10r	f10r.2	H1	F001	H1-S001	dedc383b600397a301ee	cthoor	EXACT_CARD_ID=dedc383b600397a301ee | SURFACE_DISPLAY_ONLY=cthoor | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	PREPARATION_ACTION	Säubere ihn vollständig von Erde.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.45	LOW_MEDIUM_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
3	f10r	f10r.2	H1	F001	H1-S001	4d4559019a961b834aa1	char	EXACT_CARD_ID=4d4559019a961b834aa1 | SURFACE_DISPLAY_ONLY=char | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	MEDIUM_ACTION	Wasche ihn mit frischem Quellwasser.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.35	LOW_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Erde und Fremdstoff mit Wasser abwaschen.	Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
4	f10r	f10r.2	H1	F001	H1-S001	80ebbbbf238eee9f0aef	chty	EXACT_CARD_ID=80ebbbbf238eee9f0aef | SURFACE_DISPLAY_ONLY=chty | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	PREPARATION_ACTION	Schneide ihn in kleine Stücke.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.45	LOW_MEDIUM_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	beschädigte Fasern aussortieren.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
5	f10r	f10r.2	H1	F001	H1-S001	df1098831679a8ad1b39	os	EXACT_CARD_ID=df1098831679a8ad1b39 | SURFACE_DISPLAY_ONLY=os | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	VESSEL_ACTION	Gib die Stücke in einen irdenen Topf.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.45	LOW_MEDIUM_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	sauberen Wurzelstock grob schneiden.	Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
6	f10r	f10r.2	H1	F001	H1-S001	12efe866f335461823a6	chair	EXACT_CARD_ID=12efe866f335461823a6 | SURFACE_DISPLAY_ONLY=chair | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	MEDIUM_ACTION	Bedecke sie mit Quellwasser.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.35	LOW_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Schnittgut im Mazeriergefäß mit Wasser bedecken.	Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
7	f10r	f10r.2	H1	F001	H1-S001	62ff059766b21c7de083	otytchol	EXACT_CARD_ID=62ff059766b21c7de083 | SURFACE_DISPLAY_ONLY=otytchol | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	PREPARATION_ACTION	Koche sie gelinde und fange den ersten Auszug gesondert auf.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.45	LOW_MEDIUM_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Auszug umrühren und eine Prüfportion abnehmen.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
8	f10r	f10r.2	H1	F001	H1-S001	276a7c2d74d1143446f4	oky	EXACT_CARD_ID=276a7c2d74d1143446f4 | SURFACE_DISPLAY_ONLY=oky | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=ANWENDEN? | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=EXACT_WORKING_MNEMONIC	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	USE_ACTION	Gebrauche den frischen Auszug innerlich.	KNOWN_CARD_WITH_EXEMPLAR_FILL	ANWENDEN?	NONE	UNIQUE_EXACT	NONCLOSE	0.52	MEDIUM_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01.	ANWENDEN? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
9	f10r	f10r.2	H1	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	EXACT_CARD_ID=2f1c5e56e8f0ff459065 | SURFACE_DISPLAY_ONLY=daiin | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=MASS? | KNOWN_FORMAL=VORGABEPARAMETER? | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=MNEMONIC_AND_FORMAL_CHANNELS	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	MEASURE_ARGUMENT	Nimm davon das im Exemplar vorgeschriebene kleine Maß.	KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL	MASS?	VORGABEPARAMETER?	UNIQUE_CONVERGENT_CHANNELS	NONCLOSE	0.66	MEDIUM_HIGH_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	Sollwert für die Prüfportion in das Losregister eintragen.	MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
10	f10r	f10r.2	H1	F001	H1-S001	a6939862e33ece5a0483	etyd	EXACT_CARD_ID=a6939862e33ece5a0483 | SURFACE_DISPLAY_ONLY=etyd | OPAQUE_FORMULA=OPAQUE_PAYLOAD | KNOWN_CARD=NONE | KNOWN_FORMAL=NONE | TERMINAL=NONCLOSE | V69_CONTROL_CLASS=UNKNOWN_EXEMPLAR_WHOLE_CARD	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	INDICATION_AND_STORAGE	Gib es bei stechendem Leibschmerz und bewahre den übrigen Wurzelstock trocken verschlossen auf.	EXEMPLAR_ONLY	NONE	NONE	UNPARSED_EXEMPLAR	NONCLOSE	0.35	LOW_INTERNAL	INTERNAL_THIRD_EDITION_COHERENCE_NOT_DECIPHERMENT_PROBABILITY	trockenen Rest als H1-R02 verwahren.	Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	NARROW_SPECIES_AND_IMAGE_BASED_WATER_DEFAULT_WITHDRAWN	OCCURRENCE_SPECIFIC_EXEMPLAR_DEFAULT_NOT_CARD_STEM_WORD_OR_SPECIES_MEANING
