field_row	field_id	record_unit_id	page	locus	statement_id	event_count	event_serials	v71_whole_plant_owner	owner_status	field_role	literal_exact_card_sequence	complete_event_default_sequence	readable_field_text	source_layer_counts	minimum_working_confidence	mean_working_confidence	strongest_alternative	contradiction	v72_selected_statement_paraphrase	semantic_ceiling
1	F001	H1	f10r	f10r.2	H1-S001	10	1|2|3|4|5|6|7|8|9|10	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	ROOT_EXTRACTION_AND_FIRST_USE	E001:65f320e75510b2f38182 > E002:dedc383b600397a301ee > E003:4d4559019a961b834aa1 > E004:80ebbbbf238eee9f0aef > E005:df1098831679a8ad1b39 > E006:12efe866f335461823a6 > E007:62ff059766b21c7de083 > E008:276a7c2d74d1143446f4[CARD:ANWENDEN?] > E009:2f1c5e56e8f0ff459065[CARD:MASS?][FORMAL:VORGABEPARAMETER?] > E010:a6939862e33ece5a0483	E001=Nimm vom ganzen abgebildeten Kraut den kräftigen unteren Wurzelstock. | E002=Säubere ihn vollständig von Erde. | E003=Wasche ihn mit frischem Quellwasser. | E004=Schneide ihn in kleine Stücke. | E005=Gib die Stücke in einen irdenen Topf. | E006=Bedecke sie mit Quellwasser. | E007=Koche sie gelinde und fange den ersten Auszug gesondert auf. | E008=Gebrauche den frischen Auszug innerlich. | E009=Nimm davon das im Exemplar vorgeschriebene kleine Maß. | E010=Gib es bei stechendem Leibschmerz und bewahre den übrigen Wurzelstock trocken verschlossen auf.	Erste Wurzelbereitung. Nimm vom ganzen abgebildeten Kraut den kräftigen unteren Wurzelstock. Säubere ihn vollständig von Erde. Wasche ihn mit frischem Quellwasser. Schneide ihn in kleine Stücke. Gib die Stücke in einen irdenen Topf. Bedecke sie mit Quellwasser. Koche sie gelinde und fange den ersten Auszug gesondert auf. Gebrauche den frischen Auszug innerlich. Nimm davon das im Exemplar vorgeschriebene kleine Maß. Gib es bei stechendem Leibschmerz und bewahre den übrigen Wurzelstock trocken verschlossen auf.	"{""EXEMPLAR_ONLY"": 8, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.442	Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen. unteren Wurzelstock als sichtbaren Pflanzenteil wählen. Erde und Fremdstoff mit Wasser abwaschen. beschädigte Fasern aussortieren. sauberen Wurzelstock grob schneiden. Schnittgut im Mazeriergefäß mit Wasser bedecken. Auszug umrühren und eine Prüfportion abnehmen. aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01. Sollwert für die Prüfportion in das Losregister eintragen. trockenen Rest als H1-R02 verwahren.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. ANWENDEN? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; Indikation, Gebrauch und Zielstelle sind nicht abgebildet. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung. Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	Von der ganzen abgebildeten Pflanze: nimm einen Teil der Wurzel, säubere und zerkleinere ihn, bereite daraus mit einem nicht abgebildeten Medium einen Auszug, gebrauche den vorgeschriebenen Anteil und verwahre den Rest trocken.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
2	F002	H1	f10r	f10r.5	H1-S002	4	11|12|13|14	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SECOND_WARM_USE	E011:9ad66e67803a12e745de > E012:e8a6105b5c3a6220b440 > E013:dcda95c81a5460feb191[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E014:e0b630cb1b5df5e7105b[CARD:BEREIT?]	E011=Nimm für den zweiten Gebrauch einen frischen Anteil des ersten Auszugs. | E012=Erwärme ihn gelinde bis handwarm. | E013=Führe ihn als Fortsetzung derselben Wurzelbereitung weiter. | E014=Gebrauche ihn, sobald der im Exemplar bezeichnete Bereitschaftszustand erreicht ist.	Zweiter Gebrauch desselben Wurzelansatzes. Nimm für den zweiten Gebrauch einen frischen Anteil des ersten Auszugs. Erwärme ihn gelinde bis handwarm. Führe ihn als Fortsetzung derselben Wurzelbereitung weiter. Gebrauche ihn, sobald der im Exemplar bezeichnete Bereitschaftszustand erreicht ist.	"{""EXEMPLAR_ONLY"": 2, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.45	0.545	gelagerten Wurzelrest H1-R02 aufnehmen. zweiten Auszug gelinde erwärmen. formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen. Arbeitsstand H1-P02 freigeben.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. AKTIVEN_ARBEITSSTAND_VERKNÜPFEN ist eine formale Slotanweisung, keine Übersetzung. BEREIT? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung.	Vom selben Pflanzenartikel: erwärme einen frischen Auszug, führe ihn als Fortsetzung der vorherigen Bereitung und gebrauche ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
3	F003	H2	f10r	f10r.6	H2-S001	9	15|16|17|18|19|20|21|22|23	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	FIRST_AERIAL_HARVEST	E015:7249edc4df3419c26999 > E016:e0b630cb1b5df5e7105b[CARD:BEREIT?] > E017:7a4bb8136330ee4e6e56[CARD:ANSATZ?] > E018:f3c23f42baf625639e1e > E019:af816c04e65874a0f2fa > E020:b921a237be883a820352 > E021:b921a237be883a820352 > E022:2f1c5e56e8f0ff459065[CARD:MASS?] > E023:b921a237be883a820352	E015=Nimm Blütenköpfe und junge Blätter der ganzen abgebildeten Pflanze. | E016=Ernte sie, wenn die ersten Köpfe sich eben öffnen. | E017=Führe diese Ernte als ersten frischen Ansatz. | E018=Zerstoße das Kraut grob. | E019=Presse die Pflanzenflüssigkeit durch ein Leinentuch aus. | E020=Fange die erste Flüssigkeitsfraktion getrennt auf. | E021=Gib etwas Olivenöl hinzu. | E022=Nimm das im Exemplar vorgeschriebene Maß. | E023=Erwärme den Ansatz gelinde.	Erster Posten aus oberirdischen Teilen. Nimm Blütenköpfe und junge Blätter der ganzen abgebildeten Pflanze. Ernte sie, wenn die ersten Köpfe sich eben öffnen. Führe diese Ernte als ersten frischen Ansatz. Zerstoße das Kraut grob. Presse die Pflanzenflüssigkeit durch ein Leinentuch aus. Fange die erste Flüssigkeitsfraktion getrennt auf. Gib etwas Olivenöl hinzu. Nimm das im Exemplar vorgeschriebene Maß. Erwärme den Ansatz gelinde.	"{""EXEMPLAR_ONLY"": 6, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 3}"	0.35	0.489	Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen. Erntegut als verarbeitungsbereit markieren. gepresste Arbeitsflüssigkeit H2-P01 als aktiven Ansatz führen. Stängel und obere Blätter grob quetschen. austretende Pflanzenflüssigkeit auffangen. Pressgut mit Wasser nachziehen. beide Flüssigkeiten zusammenführen. Sollmenge für H2-P01 buchen. Pressrückstand als Nebenfraktion H2-R02 markieren.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. BEREIT? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. ANSATZ? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung.	Von der ganzen abgebildeten Pflanze: sammle einen oberirdischen Teil zur passenden Reife, zerstoße und presse ihn, führe die Flüssigkeit als neuen Ansatz und bemesse den zuzubereitenden Anteil.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
4	F004	H2	f10r	f10r.8	H2-S002	8	24|25|26|27|28|29|30|31	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EARLY_HARVEST_COMPARISON	E024:10488b911aae52b3b334 > E025:7a4bb8136330ee4e6e56[CARD:ANSATZ?] > E026:497cbd9c7401810ff56b > E027:dcda95c81a5460feb191[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E028:dec401773c1f0347793d[CARD:VORIGES?] > E029:dcda95c81a5460feb191[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > E030:2f1c5e56e8f0ff459065[CARD:MASS?][FORMAL:VORGABEPARAMETER?] > E031:4d4559019a961b834aa1	E024=Nimm vor voller Blüte eine zweite Portion der Spitzen. | E025=Halte den ersten Presssaft als laufenden Ansatz bereit. | E026=Nimm von der zweiten Ernte eine Handvoll. | E027=Verknüpfe diese Portion im Register mit dem laufenden Ansatz. | E028=Nimm den vorigen Ansatz zum Vergleich wieder auf. | E029=Führe beide Ansätze im Register als zusammengehöriges Vergleichspaar. | E030=Bemesse beide mit demselben im Exemplar vorgeschriebenen Maß. | E031=Verarbeite beide getrennt auf dieselbe Weise.	Frühere Vergleichsernte. Nimm vor voller Blüte eine zweite Portion der Spitzen. Halte den ersten Presssaft als laufenden Ansatz bereit. Nimm von der zweiten Ernte eine Handvoll. Verknüpfe diese Portion im Register mit dem laufenden Ansatz. Nimm den vorigen Ansatz zum Vergleich wieder auf. Führe beide Ansätze im Register als zusammengehöriges Vergleichspaar. Bemesse beide mit demselben im Exemplar vorgeschriebenen Maß. Verarbeite beide getrennt auf dieselbe Weise.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 2}"	0.39	0.564	frühe Erntefraktion H2-R03 eröffnen. H2-P01 als aktiven Ansatz ansprechen. eine Teilmenge H2-R03 in ein Vergleichsgefäß geben. formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen. vorige Charge H2-P01 wieder aufnehmen. diese vorige Charge an Vergleich H2-P02 verknüpfen. Sollmenge für H2-P02 buchen. frühe Fraktion vollständig mazerieren.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. ANSATZ? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. AKTIVEN_ARBEITSSTAND_VERKNÜPFEN ist eine formale Slotanweisung, keine Übersetzung. VORIGES? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung.	Vom selben Artikel: nimm vor voller Blüte eine Handvoll Pflanzenstoff, entnimm daraus einen Anteil, verknüpfe ihn mit der vorherigen Bereitung und halte das vorgeschriebene Maß ein.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
5	F005	H2	f10r	f10r.9	H2-S003	7	32|33|34|35|36|37|38	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	PARALLEL_SALVE_AND_USE	E032:27d97af8c96eb056c2e6 > E033:7a4bb8136330ee4e6e56[CARD:ANSATZ?] > E034:7a4bb8136330ee4e6e56[CARD:ANSATZ?] > E035:b921a237be883a820352 > E036:409de02322e7b2ca0c62 > E037:b921a237be883a820352 > E038:834825c61d048a6b5628	E032=Gib die beiden Fraktionen in zwei getrennte glasierte Gefäße. | E033=Führe die frühere Fraktion als ersten aktiven Ansatz. | E034=Führe die spätere Fraktion als zweiten aktiven Ansatz. | E035=Rühre beide bei kleinem Feuer. | E036=Lasse beide eindicken, bis eine weiche Salbe entsteht. | E037=Bewahre beide bedeckt auf. | E038=Lege die passendere Salbe äußerlich auf ein Geschwür oder eine harte Schwellung.	Parallele Salbenbereitung. Gib die beiden Fraktionen in zwei getrennte glasierte Gefäße. Führe die frühere Fraktion als ersten aktiven Ansatz. Führe die spätere Fraktion als zweiten aktiven Ansatz. Rühre beide bei kleinem Feuer. Lasse beide eindicken, bis eine weiche Salbe entsteht. Bewahre beide bedeckt auf. Lege die passendere Salbe äußerlich auf ein Geschwür oder eine harte Schwellung.	"{""EXEMPLAR_ONLY"": 5, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2}"	0.35	0.484	späte Erntefraktion H2-R04 eröffnen. H2-P02 als ersten aktiven Ansatz führen. späte Teilcharge H2-P03 als zweiten aktiven Ansatz führen. beide Ernteauszüge in getrennten Gefäßen umrühren. beide durch dasselbe Tuch seihen. Farbe und Bodensatz als Vergleichsmerkmale notieren. Vergleichspaar H2-P02/H2-P03 verschlossen lagern.	Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. ANSATZ? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	Vom selben Artikel: verarbeite einen bei geöffneter Blüte genommenen Teil, prüfe den Auszug am örtlichen Endzustand und bewahre den abgeteilten Rest in einem nicht abgebildeten Medium auf.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
6	F006	H3	f11r	f11r.1	H3-S001	7	39|40|41|42|43|44|45	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	WINE_EXTRACTION_AND_CLARIFICATION	E039:953ad19b79517fc8a211 > E040:428a5e3662aa57b4b256 > E041:bdad9f9ea8b80f141496 > E042:a8af08e69edab8e54f15 > E043:deb377381ceaf55ea310 > E044:b5df9126607030b95175[CARD:KLAR?] > E045:2e2027b1951d79911e24	E039=Nimm im zeitigen Frühjahr Blüten und junge Blätter der ganzen abgebildeten Pflanze. | E040=Koche sie in mildem Weißwein. | E041=Wringe den Sud durch feines Leinentuch. | E042=Lasse den Auszug ruhig stehen. | E043=Seihe ihn ein zweites Mal. | E044=Prüfe ihn, bis der im Exemplar bezeichnete klare Zustand erreicht ist. | E045=Lasse ihn abkühlen und schließe diesen Zubereitungsposten.	Erster geklärter Auszug. Nimm im zeitigen Frühjahr Blüten und junge Blätter der ganzen abgebildeten Pflanze. Koche sie in mildem Weißwein. Wringe den Sud durch feines Leinentuch. Lasse den Auszug ruhig stehen. Seihe ihn ein zweites Mal. Prüfe ihn, bis der im Exemplar bezeichnete klare Zustand erreicht ist. Lasse ihn abkühlen und schließe diesen Zubereitungsposten.	"{""EXEMPLAR_ONLY"": 5, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.466	Bildbesitzer H3 als Blüten-Kraut-Los H3-R01 eröffnen. junge oberirdische Teile sammeln. Blütenköpfe und Blätter in zwei Schalen sortieren. Krautfraktion quetschen und in Wasser mazerieren. Auszug zuerst grob, dann durch Tuch seihen. Klarheitszustand des Filtrats H3-P01 prüfen. klares Filtrat absetzen lassen und Feld schließen.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. KLAR? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. der Schlussmarker stützt nur Feldabschluss, nicht die konkrete Schlussaktion.	Von der ganzen abgebildeten Pflanze: nimm im Frühjahr einen unterirdischen Teil, presse den zerkleinerten Stoff durch ein Tuch, kläre den Auszug durch erneutes Seihen und lasse ihn anschließend abkühlen.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
7	F007	H3	f11r	f11r.1	H3-S002	1	46	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	RESERVED_FLOWER_PORTION	E046:577c03a928d674d420d7	E046=Behalte einen Teil der frischen Blüten für die zweite Zubereitung zurück.	Zurückbehaltene Blütenfraktion. Behalte einen Teil der frischen Blüten für die zweite Zubereitung zurück.	"{""EXEMPLAR_ONLY"": 1}"	0.39	0.390	einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu.	Vom selben Pflanzenartikel: behalte den blühenden oder kopfförmigen Teil als getrennten Vorrat zurück.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
8	F008	H3	f11r	f11r.4	H3-S003	5	47|48|49|50|51	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	INTERNAL_DOSE	E047:d665560c8ff80799a82c > E048:b921a237be883a820352 > E049:b2812c8283c3a62438bd > E050:b921a237be883a820352 > E051:2f1c5e56e8f0ff459065[CARD:MASS?][FORMAL:VORGABEPARAMETER?]	E047=Nimm den ersten klaren Auszug wieder auf. | E048=Nimm davon einen Anteil. | E049=Gib ihn als Trank. | E050=Verwende ihn bei bedrücktem Gemüt und beschwerter Brust. | E051=Gib nur das im Exemplar vorgeschriebene kleine Maß.	Innerlicher Gebrauch des klaren Auszugs. Nimm den ersten klaren Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Verwende ihn bei bedrücktem Gemüt und beschwerter Brust. Gib nur das im Exemplar vorgeschriebene kleine Maß.	"{""EXEMPLAR_ONLY"": 4, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.452	Filtrat H3-P01 wieder aufnehmen. drei gleiche Probengläser bereitstellen. Filtrat auf die Probengläser verteilen. Farbton und Niederschlag je Glas vermerken. Sollmenge je Probenglas buchen.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Indikation, Gebrauch und Zielstelle sind nicht abgebildet. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung.	Vom selben Pflanzenartikel: nimm einen aktiven Anteil, lege ihn als Auflage an die im Rezept vorausgesetzte Stelle und bemesse ihn nach örtlicher Vorschrift.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
9	F009	H3	f11r	f11r.7	H3-S004	4	52|53|54|55	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	OIL_PREPARATION_AND_EXTERNAL_USE	E052:a48efd6c4491a046ba78 > E053:322281bd391aa621f568 > E054:e0b630cb1b5df5e7105b[CARD:BEREIT?] > E055:b921a237be883a820352	E052=Nimm die zurückbehaltenen Blüten. | E053=Erwärme sie in Olivenöl. | E054=Halte das Öl, bis der im Exemplar bezeichnete Bereitschaftszustand erreicht ist. | E055=Streiche es äußerlich um die Lider, ohne das Auge zu berühren.	Zweite äußere Bereitung. Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Halte das Öl, bis der im Exemplar bezeichnete Bereitschaftszustand erreicht ist. Streiche es äußerlich um die Lider, ohne das Auge zu berühren.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.427	Blattfraktion H3-R03 als neue Charge eröffnen. Blätter warm in Wasser ausziehen. Arbeitsstand H3-P02 als bereit markieren. Blattauszug und Referenzblüte getrennt verwahren.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. BEREIT? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	Vom selben Pflanzenartikel: bereite aus einem Blattteil eine warme Auflage, lege sie im gebrauchsfertigen Zustand auf und führe den verwendeten Anteil als laufende Bereitung.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
10	F010	H4	f55v	f55v.5	H4-S001	5	56|57|58|59|60	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	FIRST_LEAF_MACERATION	E056:b5fcea1eaed06b2f2291[FORMAL:STANDARDSLOT_SETZEN] > E057:2f1c5e56e8f0ff459065[CARD:MASS?] > E058:403c1592f918c8f23b88 > E059:d929a14ec45749b2e805 > E060:97cc9ac109148723c472	E056=Setze für die ganze Pflanze einen ersten Zubereitungsposten im Register an. | E057=Nimm das vorgeschriebene Maß der breiten Blätter. | E058=Wasche und zerstoße die Blätter grob. | E059=Gib milden Weißwein hinzu. | E060=Verschließe das Gefäß, lasse es kühl ziehen und schließe den Posten.	Erster Blattposten. Setze für die ganze Pflanze einen ersten Zubereitungsposten im Register an. Nimm das vorgeschriebene Maß der breiten Blätter. Wasche und zerstoße die Blätter grob. Gib milden Weißwein hinzu. Verschließe das Gefäß, lasse es kühl ziehen und schließe den Posten.	"{""EXEMPLAR_ONLY"": 2, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.526	formalen Standardslot für Blattposten H4-R01 setzen. Sollmenge frischer breiter Blätter buchen. Blätter waschen und grob schneiden. Schnittgut in Wasser mazerieren. erste Blattflotte absetzen lassen und Feld schließen.	STANDARDSLOT_SETZEN ist eine formale Slotanweisung, keine Übersetzung. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. der Schlussmarker stützt nur Feldabschluss, nicht die konkrete Schlussaktion.	Von der ganzen abgebildeten Pflanze: setze einen neuen abgemessenen Posten an, erhitze einen Blattteil sanft in einem nicht abgebildeten Medium und lasse ihn bis zum örtlichen Prüfzustand ziehen.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
