event_serial	page	locus	record_unit_id	field_id	statement_id	joint_tuple_id	surface_display_only	visible_owner	owner_status	literal_exact_layer	source_layer	concrete_german_default	confidence	strongest_alternative	contradiction	semantic_ceiling
1	f10r	f10r.2	H1	F001	H1-S001	65f320e75510b2f38182	dchey	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	unterer Wurzelstock des abgebildeten unbekannten Pflanze	LOW	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
2	f10r	f10r.2	H1	F001	H1-S001	dedc383b600397a301ee	cthoor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	säubere ihn	LOW	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
3	f10r	f10r.2	H1	F001	H1-S001	4d4559019a961b834aa1	char	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	I001 als derselbe Arbeitsansatz	LOW	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
4	f10r	f10r.2	H1	F001	H1-S001	80ebbbbf238eee9f0aef	chty	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	zerschneide ihn	LOW	LOCAL[beschädigte Fasern aussortieren]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
5	f10r	f10r.2	H1	F001	H1-S001	df1098831679a8ad1b39	os	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	gib ihn in den Brennhafen	LOW	LOCAL[sauberen Wurzelstock grob schneiden]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
6	f10r	f10r.2	H1	F001	H1-S001	12efe866f335461823a6	chair	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	füge Quellwasser hinzu	LOW	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
7	f10r	f10r.2	H1	F001	H1-S001	62ff059766b21c7de083	otytchol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	fange den ersten Lauf im Glas auf	LOW	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
8	f10r	f10r.2	H1	F001	H1-S001	276a7c2d74d1143446f4	oky	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	CARD:ANWENDEN?	KNOWN_CARD_OR_FORMAL_PLUS_CONTEXT	ANWENDEN? gebrauche den Lauf innerlich	MEDIUM	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
9	f10r	f10r.2	H1	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	CARD:MASS?|FORMAL:VORGABEPARAMETER?	KNOWN_CARD_OR_FORMAL_PLUS_CONTEXT	MASS? VORGABEPARAMETER?; keine Wortbedeutung in kleinem örtlichem Maß	MEDIUM	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
10	f10r	f10r.2	H1	F001	H1-S001	a6939862e33ece5a0483	etyd	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	EXACT_CARD:EXEMPLAR_VALUE_UNKNOWN	TYPED_MASTER_EXEMPLAR_CONTENT	gegen Stechen im Leib verwahre den Rest verschlossen	LOW	LOCAL[trockenen Rest als H1-R02 verwahren]	plant species, selected part, medium, operation and use are not fixed by the image or exact card	CREATIVE_CONTEXT_DEFAULT_NOT_WORD_OR_PLAINTEXT
