unsupported_noun	support_class	event_count	event_serials	records	pages	rationale	semantic_ceiling
Abkühlung	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	45	H3	f11r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Anteil	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	48	H3	f11r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Anwendungshäufigkeit	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	66	H4	f55v	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Arbeitsansatz	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	7	3|13|17|25|27|29|71	H1|H2|H4	f10r|f55v	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Auflage	UNPICTURED_MEDICAL_OR_USE_NOUN	2	79|83	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Auge	UNPICTURED_MEDICAL_OR_USE_NOUN	1	55	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Auszug	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	6	7|8|11|42|65|91	H1|H3|H4|H5	f10r|f11r|f55v|f56r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Blätter	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	3	15|58|68	H2|H4	f10r|f55v	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
blühende Stiele	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	87	H5	f56r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Blüten	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	3	39|46|52	H3	f11r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
