statement_id	record_unit_id	page	constituent_fields	event_serials	whole_plant_owner	v72_selected_paraphrase	third_edition_statement_text	literal_event_sequence	strongest_alternative	unsupported_nouns	strongest_contradiction	line_crossing	semantic_ceiling
H1-S001	H1	f10r	F001	1|2|3|4|5|6|7|8|9|10	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Von der ganzen abgebildeten Pflanze: nimm einen Teil der Wurzel, säubere und zerkleinere ihn, bereite daraus mit einem nicht abgebildeten Medium einen Auszug, gebrauche den vorgeschriebenen Anteil und verwahre den Rest trocken.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	E1=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:65f320e75510b2f38182] > [CONTEXT_EXEMPLAR:PLANT_PART] || E2=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dedc383b600397a301ee] > [CONTEXT_EXEMPLAR:ACTION] || E3=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E4=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:80ebbbbf238eee9f0aef] > [CONTEXT_EXEMPLAR:ACTION] || E5=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:df1098831679a8ad1b39] > [CONTEXT_EXEMPLAR:CONTAINER_ACTION] || E6=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:12efe866f335461823a6] > [CONTEXT_EXEMPLAR:MEDIUM] || E7=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:62ff059766b21c7de083] > [CONTEXT_EXEMPLAR:PREPARATION] || E8=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:276a7c2d74d1143446f4] > [CARD:ANWENDEN?] > [CONTEXT_EXEMPLAR:USE] || E9=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE] || E10=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:a6939862e33ece5a0483] > [CONTEXT_EXEMPLAR:INDICATION_AND_STORAGE]	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen. Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen. Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren. Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden. Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken. Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen. Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten. Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen. Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Wurzelteil|Reinigung|Arbeitsansatz|Zerschneiden|Gefäß|Quellwasser|Auszug|Glas|innerlicher Gebrauch|Dosis|Leibschmerz|Vorratsgefäß	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H1-S002	H1	f10r	F002	11|12|13|14	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Vom selben Pflanzenartikel: erwärme einen frischen Auszug, führe ihn als Fortsetzung der vorherigen Bereitung und gebrauche ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	E11=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:9ad66e67803a12e745de] > [CONTEXT_EXEMPLAR:PREPARATION] || E12=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e8a6105b5c3a6220b440] > [CONTEXT_EXEMPLAR:ACTION_CONDITION] || E13=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E14=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:STATE_AND_USE]	Technischer Pflanzenmaterial-Rivale: gelagerten Wurzelrest dem lokalen Posten aufnehmen. Technischer Pflanzenmaterial-Rivale: zweiten Auszug gelinde erwärmen. Technischer Pflanzenmaterial-Rivale: formale Verknüpfung mit dem laufenden Wurzelauszug dem lokalen Posten buchen. Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten freigeben.	Auszug|Wärme|Arbeitsansatz|Gebrauchsreife	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H2-S001	H2	f10r	F003	15|16|17|18|19|20|21|22|23	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Von der ganzen abgebildeten Pflanze: sammle einen oberirdischen Teil zur passenden Reife, zerstoße und presse ihn, führe die Flüssigkeit als neuen Ansatz und bemesse den zuzubereitenden Anteil.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	E15=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7249edc4df3419c26999] > [CONTEXT_EXEMPLAR:PLANT_PART] || E16=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:HARVEST_CONDITION] || E17=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E18=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:f3c23f42baf625639e1e] > [CONTEXT_EXEMPLAR:ACTION] || E19=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:af816c04e65874a0f2fa] > [CONTEXT_EXEMPLAR:ACTION] || E20=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:PREPARATION] || E21=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:MEDIUM] || E22=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [CONTEXT_EXEMPLAR:DOSE] || E23=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H2 als Oberteil-Los dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: Erntegut als verarbeitungsbereit markieren. Technischer Pflanzenmaterial-Rivale: gepresste Arbeitsflüssigkeit dem lokalen Posten als aktiven Ansatz führen. Technischer Pflanzenmaterial-Rivale: Stängel und obere Blätter grob quetschen. Technischer Pflanzenmaterial-Rivale: austretende Pflanzenflüssigkeit auffangen. Technischer Pflanzenmaterial-Rivale: Pressgut mit Wasser nachziehen. Technischer Pflanzenmaterial-Rivale: beide Flüssigkeiten zusammenführen. Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen. Technischer Pflanzenmaterial-Rivale: Pressrückstand als Nebenfraktion dem lokalen Posten markieren.	junge Spitzen|Blütenstände|Blätter|Erntezeit|Arbeitsansatz|Kraut|Pflanzensaft|Tuch|Fraktion|Olivenöl|Dosis|Wärme	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H2-S002	H2	f10r	F004	24|25|26|27|28|29|30|31	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Vom selben Artikel: nimm vor voller Blüte eine Handvoll Pflanzenstoff, entnimm daraus einen Anteil, verknüpfe ihn mit der vorherigen Bereitung und halte das vorgeschriebene Maß ein.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	E24=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:10488b911aae52b3b334] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_CONDITION] || E25=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E26=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:497cbd9c7401810ff56b] > [CONTEXT_EXEMPLAR:DOSE] || E27=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E28=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dec401773c1f0347793d] > [CARD:VORIGES?] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E29=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E30=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE] || E31=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:ACTION]	Technischer Pflanzenmaterial-Rivale: frühe Erntefraktion dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als aktiven Ansatz ansprechen. Technischer Pflanzenmaterial-Rivale: eine Teilmenge dem lokalen Posten in ein Vergleichsgefäß geben. Technischer Pflanzenmaterial-Rivale: formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen. Technischer Pflanzenmaterial-Rivale: vorige Charge dem lokalen Posten wieder aufnehmen. Technischer Pflanzenmaterial-Rivale: diese vorige Charge an Vergleich dem lokalen Posten verknüpfen. Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen. Technischer Pflanzenmaterial-Rivale: frühe Fraktion vollständig mazerieren.	junge Spitzen|Erntezeit|Arbeitsansatz|Handvoll|vorheriger Posten|Dosis|Fraktionen	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H2-S003	H2	f10r	F005	32|33|34|35|36|37|38	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Vom selben Artikel: verarbeite einen bei geöffneter Blüte genommenen Teil, prüfe den Auszug am örtlichen Endzustand und bewahre den abgeteilten Rest in einem nicht abgebildeten Medium auf.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	E32=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:27d97af8c96eb056c2e6] > [CONTEXT_EXEMPLAR:CONTAINER_ACTION] || E33=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:PREPARATION] || E34=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:PREPARATION] || E35=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:ACTION_CONDITION] || E36=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:409de02322e7b2ca0c62] > [CONTEXT_EXEMPLAR:STATE] || E37=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:STORAGE] || E38=[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:834825c61d048a6b5628] > [CONTEXT_EXEMPLAR:INDICATION_AND_USE]	Technischer Pflanzenmaterial-Rivale: späte Erntefraktion dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als ersten aktiven Ansatz führen. Technischer Pflanzenmaterial-Rivale: späte Teilcharge dem lokalen Posten als zweiten aktiven Ansatz führen. Technischer Pflanzenmaterial-Rivale: beide Ernteauszüge in getrennten Gefäßen umrühren. Technischer Pflanzenmaterial-Rivale: beide durch dasselbe Tuch seihen. Technischer Pflanzenmaterial-Rivale: Farbe und Bodensatz als Vergleichsmerkmale notieren. Technischer Pflanzenmaterial-Rivale: Vergleichspaar dem lokalen Posten/dem lokalen Posten verschlossen lagern.	glasiertes Gefäß|Salbenansatz|Feuer|Salbe|Vorratsgefäß|Geschwür|Schwellung	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H3-S001	H3	f11r	F006	39|40|41|42|43|44|45	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Von der ganzen abgebildeten Pflanze: nimm im Frühjahr einen unterirdischen Teil, presse den zerkleinerten Stoff durch ein Tuch, kläre den Auszug durch erneutes Seihen und lasse ihn anschließend abkühlen.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	E39=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:953ad19b79517fc8a211] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_CONDITION] || E40=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:428a5e3662aa57b4b256] > [CONTEXT_EXEMPLAR:MEDIUM_ACTION] || E41=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:bdad9f9ea8b80f141496] > [CONTEXT_EXEMPLAR:ACTION_IMPLEMENT] || E42=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:a8af08e69edab8e54f15] > [CONTEXT_EXEMPLAR:PREPARATION] || E43=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:deb377381ceaf55ea310] > [CONTEXT_EXEMPLAR:ACTION_IMPLEMENT] || E44=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b5df9126607030b95175] > [CARD:KLAR?] > [CONTEXT_EXEMPLAR:STATE] || E45=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:2e2027b1951d79911e24] > [CONTEXT_EXEMPLAR:ACTION_CONDITION] > [CLOSE]	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H3 als Blüten-Kraut-Los dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: junge oberirdische Teile sammeln. Technischer Pflanzenmaterial-Rivale: Blütenköpfe und Blätter in zwei Schalen sortieren. Technischer Pflanzenmaterial-Rivale: Krautfraktion quetschen und in Wasser mazerieren. Technischer Pflanzenmaterial-Rivale: Auszug zuerst grob, dann durch Tuch seihen. Technischer Pflanzenmaterial-Rivale: Klarheitszustand des Filtrats dem lokalen Posten prüfen. Technischer Pflanzenmaterial-Rivale: klares Filtrat absetzen lassen und Feld schließen.	Frühjahr|Blüten|junge Blätter|Wein|Tuch|Auszug|Klarzustand|Abkühlung	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H3-S002	H3	f11r	F007	46	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Vom selben Pflanzenartikel: behalte den blühenden oder kopfförmigen Teil als getrennten Vorrat zurück.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	E46=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:577c03a928d674d420d7] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_STORAGE]	Technischer Pflanzenmaterial-Rivale: einen Blütenkopf als Referenzfraktion dem lokalen Posten zurücklegen.	Blüten|zweite Arznei	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H3-S003	H3	f11r	F008	47|48|49|50|51	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Vom selben Pflanzenartikel: nimm einen aktiven Anteil, lege ihn als Auflage an die im Rezept vorausgesetzte Stelle und bemesse ihn nach örtlicher Vorschrift.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	E47=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:d665560c8ff80799a82c] > [CONTEXT_EXEMPLAR:LOCAL_LINK] || E48=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:DOSE] || E49=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b2812c8283c3a62438bd] > [CONTEXT_EXEMPLAR:USE] || E50=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:INDICATION] || E51=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	Technischer Pflanzenmaterial-Rivale: Filtrat dem lokalen Posten wieder aufnehmen. Technischer Pflanzenmaterial-Rivale: drei gleiche Probengläser bereitstellen. Technischer Pflanzenmaterial-Rivale: Filtrat auf die Probengläser verteilen. Technischer Pflanzenmaterial-Rivale: Farbton und Niederschlag je Glas vermerken. Technischer Pflanzenmaterial-Rivale: Sollmenge je Probenglas buchen.	erster Auszug|Anteil|Trank|Gemütsbeschwerde|Brustbeschwerde|Dosis	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H3-S004	H3	f11r	F009	52|53|54|55	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Vom selben Pflanzenartikel: bereite aus einem Blattteil eine warme Auflage, lege sie im gebrauchsfertigen Zustand auf und führe den verwendeten Anteil als laufende Bereitung.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	E52=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:a48efd6c4491a046ba78] > [CONTEXT_EXEMPLAR:PLANT_PART] || E53=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:322281bd391aa621f568] > [CONTEXT_EXEMPLAR:MEDIUM_ACTION] || E54=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:STATE] || E55=[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:INDICATION_AND_USE]	Technischer Pflanzenmaterial-Rivale: Blattfraktion dem lokalen Posten als neue Charge eröffnen. Technischer Pflanzenmaterial-Rivale: Blätter warm in Wasser ausziehen. Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten als bereit markieren. Technischer Pflanzenmaterial-Rivale: Blattauszug und Referenzblüte getrennt verwahren.	Blüten|Olivenöl|Gebrauchsreife|Lider|Auge|äußerliches Öl	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
H4-S001	H4	f55v	F010	56|57|58|59|60	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Von der ganzen abgebildeten Pflanze: setze einen neuen abgemessenen Posten an, erhitze einen Blattteil sanft in einem nicht abgebildeten Medium und lasse ihn bis zum örtlichen Prüfzustand ziehen.	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	E56=[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:b5fcea1eaed06b2f2291] > [FORMAL:STANDARDSLOT_SETZEN] > [CONTEXT_EXEMPLAR:FORMAL_START] || E57=[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [CONTEXT_EXEMPLAR:DOSE] || E58=[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:403c1592f918c8f23b88] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_ACTION] || E59=[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:d929a14ec45749b2e805] > [CONTEXT_EXEMPLAR:MEDIUM] || E60=[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:97cc9ac109148723c472] > [CONTEXT_EXEMPLAR:STORAGE_AND_CLOSE] > [CLOSE]	Technischer Pflanzenmaterial-Rivale: formalen Standardslot für Blattposten dem lokalen Posten setzen. Technischer Pflanzenmaterial-Rivale: Sollmenge frischer breiter Blätter buchen. Technischer Pflanzenmaterial-Rivale: Blätter waschen und grob schneiden. Technischer Pflanzenmaterial-Rivale: Schnittgut in Wasser mazerieren. Technischer Pflanzenmaterial-Rivale: erste Blattflotte absetzen lassen und Feld schließen.	Posten|Dosis|Blätter|Weißwein|Gefäß|kühler Lagerort	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	NO__SINGLE_FIELD	STATEMENT_SOURCE_CLASS_EXEMPLAR_NOT_TRANSLATION
