statement_id	record_unit_id	page	constituent_fields	event_count	v72_selected_reading	v73_nonmedical_reading	retained	withdrawn	revision_reason	semantic_ceiling
H1-S001	H1	f10r	F001	10	Von der ganzen abgebildeten Pflanze: nimm einen Teil der Wurzel, säubere und zerkleinere ihn, bereite daraus mit einem nicht abgebildeten Medium einen Auszug, gebrauche den vorgeschriebenen Anteil und verwahre den Rest trocken.	Eröffne das erste f10r-Los, wähle eine unterirdische Probe, säubere, spüle und zerkleinere sie, bedecke sie im Ziehgefäß mit Wasser, prüfe einen kleinen Auszug, bemesse den nassen Ansatz und trockne den Rest.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H1-S002	H1	f10r	F002	4	Vom selben Pflanzenartikel: erwärme einen frischen Auszug, führe ihn als Fortsetzung der vorherigen Bereitung und gebrauche ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	Erwärme einen zweiten Auszugsposten sanft, verknüpfe ihn nur innerhalb H1 mit dem aktiven Ansatz und gieße ihn nach dem örtlichen Bereitschaftszeichen ab.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H2-S001	H2	f10r	F003	9	Von der ganzen abgebildeten Pflanze: sammle einen oberirdischen Teil zur passenden Reife, zerstoße und presse ihn, führe die Flüssigkeit als neuen Ansatz und bemesse den zuzubereitenden Anteil.	Eröffne H2 unabhängig von H1, wähle frisches oberirdisches Material, setze es als Charge an, quetsche und presse es, fange die Flüssigkeit ab, bemesse sie und behalte den Presskuchen.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H2-S002	H2	f10r	F004	8	Vom selben Artikel: nimm vor voller Blüte eine Handvoll Pflanzenstoff, entnimm daraus einen Anteil, verknüpfe ihn mit der vorherigen Bereitung und halte das vorgeschriebene Maß ein.	Wasche den Presskuchen mit abgemessenem Wasser, stelle die vorige H2-Pressflüssigkeit daneben, buche beide Fraktionen unter demselben Vergleich, gib ihnen gleiche Prüfmaße und notiere die klarere Fraktion.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H2-S003	H2	f10r	F005	7	Vom selben Artikel: verarbeite einen bei geöffneter Blüte genommenen Teil, prüfe den Auszug am örtlichen Endzustand und bewahre den abgeteilten Rest in einem nicht abgebildeten Medium auf.	Seihe die Waschcharge, führe Flüssigkeit und Satz als getrennte H2-Posten, spüle den Satz einmal, lasse beide stehen, gieße ab und trockne den Referenzrest.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H3-S001	H3	f11r	F006	7	Von der ganzen abgebildeten Pflanze: nimm im Frühjahr einen unterirdischen Teil, presse den zerkleinerten Stoff durch ein Tuch, kläre den Auszug durch erneutes Seihen und lasse ihn anschließend abkühlen.	Zerkleinere und presse eine unterirdische Probe der f11r-Pflanze, seihe zweimal, nimm die Flüssigkeit am örtlichen Klarheitszeichen an und lasse sie bedeckt abkühlen.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H3-S002	H3	f11r	F007	1	Vom selben Pflanzenartikel: behalte den blühenden oder kopfförmigen Teil als getrennten Vorrat zurück.	Bewahre eine trockene Kopf- oder Blütenprobe der f11r-Pflanze als Referenz auf.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H3-S003	H3	f11r	F008	5	Vom selben Pflanzenartikel: nimm einen aktiven Anteil, lege ihn als Auflage an die im Rezept vorausgesetzte Stelle und bemesse ihn nach örtlicher Vorschrift.	Tränke ein Probetuch mit einem gemessenen Anteil der geklärten Flüssigkeit und vergleiche es mit einem trockenen Tuch auf neutraler Unterlage.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H3-S004	H3	f11r	F009	4	Vom selben Pflanzenartikel: bereite aus einem Blattteil eine warme Auflage, lege sie im gebrauchsfertigen Zustand auf und führe den verwendeten Anteil als laufende Bereitung.	Erweiche eine Blattprobe im warmen Wasserbad, zerstoße sie, nimm sie am Bereitschaftszeichen in den Vergleich und notiere ihre Beschaffenheit.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
H4-S001	H4	f55v	F010	5	Von der ganzen abgebildeten Pflanze: setze einen neuen abgemessenen Posten an, erhitze einen Blattteil sanft in einem nicht abgebildeten Medium und lasse ihn bis zum örtlichen Prüfzustand ziehen.	Eröffne einen f55v-Standardslot, bemesse und schneide Blattmaterial, bedecke es mit Wasser und lasse es im geschlossenen Gefäß bis zur Endmarke ziehen.	EXACT_EVENT_ORDER;WHOLE_PLANT_OWNER;KNOWN_CARD_FORMAL_LAYER;RECORD_LOCAL_CONTINUITY	MEDICAL_USE;SPECIES;PART_OWNER;UNPICTURED_PROCESS_AS_VISIBLE_FACT	Requested complete nonmedical plant-material counter-reading under the same frozen formal skeleton.	RIVAL_WORKING_EDITION_NOT_EVIDENCE_FOR_DOMAIN
