event_serial	page	locus	record_unit_id	field_id	statement_id	event_ordinal_in_field	joint_tuple_id	surface_display_only	formal_formula_opaque	terminal_status	parse_status	selected_exact_mnemonic	strict_formal_prompt	event_template	literal_exact_card_formal_exemplar_layer	whole_plant_owner	owner_status	owner_confidence	concrete_technical_default	default_layer	register_effect_in_creative_template	technical_default_confidence	strongest_medical_rival	contradiction	semantic_ceiling
1	f10r	f10r.2	H1	F001	H1-S001	1	65f320e75510b2f38182	dchey	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E1:[TUPLE:65f320e75510b2f38182;SURFACE_DISPLAY_ONLY:dchey;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SUBSTANCE_OR_OBJECT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Eröffne einen frischen Arbeitslos-Posten für die ganze Bildpflanze.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: dieselbe Folge als unbekannter heilkundlicher Pflanzenartikel.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
2	f10r	f10r.2	H1	F001	H1-S001	2	dedc383b600397a301ee	cthoor	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E2:[TUPLE:dedc383b600397a301ee;SURFACE_DISPLAY_ONLY:cthoor;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SOURCE_ARGUMENT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Wähle daraus eine kleine unterirdische Probe.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
3	f10r	f10r.2	H1	F001	H1-S001	3	4d4559019a961b834aa1	char	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E3:[TUPLE:4d4559019a961b834aa1;SURFACE_DISPLAY_ONLY:char;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SOURCE_ARGUMENT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Bürste anhaftende Erde von dieser Probe ab.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
4	f10r	f10r.2	H1	F001	H1-S001	4	80ebbbbf238eee9f0aef	chty	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E4:[TUPLE:80ebbbbf238eee9f0aef;SURFACE_DISPLAY_ONLY:chty;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SOURCE_ARGUMENT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Spüle nur die gewählte Probe einmal mit sauberem Wasser.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: wässrige oder andere flüssige Heilmittelzubereitung aus derselben Bildpflanze.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
5	f10r	f10r.2	H1	F001	H1-S001	5	df1098831679a8ad1b39	os	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E5:[TUPLE:df1098831679a8ad1b39;SURFACE_DISPLAY_ONLY:os;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR ACTION];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Schneide die gespülte Probe in gleichmäßig kleine Stücke.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
6	f10r	f10r.2	H1	F001	H1-S001	6	12efe866f335461823a6	chair	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E6:[TUPLE:12efe866f335461823a6;SURFACE_DISPLAY_ONLY:chair;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SUBSTANCE_OR_OBJECT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Lege die Stücke in ein bedeckbares Ziehgefäß.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: dieselbe Folge als unbekannter heilkundlicher Pflanzenartikel.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
7	f10r	f10r.2	H1	F001	H1-S001	7	62ff059766b21c7de083	otytchol	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E7:[TUPLE:62ff059766b21c7de083;SURFACE_DISPLAY_ONLY:otytchol;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR TARGET_OR_STATION];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Gib so viel sauberes Wasser zu, dass die Stücke eben bedeckt sind.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: wässrige oder andere flüssige Heilmittelzubereitung aus derselben Bildpflanze.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
8	f10r	f10r.2	H1	F001	H1-S001	8	276a7c2d74d1143446f4	oky	OPAQUE_PAYLOAD	NONCLOSE	UNIQUE_EXACT	ANWENDEN?	NONE	ACTION_APPLY	E8:[TUPLE:276a7c2d74d1143446f4;SURFACE_DISPLAY_ONLY:oky;FORMULA:OPAQUE_PAYLOAD;CARD:ANWENDEN?;PROMPT:NONE;TEMPLATE:ACTION_APPLY;FROZEN_V72_SEGMENT:[CARD:ANWENDEN?];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Prüfe einen kleinen Löffel des ersten Auszugs als Arbeitsprobe.	FROZEN_CONTROL_CLASS_PLUS_CREATIVE_SOURCE_ARGUMENT	EXECUTE_EXEMPLAR_USE(ACTIVE,LOCAL_SAMPLE_OR_TARGET)	0.44	MEDICAL_RIVAL: therapeutische Anwendung oder Probe derselben unbekannten Heilzubereitung.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; bekannte Karte/Formalklasse ist nur gefrorener Prompt und trägt diese konkrete Lesung nicht.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
9	f10r	f10r.2	H1	F001	H1-S001	9	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	NONCLOSE	UNIQUE_CONVERGENT_CHANNELS	MASS?	VORGABEPARAMETER?	PARAMETER_ASSIGN	E9:[TUPLE:2f1c5e56e8f0ff459065;SURFACE_DISPLAY_ONLY:daiin;FORMULA:OPAQUE_PAYLOAD;CARD:MASS?;PROMPT:VORGABEPARAMETER?;TEMPLATE:PARAMETER_ASSIGN;FROZEN_V72_SEGMENT:[CARD:MASS?] [FORMAL:VORGABEPARAMETER?];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Trage für den nassen Ansatz ein örtliches Maß ein.	FROZEN_CONTROL_CLASS_PLUS_CREATIVE_SOURCE_ARGUMENT	MEASURE:=EXEMPLAR_VALUE	0.44	MEDICAL_RIVAL: Dosis-, Dauer- oder Mengenangabe in einem Heilrezept.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; bekannte Karte/Formalklasse ist nur gefrorener Prompt und trägt diese konkrete Lesung nicht.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
10	f10r	f10r.2	H1	F001	H1-S001	10	a6939862e33ece5a0483	etyd	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E10:[TUPLE:a6939862e33ece5a0483;SURFACE_DISPLAY_ONLY:etyd;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SOURCE_ARGUMENT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Breite den unbenutzten Pflanzenrest getrennt zum Trocknen aus.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Vorratshaltung eines heilkundlich bestimmten Pflanzenanteils.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
