field_id	record_unit_id	page	locus	statement_id	event_count	visible_owner	complete_field_reading	strongest_rival	status
F001	H1	f10r	f10r.2	H1-S001	10	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	unterer Wurzelstock des abgebildeten unbekannten Pflanze; säubere ihn; I001 als derselbe Arbeitsansatz; zerschneide ihn; gib ihn in den Brennhafen; füge Quellwasser hinzu; fange den ersten Lauf im Glas auf; ANWENDEN? gebrauche den Lauf innerlich; MASS? VORGABEPARAMETER?; keine Wortbedeutung in kleinem örtlichem Maß; gegen Stechen im Leib verwahre den Rest verschlossen	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]; LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]; LOCAL[Erde und Fremdstoff mit Wasser abwaschen]; LOCAL[beschädigte Fasern aussortieren]; LOCAL[sauberen Wurzelstock grob schneiden]; LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]; LOCAL[Auszug umrühren und eine Prüfportion abnehmen]; ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]; MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]; LOCAL[trockenen Rest als H1-R02 verwahren]	COMPLETE_CREATIVE
F002	H1	f10r	f10r.5	H1-S002	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	nimm den frischen ersten Lauf; erwärme ihn gelinde; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung I001 fortführen; BEREIT? bis zum örtlichen Gebrauchszustand	LOCAL[gelagerten Wurzelrest H1-R02 aufnehmen]; LOCAL[zweiten Auszug gelinde erwärmen]; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen]; BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H1-P02 freigeben]	COMPLETE_CREATIVE
F003	H2	f10r	f10r.6	H2-S001	9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze; BEREIT? wenn sie eben aufgehen; ANSATZ? I001 als frischen Ansatz führen; zerstoße das Kraut; presse den Saft durch ein Tuch; fange die erste Fraktion auf; gib Olivenöl hinzu; MASS? ein örtlich vorgeschriebenes Maß; erwärme gelinde	LOCAL[Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen]; BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Erntegut als verarbeitungsbereit markieren]; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[gepresste Arbeitsflüssigkeit H2-P01 als aktiven Ansatz führen]; LOCAL[Stängel und obere Blätter grob quetschen]; LOCAL[austretende Pflanzenflüssigkeit auffangen]; LOCAL[Pressgut mit Wasser nachziehen]; LOCAL[beide Flüssigkeiten zusammenführen]; MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge für H2-P01 buchen]; LOCAL[Pressrückstand als Nebenfraktion H2-R02 markieren]	COMPLETE_CREATIVE
F004	H2	f10r	f10r.8	H2-S002	8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	nimm vor voller Blüte eine zweite Portion der Spitzen; ANSATZ? I001 fortführen; eine Handvoll; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung I001 fortführen; VORIGES? I001 als vorigen Posten aufnehmen; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung I002 führen; MASS? VORGABEPARAMETER?; keine Wortbedeutung ein gleiches örtliches Maß; verbinde beide Fraktionen	LOCAL[frühe Erntefraktion H2-R03 eröffnen]; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P01 als aktiven Ansatz ansprechen]; LOCAL[eine Teilmenge H2-R03 in ein Vergleichsgefäß geben]; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen]; VORIGES?=vorige Charge wieder aufnehmen ; LOCAL[vorige Charge H2-P01 wieder aufnehmen]; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[diese vorige Charge an Vergleich H2-P02 verknüpfen]; MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge für H2-P02 buchen]; LOCAL[frühe Fraktion vollständig mazerieren]	COMPLETE_CREATIVE
F005	H2	f10r	f10r.9	H2-S003	7	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	gib die Fraktionen in ein glasiertes Gefäß; ANSATZ? I003 als Salbenansatz führen; ANSATZ? I003 wiederholt; Slotkonflikt bleibt sichtbar; rühre bei kleinem Feuer; bis eine weiche Salbe entsteht; bewahre sie bedeckt; lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	LOCAL[späte Erntefraktion H2-R04 eröffnen]; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P02 als ersten aktiven Ansatz führen]; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[späte Teilcharge H2-P03 als zweiten aktiven Ansatz führen]; LOCAL[beide Ernteauszüge in getrennten Gefäßen umrühren]; LOCAL[beide durch dasselbe Tuch seihen]; LOCAL[Farbe und Bodensatz als Vergleichsmerkmale notieren]; LOCAL[Vergleichspaar H2-P02/H2-P03 verschlossen lagern]	COMPLETE_CREATIVE
F006	H3	f11r	f11r.1	H3-S001	7	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Blüten und junge Blätter des Duftveilchens im ersten Frühjahr nehmen; in reinem Wein kochen; durch ein feines Tuch wringen; den Auszug stehen lassen; nochmals seihen; KLAR? bis zum örtlich geprüften klaren Zustand; CLOSE; keine Wortbedeutung abkühlen lassen	LOCAL[Bildbesitzer H3 als Blüten-Kraut-Los H3-R01 eröffnen]; LOCAL[junge oberirdische Teile sammeln]; LOCAL[Blütenköpfe und Blätter in zwei Schalen sortieren]; LOCAL[Krautfraktion quetschen und in Wasser mazerieren]; LOCAL[Auszug zuerst grob, dann durch Tuch seihen]; KLAR?=Klarzustand der aktiven Charge prüfen ; LOCAL[Klarheitszustand des Filtrats H3-P01 prüfen]; LOCAL[klares Filtrat absetzen lassen und Feld schließen]	COMPLETE_CREATIVE
F007	H3	f11r	f11r.1	H3-S002	1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	behalte einen Teil der frischen Blüten für die zweite Arznei zurück	LOCAL[einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen]	COMPLETE_CREATIVE
F008	H3	f11r	f11r.4	H3-S003	5	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	I001 als erster Auszug; nimm davon; gib ihn als Trank; bei bedrücktem Gemüt und beschwerter Brust; MASS? VORGABEPARAMETER?; keine Wortbedeutung in kleinem örtlichem Maß	LOCAL[Filtrat H3-P01 wieder aufnehmen]; LOCAL[drei gleiche Probengläser bereitstellen]; LOCAL[Filtrat auf die Probengläser verteilen]; LOCAL[Farbton und Niederschlag je Glas vermerken]; MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge je Probenglas buchen]	COMPLETE_CREATIVE
F009	H3	f11r	f11r.7	H3-S004	4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	nimm die zurückbehaltenen Blüten; erwärme sie in Olivenöl; BEREIT? bis zum örtlichen Bereitschaftszustand; streiche das Öl äußerlich um die Lider ohne das Auge zu berühren	LOCAL[Blattfraktion H3-R03 als neue Charge eröffnen]; LOCAL[Blätter warm in Wasser ausziehen]; BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H3-P02 als bereit markieren]; LOCAL[Blattauszug und Referenzblüte getrennt verwahren]	COMPLETE_CREATIVE
F010	H4	f55v	f55v.5	H4-S001	5	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	STANDARDSLOT_SETZEN; keine Wortbedeutung setze den ersten Posten an; MASS? ein örtlich vorgeschriebenes Maß; breite Bärlauchblätter zerstoße sie; füge Weißwein hinzu; CLOSE; keine Wortbedeutung verschließe das Gefäß und lasse es kühl stehen	STANDARDSLOT_SETZEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen Standardslot für Blattposten H4-R01 setzen]; MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge frischer breiter Blätter buchen]; LOCAL[Blätter waschen und grob schneiden]; LOCAL[Schnittgut in Wasser mazerieren]; LOCAL[erste Blattflotte absetzen lassen und Feld schließen]	COMPLETE_CREATIVE
