event_id	surface	register	physical_page	locus	usage_class	visible_owner_de	old_recipe	old_mode	cph_value_de	local_context
P910-E0097	cphy	HERBAL	f11r	f11r.1	PROSE	abgebildeter Pflanzenartikel f11r	P+Y	LEARNED_COMPONENT_RECIPE	NACHLAUF ODER ZWEITER DURCHGANG	shfydaiin > [cphy] > shey
P910-E0342	ychocphy	HERBAL	f56r	f56r.1	PROSE	abgebildeter Pflanzenartikel f56r	WHOLE[ychocphy]	LOCAL_WORKSHOP_CARD	NACHLAUF ODER ZWEITER DURCHGANG	chy > [ychocphy] > chorchy
P910-E0936	cphedy	BIOLOGICAL	f81v	f81v.8	PROSE	gemeinsames Bad- und Beckenfeld	WHOLE[cphedy]	LOCAL_WORKSHOP_CARD	RUECKLAUF ZUR EMPFANGSSTATION	dkain > [cphedy] > oldy
P910-E1268	cphal	BIOLOGICAL	f82r	f82r.20	PROSE	mehrere lokale Bad- und Leitungsstationen	WHOLE[cphal]	LOCAL_WORKSHOP_CARD	RUECKLAUF ZUR EMPFANGSSTATION	qokedy > [cphal] > shedy
P910-E1477	checphedy	BIOLOGICAL	f83r	f83r.9	PROSE	lokale Becken-, Figuren- und Verbindungsstationen	WHOLE[checphedy]	LOCAL_WORKSHOP_CARD	RUECKLAUF ZUR EMPFANGSSTATION	pchor > [checphedy] > qokedy
P910-E1525	lchcphedy	BIOLOGICAL	f83r	f83r.13	PROSE	lokale Becken-, Figuren- und Verbindungsstationen	WHOLE[lchcphedy]	LOCAL_WORKSHOP_CARD	RUECKLAUF ZUR EMPFANGSSTATION	qedy > [lchcphedy] > ldar
P910-E1561	shocphedy	BIOLOGICAL	f83r	f83r.18	PROSE	lokale Becken-, Figuren- und Verbindungsstationen	WHOLE[shocphedy]	LOCAL_WORKSHOP_CARD	RUECKLAUF ZUR EMPFANGSSTATION	pdalshdy > [shocphedy] > otor
P910-E1896	cpheey	ZODIAC	f67r2	f67r2.66	LABEL	zwei lokale Himmelsraeder	WHOLE[cpheey]	LOCAL_NOMENCLATOR	GEGEN- ODER RUECKSTELLE IM RAD	<START> > [cpheey] > <END>
P910-E1942	cphol	ZODIAC	f68r1	f68r1.1	PROSE	mehrteiliger Sternatlas mit lokalen Zentren	WHOLE[cphol]	LOCAL_WORKSHOP_CARD	GEGEN- ODER RUECKSTELLE IM RAD	choteey > [cphol] > cheor
P910-E1979	cphocthy	ZODIAC	f68r1	f68r1.17	LABEL	mehrteiliger Sternatlas mit lokalen Zentren	WHOLE[cphocthy]	LOCAL_NOMENCLATOR	GEGEN- ODER RUECKSTELLE IM RAD	<START> > [cphocthy] > <END>
P910-E1993	ocphy	ZODIAC	f68r1	f68r1.31	LABEL	mehrteiliger Sternatlas mit lokalen Zentren	WHOLE[ocphy]	LOCAL_NOMENCLATOR	GEGEN- ODER RUECKSTELLE IM RAD	<START> > [ocphy] > <END>
P910-E2422	cphol	PHARMA	f88r	f88r.18	PROSE	drei Gefaesse mit Wurzel- und Blattreihen	WHOLE[cphol]	LOCAL_WORKSHOP_CARD	AUSZUG AUFFANGEN ODER NACHFUEHREN	koay > [cphol] > orchor
