rank_class	local_code	surface	register	old_drawer	events	loci	physical_pages	visible_owner_or_default_de	old_recipe	revised_recipe	atomic_reading_de	register_short_reading_de	mechanism	decision	same_surface_other_codes	local_contexts	apprentice_rule_de
1_CPH_REUSABLE_FAMILY	B-W001	checphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	1	f83r.9	f83r	fuehre den im Muster bezeichneten Stationsschritt B-W001 aus	WHOLE[checphedy]	CH+E+CPH+E+DY	ENTNEHMEN/ABLESEN · KURZ · GEGEN-/EMPFANGSGANG · KURZ · SCHLUSS	RUECKLAUF ZUR EMPFANGSSTATION	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	pchor > [checphedy] > qokedy	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	B-W002	cphal	BIOLOGICAL	COPIED_WORKSHOP_CARD	1	f82r.20	f82r	fuehre den im Muster bezeichneten Stationsschritt B-W002 aus	WHOLE[cphal]	CPH+AL	GEGEN-/EMPFANGSGANG · ZIELSTELLE	RUECKLAUF ZUR EMPFANGSSTATION	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	qokedy > [cphal] > shedy	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	B-W003	cphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	1	f81v.8	f81v	fuehre den im Muster bezeichneten Stationsschritt B-W003 aus	WHOLE[cphedy]	CPH+E+DY	GEGEN-/EMPFANGSGANG · KURZ · SCHLUSS	RUECKLAUF ZUR EMPFANGSSTATION	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	dkain > [cphedy] > oldy	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	B-W009	lchcphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	1	f83r.13	f83r	fuehre den im Muster bezeichneten Stationsschritt B-W009 aus	WHOLE[lchcphedy]	L+CH+CPH+E+DY	LEITEN · ENTNEHMEN/ABLESEN · GEGEN-/EMPFANGSGANG · KURZ · SCHLUSS	RUECKLAUF ZUR EMPFANGSSTATION	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	qedy > [lchcphedy] > ldar	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	B-W022	shocphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	1	f83r.18	f83r	fuehre den im Muster bezeichneten Stationsschritt B-W022 aus	WHOLE[shocphedy]	SH+O+CPH+E+DY	HALTEN · GANG · GEGEN-/EMPFANGSGANG · KURZ · SCHLUSS	RUECKLAUF ZUR EMPFANGSSTATION	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	pdalshdy > [shocphedy] > otor	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	H-W008	ychocphy	HERBAL	COPIED_WORKSHOP_CARD	1	f56r.1	f56r	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W008 aus	WHOLE[ychocphy]	Y+CH+O+CPH+Y	DIESER POSTEN · ENTNEHMEN/ABLESEN · GANG · GEGEN-/EMPFANGSGANG · DIESER POSTEN	NACHLAUF ODER ZWEITER DURCHGANG	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	chy > [ychocphy] > chorchy	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	P-W001	cphol	PHARMA	COPIED_WORKSHOP_CARD	1	f88r.18	f88r	fuehre den im Muster bezeichneten Zubereitungsschritt P-W001 aus	WHOLE[cphol]	CPH+OL	GEGEN-/EMPFANGSGANG · FORTSETZEN	AUSZUG AUFFANGEN ODER NACHFUEHREN	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	Z-W005	koay > [cphol] > orchor	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
1_CPH_REUSABLE_FAMILY	Z-W005	cphol	ZODIAC	COPIED_WORKSHOP_CARD	1	f68r1.1	f68r1	lies den im Muster bezeichneten Ringwert Z-W005	WHOLE[cphol]	CPH+OL	GEGEN-/EMPFANGSGANG · FORTSETZEN	GEGEN- ODER RUECKSTELLE IM RAD	NEW_REGISTER_ROOT_CPH	REMOVE_FROM_WHOLE_CARD_DRAWER	P-W001	choteey > [cphol] > cheor	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
2_RECURRENT_COMPOSED_WORKSHOP_CARD	B-W025	ytedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	4	f81v.12|f81v.13	f81v	fuehre den im Muster bezeichneten Stationsschritt B-W025 aus	WHOLE[ytedy]	Y+T+E+DY	DIESER POSTEN · BEARBEITEN/MARKIEREN · KURZ · SCHLUSS	DIESER POSTEN · BEARBEITEN/MARKIEREN · KURZ · SCHLUSS	EXISTING_COMPONENT_RECIPE	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	qokedy > [ytedy] > chetedy || lkedey > [ytedy] > <END> || dchsed > [ytedy] > ytedy || ytedy > [ytedy] > dar	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
2_RECURRENT_COMPOSED_WORKSHOP_CARD	B-W011	lky	BIOLOGICAL	COPIED_WORKSHOP_CARD	2	f81v.11|f81v.6	f81v	fuehre den im Muster bezeichneten Stationsschritt B-W011 aus	WHOLE[lky]	L+K+Y	LEITEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN	LEITEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN	EXISTING_COMPONENT_RECIPE	REMOVE_FROM_WHOLE_CARD_DRAWER	NONE	cheol > [lky] > l || oky > [lky] > olchy	Baue die Karte aus dem kurzen Werkstattrezept; kopiere sie nicht mehr als Ganzwort.
