id	members	shared_unknown_words	strict_all	status	witnesses	coherent_witnesses	ambiguity	independent_meaning_capacity
P0-1	ZL3b|f112v|f112v.45-f112v.47;ZL3b|f9v|f9v.5-f9v.12	oty	False	UNSAT	0	0	NO_WITNESS	0
P0-2	ZL3b|f112v|f112v.45-f112v.47;IT2a|f100r|f100r.12-f100r.15		False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P0-3	ZL3b|f112v|f112v.45-f112v.47;IT2a|f24v|f24v.1-f24v.5	okaiin	False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P0-4	ZL3b|f112v|f112v.45-f112v.47;IT2a|f96r|f96r.9-f96r.13		False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P1-2	ZL3b|f9v|f9v.5-f9v.12;IT2a|f100r|f100r.12-f100r.15	chol;chor;daiin;otal	False	UNSAT	0	0	NO_WITNESS	0
P1-3	ZL3b|f9v|f9v.5-f9v.12;IT2a|f24v|f24v.1-f24v.5		False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P1-4	ZL3b|f9v|f9v.5-f9v.12;IT2a|f96r|f96r.9-f96r.13		False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P2-3	IT2a|f100r|f100r.12-f100r.15;IT2a|f24v|f24v.1-f24v.5		True	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P2-4	IT2a|f100r|f100r.12-f100r.15;IT2a|f96r|f96r.9-f96r.13	dcheor;s;shodol	False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P3-4	IT2a|f24v|f24v.1-f24v.5;IT2a|f96r|f96r.9-f96r.13		False	SAT	2	0	MULTIPLE_ASSIGNMENTS_OR_PARSES	0
P0-1-2-3-4	ZL3b|f112v|f112v.45-f112v.47;ZL3b|f9v|f9v.5-f9v.12;IT2a|f100r|f100r.12-f100r.15;IT2a|f24v|f24v.1-f24v.5;IT2a|f96r|f96r.9-f96r.13	chol;chor;daiin;dcheor;okaiin;otal;oty;s;shodol	False	UNSAT	0	0	NO_WITNESS	0
