exception_id	event_id	exception_kind	semantic_family	component_recipe	locus	owner_de	default_exact_card	required_exact_card	default_surface	required_surface	master_note_de
IX01	E023	SURFACE_OVERRIDE	SEM018	Y	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC019	PROC019	dy	shy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX02	E068	SURFACE_OVERRIDE	SEM009	AIIN	f55v.11	abgebildete breitblättrige rispige Pflanze	PROC009	PROC009	chaiin	aiin	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX03	E095	CARD_SUBFAMILY_OVERRIDE	SEM008	OK+Y	f56r.18	abgebildete mehrköpfige stachelige Pflanze	PROC008	PROC011	chokchy	chokchy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX04	E120	CARD_SUBFAMILY_OVERRIDE	SEM074	CHD+DY	f81v.7	gemeinsame zweireihige Figuren-/Beckenstation	PROC094	PROC076	schedy	schedy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX05	E131	CARD_SUBFAMILY_OVERRIDE	SEM080	OK+CHD+DY	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	PROC091	PROC082	qokchdy	qokchdy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX06	E151	CARD_SUBFAMILY_OVERRIDE	SEM080	OK+CHD+DY	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	PROC082	PROC091	okchedy	okchedy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX07	E156	SURFACE_OVERRIDE	SEM054	AL	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	PROC055	PROC055	al	sal	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX08	E163	SURFACE_OVERRIDE	SEM076	SHED+DY	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	PROC078	PROC078	cheedy	tedy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX09	E166	SURFACE_OVERRIDE	SEM054	AL	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	PROC055	PROC055	al	chal	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
IX10	E240	CARD_SUBFAMILY_OVERRIDE	SEM041	CHD+Y	f83r.6	mittlere Randfigur im runden Gefäß	PROC042	PROC133	chedchy	chedchy	Diesen lokalen Kopierwert merken; die Bedeutung bleibt unveraendert.
