semantic_family	component_recipe	working_reading_de	exact_card_subfamilies	exact_card_ids	events	exact_card_selection_rule	apprentice_instruction_de	card_default_correct	card_override_slips
SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	1	PROC001	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	1	PROC002	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM003	AR	QUELLE	1	PROC003	5	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	5	0
SEM004	T+Y	EINTRAGEN · DIES	1	PROC004	2	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	2	0
SEM005	OS	FACH	1	PROC005	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM006	CH+AIR	ABNEHMEN · LAUF	1	PROC006	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	PROC007	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM008	OK+Y	ANSETZEN · DIES	2	PROC008|PROC011	13	LOCUS_BOUNDARY_PRIOR_PLUS_LOCAL_OVERRIDES	Am Locusanfang markierte Traeger-/Gelenkform bevorzugen, sonst schlichte Form; Ausnahmezettel vorziehen.	12	1
SEM009	AIIN	MASS	1	PROC009	20	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	20	0
SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	1	PROC010	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	PROC012	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM012	OL	FORTSETZEN	2	PROC013|PROC115	20	OWNER_RECORD_SUBFAMILY	Unterkarte aus der festen Besitzer-/Record-Schublade nehmen.	20	0
SEM013	CTH+Y	BEREIT · DIES	1	PROC014	7	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	7	0
SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	1	PROC015	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM015	OR	ANSATZ	1	PROC016	7	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	7	0
SEM016	CTH+AIIN	BEREIT · MASS	1	PROC017	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	1	PROC018	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM018	Y	DIES	1	PROC019	18	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	18	0
SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	1	PROC020	2	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	2	0
SEM020	OT+OL	DANACH · FORTSETZEN	1	PROC021	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM021	OL+OR	FORTSETZEN · ANSATZ	1	PROC022	2	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	2	0
SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	1	PROC023	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM023	K+IIN	ZUDOSIEREN · STUFE	1	PROC024	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	1	PROC025	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	PROC026	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM026	SH+O+AL	HALTEN · GANG · ZIEL	1	PROC027	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM027	CFH+Y	AUSWRINGEN · DIES	1	PROC028	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	1	PROC029	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM029	P+Y	EINFUELLEN · DIES	1	PROC030	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM030	SH+EE+Y	HALTEN · LANG · DIES	2	PROC031|PROC157	5	OWNER_RECORD_SUBFAMILY	Unterkarte aus der festen Besitzer-/Record-Schublade nehmen.	5	0
SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	PROC032	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	PROC033	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM033	RESUME_CARD	WIEDERAUFNEHMEN	1	PROC034	2	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	2	0
SEM034	K+Y	ZUDOSIEREN · DIES	1	PROC035	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM035	OT+Y	DANACH · DIES	2	PROC036|PROC065	3	OWNER_RECORD_SUBFAMILY	Unterkarte aus der festen Besitzer-/Record-Schublade nehmen.	3	0
SEM036	OK+OL	ANSETZEN · FORTSETZEN	2	PROC037|PROC160	2	OWNER_RECORD_SUBFAMILY	Unterkarte aus der festen Besitzer-/Record-Schublade nehmen.	2	0
SEM037	OK+AIIN	ANSETZEN · MASS	1	PROC038	9	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	9	0
SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	1	PROC039	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	1	PROC040	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM040	O+DY	GANG · SCHLUSS	1	PROC041	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM041	CHD+Y	UMSETZEN · DIES	2	PROC042|PROC133	12	LOCUS_BOUNDARY_PRIOR_PLUS_LOCAL_OVERRIDES	Am Locusanfang markierte Traeger-/Gelenkform bevorzugen, sonst schlichte Form; Ausnahmezettel vorziehen.	11	1
SEM042	TALAM	VERWAHREN	1	PROC043	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	1	PROC044	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	1	PROC045	1	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	1	0
SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	2	PROC046|PROC107	3	OWNER_RECORD_SUBFAMILY	Unterkarte aus der festen Besitzer-/Record-Schublade nehmen.	3	0
SEM046	OL+DY	FORTSETZEN · SCHLUSS	1	PROC047	2	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	2	0
SEM047	OK+AL	ANSETZEN · ZIEL	1	PROC048	6	UNIQUE_EXACT_CARD	Die Bedeutungsfamilie hat genau eine Unterkarte.	6	0
