event_id	page	record	statement_id	locus	owner_de	owner_renderer_tray	semantic_family	component_recipe	semantic_reading_de	exact_subfamilies	exact_card_selection_layer	default_exact_card	observed_exact_card	card_default_correct	surface_selection_layer	default_surface	observed_surface	surface_default_correct	exception_kind	final_copy_instruction_de
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	1	UNIQUE_EXACT_CARD	PROC001	PROC001	YES	GLOBAL_CARD_FORM	dchey	dchey	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	1	UNIQUE_EXACT_CARD	PROC002	PROC002	YES	GLOBAL_CARD_FORM	cthoor	cthoor	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM003	AR	QUELLE	1	UNIQUE_EXACT_CARD	PROC003	PROC003	YES	GLOBAL_CARD_FORM	char	char	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM004	T+Y	EINTRAGEN · DIES	1	UNIQUE_EXACT_CARD	PROC004	PROC004	YES	GLOBAL_CARD_FORM	chty	chty	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM005	OS	FACH	1	UNIQUE_EXACT_CARD	PROC005	PROC005	YES	GLOBAL_CARD_FORM	os	os	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM006	CH+AIR	ABNEHMEN · LAUF	1	UNIQUE_EXACT_CARD	PROC006	PROC006	YES	GLOBAL_CARD_FORM	chair	chair	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	UNIQUE_EXACT_CARD	PROC007	PROC007	YES	GLOBAL_CARD_FORM	otytchol	otytchol	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM008	OK+Y	ANSETZEN · DIES	2	LOCUS_BOUNDARY_PRIOR	PROC008	PROC008	YES	OWNER_CARD_DEFAULT	oky	oky	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM009	AIIN	MASS	1	UNIQUE_EXACT_CARD	PROC009	PROC009	YES	GLOBAL_CARD_FORM	daiin	daiin	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	OT01	SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	1	UNIQUE_EXACT_CARD	PROC010	PROC010	YES	GLOBAL_CARD_FORM	etyd	etyd	YES	NONE	Bedeutungsfamilie lesen; Unterkarte waehlen; Renderer anwenden; gegebenenfalls lokalen Ausnahmezettel vorziehen.
