owner_tray_id	owner_de	residual_events	owner_card_defaults	old_locus_modes_collapsed	old_locus_modes	pages	records	loci	local_override_slips	tray_rule_de
OT01	abgebildete breit gezähnte radialblütige Pflanze	9	7	5	RR01 RR02 RR03 RR04 RR05	f10r	H1|H2	f10r.2|f10r.5|f10r.6|f10r.8|f10r.9	1	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT02	abgebildete dicht blau blühende Kronenpflanze	2	1	2	RR06 RR07	f11r	H3	f11r.4|f11r.7	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT03	abgebildete breitblättrige rispige Pflanze	4	3	2	RR08 RR09	f55v	H4	f55v.5|f55v.11	1	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT04	abgebildete mehrköpfige stachelige Pflanze	2	2	2	RR10 RR11	f56r	H5	f56r.8|f56r.18	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT05	gemeinsame zweireihige Figuren-/Beckenstation	14	9	6	RR12 RR13 RR14 RR15 RR16 RR17	f81v	B1	f81v.2|f81v.7|f81v.17|f81v.21|f81v.24|f81v.27	3	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT06	oberes Beckenpaar mit Zylinder	2	2	1	RR18	f82r	B2	f82r.2	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT07	mittleres linkes Handgerät mit Inline-Knoten	1	1	1	RR19	f82r	B2	f82r.7	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT08	mittlere rechte unklare Station	1	1	1	RR20	f82r	B2	f82r.19	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT09	kleine Randstationen des unteren Beckens	2	2	1	RR21	f82r	B2	f82r.26	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT10	mittlere Randfigur im runden Gefäß	1	1	1	RR22	f83r	B3	f83r.6	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT11	untere Randfigur im korbartigen Gefäß	3	3	1	RR23	f83r	B3	f83r.11	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT12	unverbundener Zwischenbereich	7	6	3	RR24 RR25 RR26	f83r	B3	f83r.14|f83r.15|f83r.16	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT13	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	4	4	2	RR27 RR28	f83r	B3	f83r.20|f83r.24	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT14	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	2	2	2	RR29 RR30	f83r	B4	f83r.25|f83r.26	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT15	linke Hauptstation mit offenem Fransenlauf	1	1	1	RR31	f83r	B4	f83r.35	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT16	rechte Hauptstation mit S-Lauf und Mehrarmknoten	1	1	1	RR32	f83r	B4	f83r.41	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT17	linke Fransenstation im B5-Nachtrag	2	2	1	RR33	f83r	B5	f83r.48	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
OT18	rechter S-Lauf im B6-Nachtrag	1	1	1	RR34	f83r	B6	f83r.54	0	Beim sichtbaren Besitzer diese kleine Kartenform-Schublade laden; nur markierte Konflikte erhalten einen Locuszettel.
