unit_id	record_id	page	owner	group_count	surface_sequence	clause_shape_sequence	short_card_sequence_de	period_source_clause_sequence	continuous_working_translation_de	plant_owner_source	rich_noun_source
H1-S001	H1	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	C01>C05>C09>C06>C01>C09>C02>C07>C10>C10	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	Setze die gelernte Fachkarte: Wurzel als aktueller Posten. Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit. Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz. Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen. Setze die gelernte Fachkarte: Mischgefäß. Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf. Danach oder in demselben Gang: naechsten Teilposten weiterfuehren. Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen. Setze Maß, Portion oder Stufe: Sollmaß. Setze Maß, Portion oder Stufe: kleiner Restteil.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H1-S002	H1	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	4	qokchy qotchol chol cthy	C07>C02>C02>C07	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen. Danach oder in demselben Gang: danach weiterfuehren. Danach oder in demselben Gang: fortsetzen. Führe es mit diesem laufenden Posten aus: bereit.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H2-S001	H2	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	C09>C07>C09>C06>C02>C12>C12>C10>C12	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz. Führe es mit diesem laufenden Posten aus: bereit. Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz. Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß. Danach oder in demselben Gang: bereiten Posten weiterfuehren. Nimm diesen Posten wieder auf: dieser Posten. Nimm diesen Posten wieder auf: dieser Posten. Setze Maß, Portion oder Stufe: Sollmaß. Nimm diesen Posten wieder auf: dieser Posten.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H2-S002	H2	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	8	qotchor chor otol chol cholor chol daiin dar	C02>C09>C02>C02>C02>C02>C10>C09	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	Danach oder in demselben Gang: Folgeansatz. Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz. Danach oder in demselben Gang: danach fortsetzen. Danach oder in demselben Gang: fortsetzen. Danach oder in demselben Gang: Fortsetzungsansatz. Danach oder in demselben Gang: fortsetzen. Setze Maß, Portion oder Stufe: Sollmaß. Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H2-S003	H2	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	7	oykchor shor chor chy kaiiin dy chodaiin	C05>C09>C09>C12>C10>C12>C01	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten. Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz. Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz. Nimm diesen Posten wieder auf: dieser Posten. Setze Maß, Portion oder Stufe: Weichstufe. Nimm diesen Posten wieder auf: dieser Posten. Setze die gelernte Fachkarte: Zutatenmaß.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H3-S001	H3	f11r	der ganzen dicht blau bekrönten Bildpflanze	7	tshol schoal cfhy shfydaiin cphy shey tchody	C01>C01>C07>C06>C07>C01>C01	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Setze die gelernte Fachkarte: Zutat entnehmen. Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben. Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen. Führe es in der angegebenen Portion oder Stufe aus: Standmaß. Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen. Setze die gelernte Fachkarte: klarer Auszug. Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H3-S002	H3	f11r	der ganzen dicht blau bekrönten Bildpflanze	1	shoyty	C01	Zutatenteil	Setze die gelernte Fachkarte: Zutatenteil.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H3-S003	H3	f11r	der ganzen dicht blau bekrönten Bildpflanze	5	dchol chy kchy dy daiin	C02>C12>C07>C12>C10	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Danach oder in demselben Gang: vorigen Posten fortsetzen. Nimm diesen Posten wieder auf: dieser Posten. Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten. Nimm diesen Posten wieder auf: dieser Posten. Setze Maß, Portion oder Stufe: Sollmaß.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H3-S004	H3	f11r	der ganzen dicht blau bekrönten Bildpflanze	4	qotchy okchol cthy dy	C02>C02>C07>C12	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Danach oder in demselben Gang: anschließender Arbeitsposten. Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen. Führe es mit diesem laufenden Posten aus: bereit. Nimm diesen Posten wieder auf: dieser Posten.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
H4-S001	H4	f55v	der ganzen breitblättrigen rispigen Bildpflanze	5	qokaiin chaiin ykain ykan ody	C06>C10>C10>C10>C01	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Setze Maß, Portion oder Stufe: Sollmaß. Setze Maß, Portion oder Stufe: Postenportion. Setze Maß, Portion oder Stufe: dieser Anteil. Setze die gelernte Fachkarte: kühlen.	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	VISIBLE_IMAGE	SIMULATED_MASTER_EXEMPLAR
