identity	house_surface	component_recipe	short_value_de	marks	orders	order_count	sections	apprentice_action
A1:G001	ykshy	Y+K+Y	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C1@f67r2.1	1	WH06	1	WHEN	COPY_LOCAL_MODEL
A1:G002	s	S_LABEL	BEDINGUNGSTEIL 2 VON C1@f67r2.1 KOPIEREN	1	WH06	1	WHEN	COPY_LOCAL_MODEL
A1:G003	aram	AR+AM_ADDR	VON · BEDINGUNGSTEIL 3 VON C1@f67r2.1	1	WH06	1	WHEN	COPY_LOCAL_MODEL
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	VON DER TEILADRESSE WEITER ZUM STERNBEZUG; DEN LOKALEN ARBEITSGANG SCHLIESSEN	1	WH03	1	WHEN	COPY_LOCAL_MODEL
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C3@f68r1.9	1	WH05	1	WHEN	COPY_LOCAL_MODEL
A3:G041	yka	Y+K+A_ADDR	DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G042	chol	OL	WEITER	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G043	ykar	Y+K+AR	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 3 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G044	dal	AL	AN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G045	ykady	Y+K+A_ADDR+Y	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 5 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G046	iokeeor	NONE	BEDINGUNGSTEIL 6 VON C5@f69v.2 KOPIEREN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G047	cheey	WHOLE[cheey|shey]	BEDINGUNGSTEIL 7 VON C5@f69v.2 KOPIEREN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G048	choly	OL+Y	WEITER · DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G049	ykeeal	Y+K+EE+AL	DIESER_EINTRAG · LAENGER · AN · BEDINGUNGSTEIL 9 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G050	cheo	CHEO	BEDINGUNGSTEIL 10 VON C5@f69v.2 KOPIEREN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G051	oaram	O+AR+AM_ADDR	VON · BEDINGUNGSTEIL 11 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G052	ockhy	O+CKH+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 12 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G053	sheey	SH+EE+Y	LAENGER · DIESER_EINTRAG · BEDINGUNGSTEIL 13 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G054	aiin	AIIN	SOLLMASS	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G055	y	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G056	daiial	NONE	BEDINGUNGSTEIL 16 VON C5@f69v.2 KOPIEREN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G057	cheody	CHEO+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 17 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G058	cheal	AL	AN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G059	yetey	Y+E+T+E+Y	DIESER_EINTRAG · KURZ · KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 19 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G060	chear	CH+E+AR	KURZ · VON · BEDINGUNGSTEIL 20 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G061	y	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G062	dy	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G063	ykey	Y+K+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 23 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G064	ch	CH	BEDINGUNGSTEIL 24 VON C5@f69v.2 KOPIEREN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G065	y	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G066	dy	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G067	chol	OL	WEITER	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G068	ykar	Y+K+AR	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 28 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G069	ol	OL	WEITER	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G070	y	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G071	ykeeody	Y+K+EE+O+Y	DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · BEDINGUNGSTEIL 31 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G072	chey	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G073	dal	AL	AN	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G074	ody	O+DY	LOKAL_SCHLIESSEN · BEDINGUNGSTEIL 34 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G075	airchy	AIR+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 35 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G076	choky	OK+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 36 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G077	ychey	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G078	chey	Y	DIESER_EINTRAG	1	WH01	1	WHEN	COPY_LOCAL_MODEL
A3:G079	doair	D_ADDR+O+AIR	BEDINGUNGSTEIL 1 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G080	otaldal	OT+AL+AL	FOLGEND · AN · AN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G081	dair	D_ADDR+AIR	BEDINGUNGSTEIL 3 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G082	chdy	CHD+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 4 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G083	otoar	OT+O+AR	FOLGEND · VON · BEDINGUNGSTEIL 5 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G084	ar	AR	VON	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G085	chy	Y	DIESER_EINTRAG	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G086	qoteor	OT+E+OR	FOLGEND · KURZ · BEDINGUNGSTEIL 8 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G087	cho	HO	BEDINGUNGSTEIL 9 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G088	qotair	OT+AIR	FOLGEND · BEDINGUNGSTEIL 10 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G089	chda	CHD+A_ADDR	BEDINGUNGSTEIL 11 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G090	oteeal	OT+EE+AL	FOLGEND · LAENGER · AN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G091	cheor	CHEO+R	BEDINGUNGSTEIL 13 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G092	ar	AR	VON	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G093	air	AIR	BEDINGUNGSTEIL 15 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G094	oteody	OT+E+O+Y	FOLGEND · KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 16 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G095	ytyd	Y+T+Y+D_LABEL	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 17 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G096	a	A_ADDR	BEDINGUNGSTEIL 18 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G097	dchy	D_ADDR+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 19 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G098	otoly	OT+OL+Y	FOLGEND · WEITER · DIESER_EINTRAG	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G099	okeodal	OK+E+O+AL	KURZ · AN · BEDINGUNGSTEIL 21 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G100	oteoarar	OT+E+O+AR+AR	FOLGEND · KURZ · VON · VON · BEDINGUNGSTEIL 22 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G101	cheteeser	CH+E+T+EE+S_ADDR+E+R	KURZ · LAENGER · KURZ · BEDINGUNGSTEIL 23 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G102	dair	D_ADDR+AIR	BEDINGUNGSTEIL 24 VON C6@f69v.3 KOPIEREN	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G103	chey	Y	DIESER_EINTRAG	1	WH04	1	WHEN	COPY_LOCAL_MODEL
A3:G104	okody	OK+O+Y	DIESER_EINTRAG · BEDINGUNGSTEIL 26 VON C6@f69v.3	1	WH04	1	WHEN	COPY_LOCAL_MODEL
