order_id	sequence	slot	value_de	filled
WH01	1	MATERIAL	A.G2: weitergeführter wässriger Grundansatz A	YES
WH01	2	MEASURE	CAL1 kleiner Schoepfbecher; CAL2 abgegrenzter Teil	YES
WH01	3	SOURCE	Bildvorrat A.G1; Kette A.G1 -> A.G2	YES
WH01	4	TARGET	gemeinsame zweireihige Figuren-/Beckenstation	YES
WH01	5	OPERATION	B1; 21 sichtbare Arbeitseinheiten	YES
WH01	6	RESULT	CAL6 gleichmaessiger Durchlauf an allen sichtbaren Stationen	YES
WH01	7	CONDITION	Führe den Auftrag bei der im mittleren Ring C5 bezeichneten Feuchte-/Wetterlage aus.	YES
WH02	1	MATERIAL	B.X4: offene Fortsetzung der Auszugsportion B.X3	YES
WH02	2	MEASURE	CAL1 kleiner Schoepfbecher; CAL2 abgegrenzter Teil	YES
WH02	3	SOURCE	Bildvorrat B.X1; Kette B.X1 -> B.X2 -> B.X3 -> B.X4	YES
WH02	4	TARGET	oberes Beckenpaar mit Zylinder -> mittleres linkes Handgerät mit Inline-Knoten -> mittlere rechte unklare Station -> unteres grünes Mehrfigurenbecken -> kleine Randstationen des unteren Beckens	YES
WH02	5	OPERATION	B2; 22 sichtbare Arbeitseinheiten	YES
WH02	6	RESULT	CAL6 gleichmaessiger Durchlauf an allen sichtbaren Stationen	YES
WH02	7	CONDITION	Führe den Auftrag am markierten lokalen Platz C4 des linken 28er-Rades aus; keine Umlaufrichtung ist nötig.	YES
WH03	1	MATERIAL	A.G2: weitergeführter wässriger Grundansatz A	YES
WH03	2	MEASURE	CAL1 kleiner Schoepfbecher; CAL2 abgegrenzter Teil	YES
WH03	3	SOURCE	Bildvorrat A.G1; Kette A.G1 -> A.G2	YES
WH03	4	TARGET	obere offene Fächerstation am Rand -> mittlere Randfigur im runden Gefäß -> untere Randfigur im korbartigen Gefäß -> unverbundener Zwischenbereich -> sichtbares Figurenpaar mit gemeinsamem Bogen in B3	YES
WH03	5	OPERATION	B3; 34 sichtbare Arbeitseinheiten	YES
WH03	6	RESULT	CAL6 gleichmaessiger Durchlauf an allen sichtbaren Stationen	YES
WH03	7	CONDITION	Führe den Auftrag am bezeichneten linken Stern-/Aspektplatz C2 aus.	YES
WH04	1	MATERIAL	C.W2: warme Zielportion aus C.W1	YES
WH04	2	MEASURE	CAL1 kleiner Schoepfbecher; CAL2 abgegrenzter Teil	YES
WH04	3	SOURCE	Bildvorrat C.M1; Kette C.M1 -> C.M2 -> C.W1 -> C.W2	YES
WH04	4	TARGET	sichtbares Figurenpaar mit gemeinsamem Bogen in B4 -> linke Hauptstation mit offenem Fransenlauf -> rechte Hauptstation mit S-Lauf und Mehrarmknoten	YES
WH04	5	OPERATION	B4; 16 sichtbare Arbeitseinheiten	YES
WH04	6	RESULT	CAL6 gleichmaessiger Durchlauf an allen sichtbaren Stationen	YES
WH04	7	CONDITION	Führe den Auftrag bei der im rechten Ring C6 bezeichneten Licht-/Körperqualität aus.	YES
WH05	1	MATERIAL	B.X1: erster geschlossener Durchgangsauszug der Bildpflanze B	YES
WH05	2	MEASURE	CAL1 kleiner Schoepfbecher; CAL2 abgegrenzter Teil	YES
WH05	3	SOURCE	Bildvorrat B.X1; Kette B.X1	YES
WH05	4	TARGET	linke Fransenstation im B5-Nachtrag	YES
WH05	5	OPERATION	B5; 3 sichtbare Arbeitseinheiten	YES
WH05	6	RESULT	CAL6 gleichmaessiger Durchlauf an allen sichtbaren Stationen	YES
WH05	7	CONDITION	Führe den Auftrag am direkt bezeichneten Sternort C3 im Mehrpaneelatlas aus.	YES
WH06	1	MATERIAL	D.P1: geschlossener Durchlassansatz aus D.I1	YES
WH06	2	MEASURE	CAL1 kleiner Schoepfbecher; CAL2 abgegrenzter Teil	YES
WH06	3	SOURCE	Bildvorrat D.I1; Kette D.I1 -> D.P1	YES
WH06	4	TARGET	rechter S-Lauf im B6-Nachtrag	YES
WH06	5	OPERATION	B6; 1 sichtbare Arbeitseinheiten	YES
WH06	6	RESULT	CAL6 gleichmaessiger Durchlauf an allen sichtbaren Stationen	YES
WH06	7	CONDITION	Führe den Auftrag aus, wenn der markierte rechte Sektor-/Phasenplatz C1 gilt.	YES
