edition	paragraph	target	form	raw_line	row_status
ZL3b	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	ykeey okeey cheor chol sho odaiin	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	ykaiin ykeey ykal chod aiin oeey teodkaiin otodaiin okain	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	dar cheey ckheey qokeor okey chos sho ykeey okeeo ra[in:i?]	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	ykeey okeey cheor chol sho ydaiin	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	ykaiin ykeey ykal chod aiin oeey teodkaiin otodaiin okain	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	dor cheey ckheey qokeor okey chos sho ykeey okeeo raiin	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	ykeey okeey cheor chol sho odaiin	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	ykaiin ykeey ykal chod aiin oeey teo@152;kaiin otodaiin @221;kain	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	dor cheey ckheey qokeor okey chos sho ykeey okeeo rain	recorded
