statement_id	page	record	first_locus	silent_owner_de	event_count	source_instruction_de	compact_workshop_instruction_de	replacements_used	source_words	compact_words	words_saved	modern_meta_phrases_remaining	semantic_slots_preserved
H1-S001	f10r	H1	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	10	den laufenden Posten kurz abnehmen	dies kurz abnehmen	den laufenden Posten>dies	5	3	2	NO	YES
H1-S002	f10r	H1	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	4	den laufenden Posten einsetzen	dies einsetzen	den laufenden Posten>dies	4	2	2	NO	YES
H2-S001	f10r	H2	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	9	den laufenden Posten kurz abziehen	dies kurz abziehen	den laufenden Posten>dies	5	3	2	NO	YES
H2-S002	f10r	H2	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	8	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	danach dies weiter nach Maß im Gang bis bereit abziehen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|im Arbeitsgang>im Gang	13	10	3	NO	YES
H2-S003	f10r	H2	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	7	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	danach dies weiter davon nach Maß im Gang zugeben	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|von dort>davon|im Arbeitsgang>im Gang	13	9	4	NO	YES
H3-S001	f11r	H3	f11r.1	abgebildete dicht blau blühende Kronenpflanze	7	den laufenden Posten weiter eintragen und halten	dies weiter eintragen und halten	den laufenden Posten>dies	7	5	2	NO	YES
H3-S002	f11r	H3	f11r.1	abgebildete dicht blau blühende Kronenpflanze	1	den laufenden Posten im Arbeitsgang halten und eintragen	dies im Gang halten und eintragen	den laufenden Posten>dies|im Arbeitsgang>im Gang	8	6	2	NO	YES
H3-S003	f11r	H3	f11r.4	abgebildete dicht blau blühende Kronenpflanze	5	den laufenden Posten weiter zugeben	dies weiter zugeben	den laufenden Posten>dies	5	3	2	NO	YES
H3-S004	f11r	H3	f11r.7	abgebildete dicht blau blühende Kronenpflanze	4	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	danach dies weiter nach Maß bis bereit einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	11	8	3	NO	YES
H4-S001	f55v	H4	f55v.5	abgebildete breitblättrige rispige Pflanze	5	den laufenden Posten nach vorgeschriebenem Maß einsetzen	dies nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	7	4	3	NO	YES
H4-S002	f55v	H4	f55v.5	abgebildete breitblättrige rispige Pflanze	3	den laufenden Posten nach vorgeschriebenem Maß abmessen und umsetzen	dies nach Maß abmessen und umsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	9	6	3	NO	YES
H4-S003	f55v	H4	f55v.11	abgebildete breitblättrige rispige Pflanze	4	den laufenden Posten nach vorgeschriebenem Maß dosiert zugeben	dies nach Maß dosiert zugeben	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	8	5	3	NO	YES
H4-S004	f55v	H4	f55v.11	abgebildete breitblättrige rispige Pflanze	6	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle anlegen	dies nach Maß dorthin anlegen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|an der bezeichneten Stelle>dorthin	11	5	6	NO	YES
H5-S001	f56r	H5	f56r.5	abgebildete mehrköpfige stachelige Pflanze	9	den Ansatz abziehen	den Ansatz abziehen	NONE	3	3	0	NO	YES
H5-S002	f56r	H5	f56r.8	abgebildete mehrköpfige stachelige Pflanze	4	den laufenden Posten weiter an der bezeichneten Stelle anlegen	dies weiter dorthin anlegen	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin	9	4	5	NO	YES
H5-S003	f56r	H5	f56r.12	abgebildete mehrköpfige stachelige Pflanze	4	den laufenden Posten halten	dies halten	den laufenden Posten>dies	4	2	2	NO	YES
H5-S004	f56r	H5	f56r.13	abgebildete mehrköpfige stachelige Pflanze	3	den laufenden Posten einsetzen	dies einsetzen	den laufenden Posten>dies	4	2	2	NO	YES
H5-S005	f56r	H5	f56r.18	abgebildete mehrköpfige stachelige Pflanze	4	den laufenden Posten ansetzen	dies ansetzen	den laufenden Posten>dies	4	2	2	NO	YES
