register_role	card_or_component	selected_value_de	ca_1420_teaching_parallel	use_in_workshop
RAW_STATE	QEKY	ROH	CRUDUM	untreated input state
WARM_STATE	ROL / LOL	WARM	CALIDUM	general warm state; two learned cards
HANDWARM_STATE	SHECTHY	HANDWARM	TEPIDUM	ready-for-contact temperature
READY_STATE	CTH+Y	BEREIT	PARATUM	current item ready
READY_HOLD	CTH+E+Y	KURZ BEREITHALTEN	SERVA PARATUM	brief ready hold
SETTLE_STATE	SHED	ABSETZEN	DEPONE	settling operation
CLEAR_STATE	CHEALROR	KLAR	CLARUM	state checked before collection
WATER_MEDIUM	AIR	WASSER	AQUA	productive water core
BASIN_WATER	K+AIR	BECKENWASSER	AQUA LABRI	water under basin hull
WARM_WATER	RSHEAL	WARMWASSER	AQUA CALIDA	learned whole medium sign
RINSE_WATER	TSHEY	SPÜLWASSER	AQUA LOTIONIS	learned whole medium sign
FRESH_WATER	DSHEDY	FRISCHWASSER	AQUA RECENS	learned whole medium sign
ADDITIVE	DL	BADZUSATZ	ADDITAMENTUM	learned bath additive sign
BATCH	OR	ANSATZ	COMPOSITUM	productive working batch
EXTRACT	CHEO	AUSZUG	EXTRACTUM	intermediate extract
CLEAR_PRODUCT	SHEY	KLARFLÜSSIGKEIT	LIQUOR CLARUS	clear recovered working liquid
WINE_DECOCTION	SCHOAL	WEINSUD	DECOCTUM IN VINO	learned Herbal product sign
DRAUGHT	KCHY	TRANK	POTUS	learned Herbal product sign
WARM_POUR	SKAR	WARM AUSGIESSEN	EFFUNDE CALIDUM	learned action sign
