statement_id	formula_family	card_ordinal	component_recipe	source_token
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	1	CH+E+Y	T08
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	2	CTH+O+OR	T08
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	3	AR	M06
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	4	T+Y	T18
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	5	OS	T18
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	6	CH+AIR	T18
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	7	OT+Y+T+CH+OL	T18
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	8	OK+Y	M08
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	9	AIIN	M01
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	10	E+T+Y	T03
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	1	Y+CH+E+OR	T07
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	2	CTH+Y	M05
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	3	OR	T15
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	4	CTH+AIIN	T15
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	5	O+CTH+OL+Y	T15
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	6	Y	M02
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	7	Y	M02
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	8	AIIN	M01
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	9	Y	M02
H3-S001	HERBAL_WET_PROCESS_CADENCE	1	T+SH+OL	T19
H3-S001	HERBAL_WET_PROCESS_CADENCE	2	SH+O+AL	T19
H3-S001	HERBAL_WET_PROCESS_CADENCE	3	CFH+Y	T19
H3-S001	HERBAL_WET_PROCESS_CADENCE	4	SH+Y+AIIN	T19
H3-S001	HERBAL_WET_PROCESS_CADENCE	5	P+Y	T19
H3-S001	HERBAL_WET_PROCESS_CADENCE	6	SH+EE+Y	T19
H3-S001	HERBAL_WET_PROCESS_CADENCE	7	T+CH+O+DY	T19
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	1	HO+CH+OR	T14
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	2	HO	T14
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	3	HO+AL+Y	T14
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	4	AIIN	M01
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	5	HO	T14
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	6	K+OL	T13
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	7	OT+CH+OR	T13
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	8	OK+Y	M08
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	9	AL	M03
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	1	OK+AIIN	M07
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	2	K+AIR	T11
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	3	OK+AL	T11
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	4	AR	M06
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	5	OL	M04
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	6	K+AIN	T10
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	7	OL+K+AIN	T10
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	8	AL	M03
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	9	OL	M04
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	10	R+OL	T16
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	11	L	T16
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	12	OL+OR	T16
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	13	OL	M04
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	14	SH+E+CKH+AL	T06
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	15	AIIN	M01
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	16	OK+EE+AL	T05
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	17	AIIN	M01
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	18	CKH+Y	T09
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	19	CHD+DY	T09
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	1	OK+AIIN	M07
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	2	CTH+Y	M05
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	3	AL	M03
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	4	Y	M02
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	5	AIIN	M01
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	6	SHED+AL	T12
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	7	SH+E+CTH+Y	T12
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	8	Y	M02
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	9	AL	M03
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	10	CTH+Y	M05
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	11	AL+CHD+DY	T02
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	1	SOLK+EE+Y	T17
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	2	E+K+E+Y	T17
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	3	R+AL+Y	T17
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	4	OL	M04
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	5	AIIN	M01
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	6	OL	M04
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	7	AIN	T01
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	8	Y	M02
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	9	L+AL+OR	T04
