tail_id	card_sequence	cards	formula_uses	statement_ids	teaching_status
T01	AIN	1	1	B6-S001	BOUND_LOCAL_TAIL_STRIP
T02	AL+CHD+DY	1	1	B3-S021	BOUND_LOCAL_TAIL_STRIP
T03	E+T+Y	1	1	H1-S001	BOUND_LOCAL_TAIL_STRIP
T04	L+AL+OR	1	1	B6-S001	BOUND_LOCAL_TAIL_STRIP
T05	OK+EE+AL	1	1	B1-S002	BOUND_LOCAL_TAIL_STRIP
T06	SH+E+CKH+AL	1	1	B1-S002	BOUND_LOCAL_TAIL_STRIP
T07	Y+CH+E+OR	1	1	H2-S001	BOUND_LOCAL_TAIL_STRIP
T08	CH+E+Y | CTH+O+OR	2	1	H1-S001	BOUND_LOCAL_TAIL_STRIP
T09	CKH+Y | CHD+DY	2	1	B1-S002	BOUND_LOCAL_TAIL_STRIP
T10	K+AIN | OL+K+AIN	2	1	B1-S002	BOUND_LOCAL_TAIL_STRIP
T11	K+AIR | OK+AL	2	1	B1-S002	BOUND_LOCAL_TAIL_STRIP
T12	SHED+AL | SH+E+CTH+Y	2	1	B3-S021	BOUND_LOCAL_TAIL_STRIP
T13	HO | K+OL | OT+CH+OR	3	1	H5-S001	BOUND_LOCAL_TAIL_STRIP
T14	HO+CH+OR | HO | HO+AL+Y	3	1	H5-S001	BOUND_LOCAL_TAIL_STRIP
T15	OR | CTH+AIIN | O+CTH+OL+Y	3	1	H2-S001	BOUND_LOCAL_TAIL_STRIP
T16	R+OL | L | OL+OR	3	1	B1-S002	BOUND_LOCAL_TAIL_STRIP
T17	SOLK+EE+Y | E+K+E+Y | R+AL+Y	3	1	B6-S001	BOUND_LOCAL_TAIL_STRIP
T18	T+Y | OS | CH+AIR | OT+Y+T+CH+OL	4	1	H1-S001	BOUND_LOCAL_TAIL_STRIP
T19	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	7	1	H3-S001	BOUND_LOCAL_TAIL_STRIP
