tail_recipe	present_cores	missing_cores	events	surfaces_by_core	tail_reading_de	status
AIIN	OK,OT	OL	12	OK=okaiin,qokaiin | OT=otaiin,sotaiin	SOLLMASS	TWO_CORE_PARADIGM
AL	OK,OT	OL	9	OK=okal,qokal | OT=otal,qotal	ZIELSTELLE	TWO_CORE_PARADIGM
AL+Y	OK,OL	OT	2	OK=qokaly | OL=olsaly	ZIELSTELLE · DIES	TWO_CORE_PARADIGM
AR	OK,OT	OL	2	OK=qokar | OT=otar	QUELLE	TWO_CORE_PARADIGM
CHD+DY	OK,OT,OL	NONE	11	OK=okchedy,qokchdy,qokchedy | OT=otchdy,otchedy,qotchedy | OL=olchedy,qolchedy	UMSETZEN · SCHLUSS	THREE_CORE_COMPLETE
E+DY	OK,OT	OL	10	OK=qokedy | OT=otedy	KURZ · SCHLUSS	TWO_CORE_PARADIGM
EE+DY	OK,OT	OL	12	OK=qokeedy | OT=qoteedy	LANG · SCHLUSS	TWO_CORE_PARADIGM
EE+Y	OK,OT	OL	9	OK=okeey,qokeey | OT=oteey	LANG · DIES	TWO_CORE_PARADIGM
OL	OK,OT	OL	3	OK=okchol,qokol | OT=otol	WEITER	TWO_CORE_PARADIGM
SH+E+DY	OK,OL	OT	2	OK=qokshedy | OL=solshedy	HALTEN · KURZ · SCHLUSS	TWO_CORE_PARADIGM
Y	OK,OT,OL	NONE	17	OK=chokchy,choky,okchy,oky,qokchy,qoky | OT=otchey,qotchy | OL=qolchey	DIES	THREE_CORE_COMPLETE
