group_serial	page	locus	visible_owner	namespace_id	visible_surface	component_parse	composed_short_value_de	composition_status	aiin_contribution_de	existing_diagram_reading_de
80	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	alaiin	AL+AIIN	Ziel-Sollwert	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.
92	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	F67_LEFT_WHEEL_NS	ytoaiin	Y+LOCAL_TO+AIIN	Sollwert des lokalen YTO-Postens	LOCAL_CORE_PLUS_AIIN	SOLLWERT_ODER_GRAD	Sternplatz A1_LEFT_LOCAL_FIELD_37: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yto.
96	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	chedaiin	CHED+AIIN	Übertragungs-Sollwert	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.
119	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	todaiin	LOCAL_TO+D+AIIN	Sollwert des lokalen TOD-Postens	LOCAL_CORE_PLUS_AIIN	SOLLWERT_ODER_GRAD	Sternplatz A1_LEFT_LOCAL_FIELD_48: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest tod.
127	f67r2	f67r2.51	A1_LEFT_LOCAL_FIELD_51	F67_LEFT_WHEEL_NS	dadaiin	LOCAL_DA+D+AIIN	Sollwert des lokalen DAD-Postens	LOCAL_CORE_PLUS_AIIN	SOLLWERT_ODER_GRAD	Sternplatz A1_LEFT_LOCAL_FIELD_51: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest dad.
156	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	aldaiin	AL+D_PREVIOUS+AIIN	voriger Ziel-Sollwert	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d.
157	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	ydaiin	Y+D_PREVIOUS+AIIN	Sollwert dieses vorigen Postens	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yd.
159	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	ydaiin	Y+D_PREVIOUS+AIIN	Sollwert dieses vorigen Postens	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yd.
162	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	ykoaiin	Y+K_BINDER+O_WITHDRAW+AIIN	gebundener Sollwert dieses Postens	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yko.
174	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	oaiin	O_WITHDRAW+AIIN	Rücknahmewert	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest o.
186	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	qokoaiin	OK+O_WITHDRAW+AIIN	Rücknahmewert setzen	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest q/o.
248	f68r1	f68r1.34	A2_STAR_STATION_26	F68_LOCAL_STAR_SLOT_NS	osdaiin	OS_RECEIVER+D_PREVIOUS+AIIN	voriger Aufnahmewert	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Sternplatz A2_STAR_STATION_26: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest osd.
282	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	choaiin	CHO_INPUT+AIIN	Eingabe-Sollwert	FULL_40_COMPONENT_PARSE	SOLLWERT_ODER_GRAD	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmelsobjekt oder Eingangsbedingung + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest c.
