visible_surface	component_parse	composed_short_value_de	composition_status	group_count	pages	loci
alaiin	AL+AIIN	Ziel-Sollwert	FULL_40_COMPONENT_PARSE	1	f67r2	f67r2.32
ytoaiin	Y+LOCAL_TO+AIIN	Sollwert des lokalen YTO-Postens	LOCAL_CORE_PLUS_AIIN	1	f67r2	f67r2.37
chedaiin	CHED+AIIN	Übertragungs-Sollwert	FULL_40_COMPONENT_PARSE	1	f67r2	f67r2.39
todaiin	LOCAL_TO+D+AIIN	Sollwert des lokalen TOD-Postens	LOCAL_CORE_PLUS_AIIN	1	f67r2	f67r2.48
dadaiin	LOCAL_DA+D+AIIN	Sollwert des lokalen DAD-Postens	LOCAL_CORE_PLUS_AIIN	1	f67r2	f67r2.51
aldaiin	AL+D_PREVIOUS+AIIN	voriger Ziel-Sollwert	FULL_40_COMPONENT_PARSE	1	f67r2	f67r2.72
ydaiin	Y+D_PREVIOUS+AIIN	Sollwert dieses vorigen Postens	FULL_40_COMPONENT_PARSE	2	f67r2	f67r2.72|f67r2.72
ykoaiin	Y+K_BINDER+O_WITHDRAW+AIIN	gebundener Sollwert dieses Postens	FULL_40_COMPONENT_PARSE	1	f67r2	f67r2.72
oaiin	O_WITHDRAW+AIIN	Rücknahmewert	FULL_40_COMPONENT_PARSE	1	f67r2	f67r2.73
qokoaiin	OK+O_WITHDRAW+AIIN	Rücknahmewert setzen	FULL_40_COMPONENT_PARSE	1	f67r2	f67r2.74
osdaiin	OS_RECEIVER+D_PREVIOUS+AIIN	voriger Aufnahmewert	FULL_40_COMPONENT_PARSE	1	f68r1	f68r1.34
choaiin	CHO_INPUT+AIIN	Eingabe-Sollwert	FULL_40_COMPONENT_PARSE	1	f69v	f69v.1
