event_serial	record_unit_id	page	statement_id	visible_surface	spoken_value_de	drawer	record_phase
1	H1	f10r	H1-S001	dchey	Wurzel · Posten	D1_MATERIAL_PRODUCT_VESSEL	P01
2	H1	f10r	H1-S001	cthoor	bereitstellen · Ansatz	D1_MATERIAL_PRODUCT_VESSEL	P01
3	H1	f10r	H1-S001	char	davon	ACTIVE_CORE	P02
4	H1	f10r	H1-S001	chty	einen Teil abtrennen	ACTIVE_CORE	P02
5	H1	f10r	H1-S001	os	Gefäß	D1_MATERIAL_PRODUCT_VESSEL	P03
6	H1	f10r	H1-S001	chair	Flüssigkeitslauf	D4_TRANSFER_SOURCE_TARGET	P04
7	H1	f10r	H1-S001	otytchol	danach · Teil · weiter	D5_QUANTITY_PART_STAGE	P05
8	H1	f10r	H1-S001	oky	diesen Posten einsetzen	ACTIVE_CORE	P06
9	H1	f10r	H1-S001	daiin	Sollmaß	ACTIVE_CORE	P06
10	H1	f10r	H1-S001	etyd	kurz · Teil	D3_HEAT_SETTLE_STATE	P07
11	H1	f10r	H1-S002	qokchy	diesen Posten weiterbearbeiten	ACTIVE_CORE	P08
12	H1	f10r	H1-S002	qotchol	danach · weiter	D6_ORDER_CONTINUATION	P09
13	H1	f10r	H1-S002	chol	weiter	ACTIVE_CORE	P10
14	H1	f10r	H1-S002	cthy	diesen Posten bereitstellen	ACTIVE_CORE	P10
15	H2	f10r	H2-S001	ycheor	Posten · Auszug · Ansatz	D1_MATERIAL_PRODUCT_VESSEL	P01
16	H2	f10r	H2-S001	cthy	diesen Posten bereitstellen	ACTIVE_CORE	P02
17	H2	f10r	H2-S001	chor	Arbeitsansatz	ACTIVE_CORE	P02
18	H2	f10r	H2-S001	cthaiin	bereitstellen · Sollmaß	D3_HEAT_SETTLE_STATE	P03
19	H2	f10r	H2-S001	qoctholy	bereitstellen · weiter · Posten	D3_HEAT_SETTLE_STATE	P03
20	H2	f10r	H2-S001	dy	dieser Posten	ACTIVE_CORE	P04
21	H2	f10r	H2-S001	chy	dieser Posten	ACTIVE_CORE	P04
22	H2	f10r	H2-S001	taiin	Sollmaß	ACTIVE_CORE	P04
23	H2	f10r	H2-S001	shy	dieser Posten	ACTIVE_CORE	P04
24	H2	f10r	H2-S002	qotchor	nächster Arbeitsansatz	ACTIVE_CORE	P04
25	H2	f10r	H2-S002	chor	Arbeitsansatz	ACTIVE_CORE	P04
26	H2	f10r	H2-S002	otol	danach · weiter	D6_ORDER_CONTINUATION	P05
27	H2	f10r	H2-S002	chol	weiter	ACTIVE_CORE	P06
28	H2	f10r	H2-S002	cholor	damit weiter	ACTIVE_CORE	P06
29	H2	f10r	H2-S002	chol	weiter	ACTIVE_CORE	P06
30	H2	f10r	H2-S002	daiin	Sollmaß	ACTIVE_CORE	P06
31	H2	f10r	H2-S002	dar	davon	ACTIVE_CORE	P06
32	H2	f10r	H2-S003	oykchor	Posten · bearbeiten · Ansatz	D1_MATERIAL_PRODUCT_VESSEL	P07
33	H2	f10r	H2-S003	shor	Arbeitsansatz	ACTIVE_CORE	P08
34	H2	f10r	H2-S003	chor	Arbeitsansatz	ACTIVE_CORE	P08
35	H2	f10r	H2-S003	chy	dieser Posten	ACTIVE_CORE	P08
36	H2	f10r	H2-S003	kaiiin	Arbeitsstufe	D5_QUANTITY_PART_STAGE	P09
37	H2	f10r	H2-S003	dy	dieser Posten	ACTIVE_CORE	P10
38	H2	f10r	H2-S003	chodaiin	Zutat · Sollmaß	D1_MATERIAL_PRODUCT_VESSEL	P11
39	H3	f11r	H3-S001	tshol	Zutat · abführen	D1_MATERIAL_PRODUCT_VESSEL	P01
40	H3	f11r	H3-S001	schoal	Zutat · Zielstelle	D1_MATERIAL_PRODUCT_VESSEL	P01
41	H3	f11r	H3-S001	cfhy	auswringen · Posten	D2_FILTER_WASH_FLOW	P02
42	H3	f11r	H3-S001	shfydaiin	halten · Sollmaß	D3_HEAT_SETTLE_STATE	P03
43	H3	f11r	H3-S001	cphy	nachseihen · Posten	D2_FILTER_WASH_FLOW	P04
44	H3	f11r	H3-S001	shey	Klarlauf	ACTIVE_CORE	P05
45	H3	f11r	H3-S001	tchody	Zutat; schließen	D1_MATERIAL_PRODUCT_VESSEL	P06
46	H3	f11r	H3-S002	shoyty	Zutat · Posten · Teil	D1_MATERIAL_PRODUCT_VESSEL	P06
47	H3	f11r	H3-S003	dchol	vom vorigen Posten	ACTIVE_CORE	P07
48	H3	f11r	H3-S003	chy	dieser Posten	ACTIVE_CORE	P07
49	H3	f11r	H3-S003	kchy	bearbeiten · Posten	D8_LOCAL_OPERATION	P08
50	H3	f11r	H3-S003	dy	dieser Posten	ACTIVE_CORE	P09
51	H3	f11r	H3-S003	daiin	Sollmaß	ACTIVE_CORE	P09
52	H3	f11r	H3-S004	qotchy	danach · Posten	D6_ORDER_CONTINUATION	P10
53	H3	f11r	H3-S004	okchol	einsetzen · weiter	D6_ORDER_CONTINUATION	P10
54	H3	f11r	H3-S004	cthy	diesen Posten bereitstellen	ACTIVE_CORE	P11
