record_unit_id	page	section	event_count	active_core_events	material_events	filter_events	state_events	transfer_events	quantity_events	order_events	application_events	local_events	leading_specialist_drawer	collapsed_drawer_phases	working_record_reading
B1	f81v	BIOLOGICAL	66	47	0	4	5	6	2	2	0	0	TRANSFER	CORE>TRANSFER>CORE>QUANTITY>CORE>ORDER>CORE>FILTER>CORE>STATE>CORE>STATE>CORE>TRANSFER>CORE>FILTER>CORE>FILTER>CORE>ORDER>TRANSFER>CORE>TRANSFER>STATE>CORE>STATE>TRANSFER>STATE>QUANTITY>CORE	general basin program alternating transfer, passage, state and wash cells
B2	f82r	BIOLOGICAL	62	34	0	6	11	10	0	0	0	1	STATE	CORE>FILTER>TRANSFER>CORE>FILTER>TRANSFER>STATE>CORE>STATE>CORE>STATE>CORE>FILTER>CORE>STATE>CORE>TRANSFER>CORE>STATE>CORE>TRANSFER>CORE>TRANSFER>CORE>STATE>CORE>FILTER>CORE>STATE>CORE>TRANSFER>FILTER>CORE>TRANSFER>LOCAL>CORE>STATE>CORE>TRANSFER>STATE>TRANSFER>CORE>FILTER>STATE>CORE>TRANSFER	multi-station program dominated by transfer, held state and filtered outflow
B3	f83r	BIOLOGICAL	86	59	1	0	13	12	1	0	0	0	STATE	CORE>STATE>CORE>TRANSFER>CORE>TRANSFER>STATE>CORE>TRANSFER>CORE>STATE>CORE>TRANSFER>STATE>CORE>TRANSFER>CORE>STATE>CORE>STATE>CORE>TRANSFER>CORE>TRANSFER>STATE>CORE>MATERIAL>CORE>STATE>CORE>STATE>CORE>TRANSFER>CORE>TRANSFER>CORE>STATE>CORE>STATE>CORE>QUANTITY>CORE>TRANSFER>CORE	long processing line dominated by repeated transfer and state changes
B4	f83r	BIOLOGICAL	47	34	1	2	4	2	1	2	1	0	STATE	CORE>ORDER>CORE>APPLICATION>MATERIAL>CORE>STATE>CORE>STATE>CORE>STATE>CORE>ORDER>CORE>FILTER>TRANSFER>CORE>FILTER>STATE>CORE>QUANTITY>CORE>TRANSFER>CORE	cloth/application service program with ordering, filtration, fastening and cleanup
B5	f83r	BIOLOGICAL	11	6	0	0	1	3	1	0	0	0	TRANSFER	TRANSFER>CORE>STATE>CORE>TRANSFER>CORE>QUANTITY>CORE	small left service station for settling and source-to-target transfer
B6	f83r	BIOLOGICAL	9	4	1	0	2	2	0	0	0	0	TRANSFER	STATE>TRANSFER>CORE>MATERIAL>CORE>TRANSFER	small right service station for collection, cloth and final target delivery
H1	f10r	HERBAL	14	7	3	0	1	1	1	1	0	0	MATERIAL	MATERIAL>CORE>MATERIAL>TRANSFER>QUANTITY>CORE>STATE>CORE>ORDER>CORE	material-led root or solid-part preparation with one run, one value and a carried finishing step
H2	f10r	HERBAL	24	17	3	0	2	0	1	1	0	0	MATERIAL	MATERIAL>CORE>STATE>CORE>ORDER>CORE>MATERIAL>CORE>QUANTITY>CORE>MATERIAL	material-led formulation of a new batch with repeated item, state and carry cards
H3	f11r	HERBAL	17	7	4	2	1	0	0	2	0	1	MATERIAL	MATERIAL>FILTER>STATE>FILTER>CORE>MATERIAL>CORE>LOCAL>CORE>ORDER>CORE	the clearest extraction article: material, wringing, holding, re-straining and clear run
H4	f55v	HERBAL	18	10	2	0	2	0	3	0	1	0	QUANTITY	CORE>QUANTITY>STATE>CORE>APPLICATION>QUANTITY>MATERIAL>CORE>STATE>CORE>MATERIAL	quantity-led division of a prepared product followed by storage or local application
H5	f56r	HERBAL	27	14	5	1	3	1	0	1	1	1	MATERIAL	MATERIAL>CORE>MATERIAL>CORE>ORDER>CORE>MATERIAL>CORE>FILTER>STATE>CORE>STATE>LOCAL>CORE>MATERIAL>TRANSFER>CORE>MATERIAL>APPLICATION>CORE>STATE>CORE	multi-product fresh-plant article with ingredients, extraction, binding and a second preparation
