sample_id	page	locus	section	language	hand	position	token_type	local_span	reader_status	deictic_A	entry_B	closure_C	best_role	best_rendering_de	reason	rival/replacement_trigger
MY001	f13v	f13v.10	H	A	1	BOS	P	y ol chy	RF_LOSES_OR_FUSES_Y	Zu dieser Droge: Gut oder Ansatz, trocken am Gradanfang	Neuer Eintrag: Gut oder Ansatz, trocken am Gradanfang	Grundform des Guts oder Ansatzes: trocken am Gradanfang	Y_ENTRY_HEAD	Neuer Eintrag:	BOS vor einem nominalen Gut; RF bindet Y an den rechten Nachbarn, daher Eintragskopf statt freies Wort	Rivale A; durch deiktische Lesung ersetzen, sobald derselbe rechte Kopf auf mehreren Linien einen sichtbaren vorangehenden Drogenreferenten wiederaufnimmt
MY002	f15v	f15v.7	H	A	1	BOS	P	y choiin	IT_LOSES_OR_FUSES_Y	Zu dieser Droge: trockene Zubereitungsform III	Neuer Eintrag: trockene Zubereitungsform III	Grundform: trockene Zubereitungsform III	Y_ENTRY_HEAD	Neuer Eintrag:	BOS unmittelbar vor einer konkreten Zubereitungsform; die Leservariante trägt kein stabiles selbständiges Y	Rivale A; zu derselben Droge nur dann, wenn CHOIIN-Einträge systematisch einen lokalen Antezedenten besitzen
MY003	f24r	f24r.1	H	A	1	MEDIAL	P	or y chor	BOTH_LOSE_OR_FUSE_Y	Drogenportion dieser Droge: Pflanzen- oder Reproduktionsteil	Drogenportion; neuer Posten: Pflanzen- oder Reproduktionsteil	Drogenportion in Grundform; Pflanzen- oder Reproduktionsteil	Y_SAME_DRUG_HEAD	Drogenportion dieser Droge:	Zwischen konkreter Drogenportion und konkretem Pflanzenteil ergibt die deiktische Bindung die knappste nominale Notiz	Rivale C; auf Formschluss umstellen, falls ORY als wiederkehrende linke Ganzform ohne nachfolgenden Materia-Kopf auftritt
MY004	f39v	f39v.13	H	B	2	EOS	P	daiiin y	IT_LOSES_OR_FUSES_Y	Grad- oder Maßwert IV dieser Droge	Grad- oder Maßwert IV; Trenner	Grad- oder Maßwert IV; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	EOS und IT bindet Y links an DAIIIN; ein Abschluss erklärt Position und Fusion ohne erfundenen Referenten	Rivale A; nur ersetzen, wenn terminales Y nachweisbar einen drogenbezogenen Antezedenten und nicht bloß das Zeilenende markiert
MY005	f42v	f42v.12	H	A	1	EOS	P	taiin y	EXACT_LINE	Kalt, Grad III dieser Droge	Kalt, Grad III; Trenner	Kalt, Grad III; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	Dreileser-exaktes EOS nach einem Gradwert; GDT624s gebundene Y-Schlussfunktion passt direkt	Rivale A; deiktisch nur bei wiederholten TAIIN-Y-Spannen mit eindeutig demselben Stoff als Antezedent
MY006	f48v	f48v.6	H	B	5	MEDIAL	P	ok y tar	IT_LOSES_OR_FUSES_Y	[OK]; von derselben Droge kalte Drogenfraktion I	[OK]; neuer Posten: kalte Drogenfraktion I	[OK], Grundform; kalte Drogenfraktion I	Y_MEDIAL_DIVIDER	Neuer Posten:	Y steht vor einem neuen konkreten Fraktionskopf und IT bindet es rechts; die Gliederung ist sicherer als ein unbelegter Referent	Rivale A; deiktisch ersetzen, wenn OK einen stabilen Antezedenten bezeichnet und Y-TAR regelmäßig dessen Teilfraktion eröffnet
MY007	f49v	f49v.23	H	A	1	ONLY	L	y	EXACT_LINE	Dieser Eintrag	Beschriftungs- oder Gliederungszeichen	Form- oder Schlusszeichen	Y_LABEL_SIGLUM	[Beschriftungszeichen]	Ein dreileser-exaktes Einzelzeichen auf einer L-Zeile; eine gesprochene Wortbedeutung würde Inhalt erfinden	Rivale C; als Schlusszeichen rendern, falls Bild- oder Labelreihen zeigen, dass das Zeichen regelmäßig eine vorausgehende Beschriftung beendet
MY008	f50r	f50r.5	H	B	2	MEDIAL	P	ar y qokchdy	Y_RETAINED_OTHER_VARIANT	Drogenfraktion I dieser Droge; heiß-trocken am Gradanfang, abgeschlossen	Drogenfraktion I; neuer Posten: heiß-trocken am Gradanfang, abgeschlossen	Drogenfraktion I in Grundform; heiß-trocken am Gradanfang, abgeschlossen	Y_SAME_DRUG_HEAD	Drogenfraktion I dieser Droge:	Alle Leser behalten ein nacktes Y zwischen einer konkreten Fraktion und ihrer anschließenden Qualitätsangabe	Rivale B; als Trenner ersetzen, wenn QOKCHDY auf parallelen Linien einen selbständigen neuen Posten statt eine Eigenschaft derselben Fraktion bildet
MY009	f95r2	f95r2.6	H	B	3	BOS	P	y olkor	Y_RETAINED_OTHER_VARIANT	Zu dieser Droge: [OLKOR]	Neuer Eintrag: [OLKOR]	Grundform: [OLKOR]	Y_ENTRY_HEAD	Neuer Eintrag:	BOS ist stabil, aber der rechte Kopf bleibt semantisch offen; eine reine Eintragsmarke erfindet keinen Referenten	Rivale A; deiktisch ersetzen, sobald OLKOR konkret gelesen ist und einen sichtbaren Drogenantezedenten wiederaufnimmt
MY010	f95r2	f95r2.8	H	B	3	MEDIAL	P	y cheol	IT_LOSES_OR_FUSES_Y	Zu derselben Droge: trockener Drogenstoff	Neuer Untereintrag: trockener Drogenstoff	Grundform: trockener Drogenstoff	Y_SAME_DRUG_HEAD	Zu derselben Droge:	IT fusioniert rechts zu YCHEOL; die bereits gebundene GDT650-Eintragsfamilie liefert einen konkreten Stoffkopf	Rivale B; auf bloßen Eintragskopf zurückstufen, falls Y-CHEOL ohne lokalen Referenten ebenso gut auftritt
MY011	f78r	f78r.19	B	B	2	BOS	P	y ches	EXACT_LINE	[CHES] dieser Droge	Neuer Eintrag: [CHES]	Grundform: [CHES]	Y_ENTRY_HEAD	Neuer Eintrag:	Dreileser-exaktes BOS, aber CHES ist unbekannt; B bleibt praktisch und fügt keinen Inhalt hinzu	Rivale A; erst deiktisch lesen, wenn CHES als Materia-Kopf und ein Antezedent gesichert sind
MY012	f80r	f80r.42	B	B	2	BOS	P	y cheeytal	IT_LOSES_OR_FUSES_Y	Zu dieser Droge: [CHEEYTAL], trockenes Blatt- oder Krautgut	Neuer Eintrag: [CHEEYTAL], trockenes Blatt- oder Krautgut	Grundform: [CHEEYTAL], trockenes Blatt- oder Krautgut	Y_ENTRY_HEAD	Neuer Eintrag:	BOS und IT-Rechtsfusion vor einer nominalen Folge; ein Eintragskopf erklärt die ganze Zeile ohne CHEEYTAL umzudeuten	Rivale A; auf dieselbe Droge umstellen, wenn CHEEYTAL einen stabilen referierten Stoff eröffnet
MY013	f79r	f79r.24	B	B	2	EOS	P	okain y	EXACT_LINE	Heiß, Grad II dieser Droge	Heiß, Grad II; Trenner	Heiß, Grad II; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	Dreileser-exaktes EOS nach einem vollständigen Gradwert	Rivale A; deiktisch nur bei positiver Evidenz für einen terminalen postpositionalen Drogenbezug
MY014	f80r	f80r.34	B	B	2	EOS	P	koroiin y	Y_RETAINED_OTHER_VARIANT	[KOROIIN] dieser Droge	[KOROIIN]; Trenner	[KOROIIN]; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	Alle Leser behalten Y am Zeilenende, während der linke Inhalt offen bleibt; Abschluss ist die sparsamste praktische Funktion	Rivale B; als Listentrenner statt Schluss rendern, wenn ein nachfolgender sichtbarer Eintrag noch zur selben physischen Zeile gehört
MY015	f80v	f80v.21	B	B	2	MEDIAL	P	okal y rchey	IT_LOSES_OR_FUSES_Y	Heißer Ansatzrohstoff Klasse I; zu derselben Droge: trocken gebundene Wurzeldroge, Form I	Heißer Ansatzrohstoff Klasse I; neuer Unterposten: trocken gebundene Wurzeldroge, Form I	Heißer Ansatzrohstoff Klasse I; Grundform: trocken gebundene Wurzeldroge, Form I	Y_SAME_DRUG_HEAD	Zu derselben Droge:	Neun von zehn V35-Token sind bekannt; IT fusioniert ausschließlich rechts zu YRCHEY und RCHEY ist ein konkreter Wurzelkopf	Rivale B; auf neuen Unterposten zurückstufen, falls weitere Y-R/S/P/L-Köpfe keinen lokalen Antezedenten teilen oder nur durch Position erklärt werden
MY016	f80v	f80v.35	B	B	2	MEDIAL	P	olkar y qol	EXACT_LINE	[OLKAR] dieser Droge; [QOL]	[OLKAR]; neuer Posten: [QOL]	[OLKAR] in Grundform; [QOL]	Y_MEDIAL_DIVIDER	Neuer Posten:	Y ist exakt, aber beide Nachbarn sind semantisch offen; Gliederung ist informativer als ein erfundener deiktischer Bezug	Rivale A; deiktisch ersetzen, sobald OLKAR und QOL als Antezedent und abhängiger Kopf konkret zusammenpassen
MY017	f86v3	f86v3.25	C	B	2	MEDIAL	P	qodaiin y ochedy	IT_LOSES_OR_FUSES_Y	[QODAIIN] dieser Droge; [OCHEDY]	[QODAIIN]; neuer Listenabschnitt: [OCHEDY]	[QODAIIN]; Form: [OCHEDY]	Y_MEDIAL_DIVIDER	Neuer Listenabschnitt:	Seltene C-Sektion, rechte Fusion in IT und zwei offene Nachbarn; B hält die beobachtete Grenze ohne Scheinkonkretheit	Rivale C; als Formmarker ersetzen, wenn OCHEDY als Zustand desselben linken Trägers bestätigt wird
