layer	context_class	occurrences	fraction_of_270
MECHANICAL_BASE	Y_ONLY_DIVIDER	9	0.033333
MECHANICAL_BASE	Y_BOS_ENTRY	60	0.222222
MECHANICAL_BASE	Y_EOS_CLOSE	34	0.125926
MECHANICAL_BASE	Y_MEDIAL_RIGHT_REFERENCE	43	0.159259
MECHANICAL_BASE	Y_MEDIAL_LEFT_CLOSE	36	0.133333
MECHANICAL_BASE	Y_MEDIAL_BIDIRECTIONAL_HINGE	50	0.185185
MECHANICAL_BASE	Y_MEDIAL_UNRESOLVED_HINGE	38	0.140741
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_LABEL_SIGLUM	11	0.040741
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_BOS_ENTRY	60	0.222222
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_EOS_CLOSE	33	0.122222
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_MEDIAL_RIGHT_REFERENCE	31	0.114815
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_MEDIAL_LEFT_CLOSE	35	0.129630
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_MEDIAL_BIDIRECTIONAL_HINGE	49	0.181481
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_MEDIAL_UNRESOLVED_HINGE	38	0.140741
FINAL_WITH_LABEL_AND_MATERIA_PRECEDENCE	Y_MEDIAL_RIGHT_REFERENCE_MATERIA	13	0.048148
