page	locus	section	language	hand	y_occurrences	y_ordinals	context_classes	zl3b_line	v35_token_glosses_de	v36_token_glosses_de	v36_working_translation_de	base_unknown_tokens	v36_unknown_tokens
f100r	f100r.23	P	A	1	1	11	Y_MEDIAL_UNRESOLVED_HINGE	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	Samen/Saatgutzubereitung, Form III | trocken; nominal trockenes Gut/Material | [cphol:?] | feucht; nominal feuchtes Gut/Material | feucht; nominal feuchtes Gut/Material | [qockhol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | feuchter Ansatz | heiß am Ende des Grades | [y:?] | [ykeeam:?]	Samen/Saatgutzubereitung, Form III | trocken; nominal trockenes Gut/Material | [cphol:?] | feucht; nominal feuchtes Gut/Material | feucht; nominal feuchtes Gut/Material | [qockhol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | feuchter Ansatz | heiß am Ende des Grades | hierzu: | [ykeeam:?]	Samen/Saatgutzubereitung, Form III; trocken; nominal trockenes Gut/Material; [cphol:?]; feucht; nominal feuchtes Gut/Material; feucht; nominal feuchtes Gut/Material; [qockhol:?]; Pflanzen-/Reproduktionsteil; trocken; nominal trockenes Gut/Material; feuchter Ansatz; heiß am Ende des Grades; hierzu: [ykeeam:?]	4	3
f102v1	f102v1.12	P	A	1	1	1	Y_BOS_ENTRY	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	[y:?] | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | Drogenfraktion I | trockener Drogenteil | [ey:?] | [pchodaiin:?]	Eintrag: | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | Drogenfraktion I | trockener Drogenteil | [ey:?] | [pchodaiin:?]	Eintrag: trockener Drogenstoff; trockener Drogenstoff; [doiir:?]; [shekcheor:?]; [s:?]; Drogenfraktion I; trockener Drogenteil; [ey:?]; [pchodaiin:?]	6	5
f102v2	f102v2.17	P	A	1	1	6	Y_MEDIAL_LEFT_CLOSE	podeesho oteeos sheor qoteeo ch y shkeey chekeod	[podeesho:?] | [oteeos:?] | feuchter Drogenteil | [qoteeo:?] | [ch:?] | [y:?] | [shkeey:?] | [chekeod:?]	[podeesho:?] | [oteeos:?] | feuchter Drogenteil | [qoteeo:?] | [ch:?] | Eintragsteil abgeschlossen | [shkeey:?] | [chekeod:?]	[podeesho:?]; [oteeos:?]; feuchter Drogenteil; [qoteeo:?]; [ch:?]; [shkeey:?]; [chekeod:?]	7	6
f102v2	f102v2.18	P	A	1	1	6	Y_EOS_CLOSE	ocheos chyokeor okeol okeol shy y	[ocheos:?] | [chyokeor:?] | [okeol:?] | [okeol:?] | feucht am Anfang des Grades | [y:?]	[ocheos:?] | [chyokeor:?] | [okeol:?] | [okeol:?] | feucht am Anfang des Grades | Eintrag abgeschlossen	[ocheos:?]; [chyokeor:?]; [okeol:?]; [okeol:?]; feucht am Anfang des Grades.	5	4
f103r	f103r.33	S	B	3	1	7	Y_MEDIAL_BIDIRECTIONAL_HINGE	qokeey chechy qokey shckhy choldy qokal y shedy yteedy qotail shedy	heiß am Ende des Grades | [chechy:?] | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | [choldy:?] | Rohstoffklasse I, heiß am Gradanfang | [y:?] | feucht in der Mitte des Grades, abgeschlossen | [yteedy:?] | [qotail:?] | feucht in der Mitte des Grades, abgeschlossen	heiß am Ende des Grades | [chechy:?] | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | [choldy:?] | Rohstoffklasse I, heiß am Gradanfang | ; hierzu: | feucht in der Mitte des Grades, abgeschlossen | [yteedy:?] | [qotail:?] | feucht in der Mitte des Grades, abgeschlossen	heiß am Ende des Grades; [chechy:?]; heiß in der Mitte des Grades; Arzneikompositum: feucht, Gradanfang; [choldy:?]; Rohstoffklasse I, heiß am Gradanfang; hierzu: feucht in der Mitte des Grades, abgeschlossen; [yteedy:?]; [qotail:?]; feucht in der Mitte des Grades, abgeschlossen	5	4
f103r	f103r.45	S	B	3	1	10	Y_EOS_CLOSE	qokeedy qokeedy shol shedar chedy qoteedy oteedy olkeol ltar y	heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | feucht; nominal feuchtes Gut/Material | [shedar:?] | trocken in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | kalter Ansatz am Ende des Grades, abgeschlossen | [olkeol:?] | [ltar:?] | [y:?]	heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | feucht; nominal feuchtes Gut/Material | [shedar:?] | trocken in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | kalter Ansatz am Ende des Grades, abgeschlossen | [olkeol:?] | [ltar:?] | Eintrag abgeschlossen	heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; feucht; nominal feuchtes Gut/Material; [shedar:?]; trocken in der Mitte des Grades, abgeschlossen; kalt am Ende des Grades, abgeschlossen; kalter Ansatz am Ende des Grades, abgeschlossen; [olkeol:?]; [ltar:?].	4	3
f103v	f103v.24	S	B	3	1	11	Y_MEDIAL_BIDIRECTIONAL_HINGE	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain	[ykeey:?] | Drogenholz, trocken gebunden, Form I | heiß am Ende des Grades | Wurzelportion | Menge III | [olan:?] | kalt im Zubereitungsrahmen, Grad I | kalt im Zubereitungsrahmen, Grad II | kalt im Zubereitungsrahmen, Grad II | Drogenfraktion I | [y:?] | heiß, Grad II	[ykeey:?] | Drogenholz, trocken gebunden, Form I | heiß am Ende des Grades | Wurzelportion | Menge III | [olan:?] | kalt im Zubereitungsrahmen, Grad I | kalt im Zubereitungsrahmen, Grad II | kalt im Zubereitungsrahmen, Grad II | Drogenfraktion I | ; hierzu: | heiß, Grad II	[ykeey:?]; Drogenholz, trocken gebunden, Form I; heiß am Ende des Grades; Wurzelportion; Menge III; [olan:?]; kalt im Zubereitungsrahmen, Grad I; kalt im Zubereitungsrahmen, Grad II; kalt im Zubereitungsrahmen, Grad II; Drogenfraktion I; hierzu: heiß, Grad II	3	2
f103v	f103v.28	S	B	3	1	11	Y_EOS_CLOSE	daiin checkhy ykeey shckhy otealshey okain chey oteedy por aiin y	Grad-/Maßwert III | trockenes Arzneikompositum am Gradanfang | [ykeey:?] | Arzneikompositum: feucht, Gradanfang | [otealshey:?] | heiß im Zubereitungsrahmen, Grad II | trocken in der Mitte des Grades | kalter Ansatz am Ende des Grades, abgeschlossen | Pulverportion | Menge III | [y:?]	Grad-/Maßwert III | trockenes Arzneikompositum am Gradanfang | [ykeey:?] | Arzneikompositum: feucht, Gradanfang | [otealshey:?] | heiß im Zubereitungsrahmen, Grad II | trocken in der Mitte des Grades | kalter Ansatz am Ende des Grades, abgeschlossen | Pulverportion | Menge III | Eintrag abgeschlossen	Grad-/Maßwert III; trockenes Arzneikompositum am Gradanfang; [ykeey:?]; Arzneikompositum: feucht, Gradanfang; [otealshey:?]; heiß im Zubereitungsrahmen, Grad II; trocken in der Mitte des Grades; kalter Ansatz am Ende des Grades, abgeschlossen; Pulverportion; Menge III.	3	2
f103v	f103v.4	S	B	3	1	1	Y_BOS_ENTRY	y cheey qokeey okeey lkees ol qoteedy ykeedy	[y:?] | trocken am Ende des Grades | heiß am Ende des Grades | heißer Ansatz am Ende des Grades | [lkees:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Ende des Grades, abgeschlossen | [ykeedy:?]	Eintrag: | trocken am Ende des Grades | heiß am Ende des Grades | heißer Ansatz am Ende des Grades | [lkees:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Ende des Grades, abgeschlossen | [ykeedy:?]	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; [lkees:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt am Ende des Grades, abgeschlossen; [ykeedy:?]	3	2
f103v	f103v.41	S	B	3	1	11	Y_MEDIAL_RIGHT_REFERENCE_MATERIA	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	Grad-/Maßwert III | feucht in der Mitte des Grades | [l:?] | feucht in der Mitte des Grades | eingeweichtes Drogenholz, Form I | Drogenfraktion I | [shas:?] | Rohstoffklasse I | kalte Drogenfraktion I im Ansatz | feucht in der Mitte des Grades, abgeschlossen | [y:?] | Drogenholz, getrocknete Kurz-/Kompaktform | Wurzelfraktion I	Grad-/Maßwert III | feucht in der Mitte des Grades | [l:?] | feucht in der Mitte des Grades | eingeweichtes Drogenholz, Form I | Drogenfraktion I | [shas:?] | Rohstoffklasse I | kalte Drogenfraktion I im Ansatz | feucht in der Mitte des Grades, abgeschlossen | hierzu: | Drogenholz, getrocknete Kurz-/Kompaktform | Wurzelfraktion I	Grad-/Maßwert III; feucht in der Mitte des Grades; [l:?]; feucht in der Mitte des Grades; eingeweichtes Drogenholz, Form I; Drogenfraktion I; [shas:?]; Rohstoffklasse I; kalte Drogenfraktion I im Ansatz; feucht in der Mitte des Grades, abgeschlossen; hierzu: Drogenholz, getrocknete Kurz-/Kompaktform; Wurzelfraktion I	3	2
