occurrence_id	page	locus	ordinal	position	token_kind	left_surface	target_surface	right_surface	all_reader_separate_y	it2a_boundary_class	it2a_matched_surface	rf1b_boundary_class	rf1b_matched_surface	zl3b_line	it2a_line	rf1b_line
G659-Y001	f100r	f100r.23	11	MEDIAL	P	keey	y	ykeeam	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	soiin chol cphol shol shol qockhol chor chol sho keey cy ykeeam
G659-Y002	f102v1	f102v1.12	1	BOS	P	<BOS>	y	cheol	0	MERGE_RIGHT	ycheol	SEPARATE	y	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin
G659-Y003	f102v2	f102v2.17	6	MEDIAL	P	ch	y	shkeey	0	VARIANT_OTHER	NONE	MERGE_LEFT	chy	podeesho oteeos sheor qoteeo ch y shkeey chekeod	podeesho oteeos sheos qokeeo chckhhy shkeey chekeod	po eesheo oteeos eos qoteeo chy shkeey chekeod
G659-Y004	f102v2	f102v2.18	6	EOS	P	shy	y	<EOS>	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	ocheos chyokeor okeol okeol shy y	ocheos chy okeor okeol okeol shy o	ocheo s chy okeor okeol okeol shy
G659-Y005	f103r	f103r.33	7	MEDIAL	P	qokal	y	shedy	0	MERGE_LEFT	qokaly	SEPARATE	y	qokeey chechy qokey shckhy choldy qokal y shedy yteedy qotail shedy	qokeey chechy qokey shckhy choldy qokaly shedy yteedy qotail seedy	qokeey chechy qokey shckhy choldy qokal y she y yteedy qotail she y
G659-Y006	f103r	f103r.45	10	EOS	P	ltar	y	<EOS>	0	MERGE_LEFT	ltary	SEPARATE	y	qokeedy qokeedy shol shedar chedy qoteedy oteedy olkeol ltar y	qokeedy qokeedy shol shedar chedy qoteedy oteedy olkeol ltary	qokeedy qokee y shol shedar che y qotee y oteedy olkeol ltary
G659-Y007	f103v	f103v.24	11	MEDIAL	P	ar	y	kain	1	SEPARATE	y	SEPARATE	y	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain
G659-Y008	f103v	f103v.28	11	EOS	P	aiin	y	<EOS>	1	SEPARATE	y	SEPARATE	y	daiin checkhy ykeey shckhy otealshey okain chey oteedy por aiin y	daiin checkhy ykeey shckhy oteal shey okain chey okeedy por aiin y	aiin checkhy ykeey shckhy otealshey okain chey okee y poraiiny
G659-Y009	f103v	f103v.4	1	BOS	P	<BOS>	y	cheey	0	SEPARATE	y	MERGE_RIGHT	ycheey	y cheey qokeey okeey lkees ol qoteedy ykeedy	y cheey qokeey okeey lkees ol qoteedy ykeedy	ycheey qokeey okeey lkees ol qoteed ykeedy
G659-Y010	f103v	f103v.41	11	MEDIAL	P	shedy	y	lchdy	0	VARIANT_OTHER	NONE	SEPARATE	y	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	daiin shey lshey lshey qoar shar al otar shedy ithy lchdy ras	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar
G659-Y011	f104r	f104r.42	1	BOS	P	<BOS>	y	lshedy	1	SEPARATE	y	SEPARATE	y	y lshedy cholkar	y lshedy cholkar	y ledy cholkar
G659-Y012	f104r	f104r.6	1	BOS	P	<BOS>	y	cheeody	0	MERGE_RIGHT	ycheeody	SEPARATE	y	y cheeody aiin lkar cheeo dain ockhedy qokeedy qotain otchdy otain chedam	ycheeody aiin lkar cheeo dain ockhedy qokeedy qotain otchdy tain chedam	ycheeo y aiin lkar cheeo dain ockhedy qokee y qotain otch y otain chedam
G659-Y013	f104v	f104v.31	1	BOS	P	<BOS>	y	cheoraiin	0	MERGE_RIGHT	ycheoraiin	SEPARATE	y	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy	ycheoraiin cthey chol sheody qokair qoeey cheey lkeedy	y cheoraiin cthe chol sheo dy qokair qoeey cheey lkeedy
G659-Y014	f104v	f104v.39	14	MEDIAL	P	ar	y	ais	0	SEPARATE	y	MERGE_LEFT	ary	yshey ar a kain char lkeey roiir shey cheey kar ar lkchs ar y ais alod	ysheey rar akain char lkeey roiir shey cheey kas ar lkchs ar y rais alod	yshey ar a kain char lkeey roiir shey cheey kar ar lkchs ary air alod
G659-Y015	f104v	f104v.44	2	MEDIAL	P	daiin	y	cheeo	0	MERGE_RIGHT	ycheeo	SEPARATE	y	daiin y cheeo chey okeeey qokeeey okeey okeey	daiin ycheeo chey okeeey qokeeey okeey okeey	daiin y cheeo chey okeeey qokeee okee okeey
G659-Y016	f105r	f105r.30	5	MEDIAL	P	oiin	y	teey	0	MERGE_RIGHT	yteey	SEPARATE	y	oleedar aiildy dar oiin y teey tair cheody qokolky cheolkary	oleedar aiildy dar oiin yteey tair cheody qokolky cheolkary	ol eed ar aiildy dar oiin y teey tair cheody qokolky cheolkary
G659-Y017	f105v	f105v.25	10	MEDIAL	P	qopar	y	dl	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	kchdaldy alfo lfcheedy ofoiir opchey fchedy qotor oeeeodr qopar y dl	kchdaldy alfo lfcheedy ofaiis opchey fchedy qotor oeeeodr qopar aifhhy dl	kchdaldy alfo lfcheedy ofaiir opchey fchedy qotor oeeeodr qopar ay dl
G659-Y018	f105v	f105v.9	3	MEDIAL	P	qoeees	y	daiin	1	SEPARATE	y	SEPARATE	y	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ain ookam	lcheey qoeees y daiin okairy otchedy ockhe otchey daiin or r ail l okam
G659-Y019	f106r	f106r.19	10	EOS	P	qotchoraiin	y	<EOS>	1	SEPARATE	y	SEPARATE	y	otchedy qokeey shosaiin qokaiin okain cholkeeey ltal olcheey qotchoraiin y	otchedy qokeey shosaiin qokaiin okain cholkeeey ltal olcheey qotchoraiin y	otchedy qokeey shosaiin qokaiin otain cholkeeey ltal olcheey qotchoraiin y
G659-Y020	f106r	f106r.45	1	BOS	P	<BOS>	y	sheedal	0	MERGE_RIGHT	ysheedal	MERGE_RIGHT	ysheedal	y sheedal okain okain otar kaiin chdalkair olkai al keedy okal	ysheedal okain okain otar kaiin chdalkair olkair alkeedy okal	ysheedal okain akain otar kaiin ch alkair olkair alkeedy okal
G659-Y021	f106v	f106v.2	4	MEDIAL	P	sheeodar	y	chtain	0	MERGE_RIGHT	ychtain	SEPARATE	y	daiin al sheeodar y chtain char otar qokar otar shed sheo keorain amchy	daiin al sheeodar ychtain chor otar qokar okar shed sheo keor ain amchy	daiin al sheeo ar y chtain char otar qokar okar shed sheo keorain amchy
G659-Y022	f107r	f107r.11	5	MEDIAL	P	ytain	y	keeol	0	MERGE_RIGHT	ykeeol	SEPARATE	y	cheeo cheeol qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	cheeo cheeol qokaiin ytain ykeeol l or aiin okaiin ekar okaiin otaram	cheeo chee l qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram
G659-Y023	f107r	f107r.12	1	BOS	P	<BOS>	y	chol	0	MERGE_RIGHT	ychol	SEPARATE	y	y chol chol loraiir aiinal	ychol chal lor aiir aiinal	y chol chal loraiir aiinal
G659-Y024	f107r	f107r.45	6	MEDIAL	P	qokokil	y	chees	1	SEPARATE	y	SEPARATE	y	podky chedy qockhy qokeedy qokokil y chees opal kaiin otaiin otaram	todky chedy qockhy qokeedy qokokil y chees opal kaiin otaiin otaram	podky chedy qockhy qokeedy qok okil y chees opal kaiin otaiin otar am
G659-Y025	f107r	f107r.50	7	MEDIAL	P	qotaiin	y	taiin	0	MERGE_RIGHT	ytaiin	MERGE_RIGHT	ytaiin	chain al lkeey chol taidy qotaiin y taiin lkl lfchal pchdy pal tar	chain al lkeey chol taidy qotaiin ytaiin lkl lfchal pchdy pal tar	chain al lkeey chol taidy qotaiin ytaiin lkl lfchal pchdy pal tar
G659-Y026	f107v	f107v.28	1	BOS	P	<BOS>	y	cheor	0	MERGE_RIGHT	ycheor	SEPARATE	y	y cheor cheol lcheedy raraiin	ycheor cheol lcheedy raraiin	y cheor cheol lcheedy r araiin
G659-Y027	f107v	f107v.33	9	MEDIAL	P	raiin	y	kaiin	0	MERGE_RIGHT	ykaiin	SEPARATE	y	orain chol qodaiin odain aiin okain chkaly raiin y kaiin aldy	orain chol qodaiin odain aiin okain chkaly raiin ykaiin aldy	orain chol qodaiin odain aiin okain chkaly raiin y kaiin al y
G659-Y028	f107v	f107v.39	10	EOS	P	okaiin	y	<EOS>	0	SEPARATE	y	MERGE_LEFT	okaiiny	okain cheor olkaiin oain cheary raiin okoiin odaiin okaiin y	okain cheor olkaiin oain cheary raiin okaiin odaiin okaiin y	okain cheor olkaiin oain cheary raiin okoiin o aiin okaiiny
G659-Y029	f107v	f107v.47	1	BOS	P	<BOS>	y	cheey	0	MERGE_RIGHT	ycheey	MERGE_RIGHT	ycheey	y cheey qokeey okeoteey qokey qokey qokeey daiin y okeey odain	ycheey qokeey okeoteey qokey qokey qokeey daiin y okoey odain	ycheey qokeey okeoteey qokey qokey qokeey daiin y keey odain
