side	neighbor_surface	occurrences	lines	pages	v35_known	v35_meaning_de	v35_source	materia_preparation_head	fused_sister_surface	fused_sister_occurrences	fused_sister_pages	example_loci
LEFT	aiin	5	5	5	1	Menge III	V13:TARGET_SURFACE_DEFAULT	0	aiiny	2	2	f103v.28|f108r.6|f39r.11|f76r.54|f80r.52
LEFT	ain	1	1	1	1	Menge-/Klassenwert II	V13:VALUE_MINIM_SERIES	0	ainy	1	1	f79v.42
LEFT	air	1	1	1	0	OPEN	OPEN	0	airy	1	1	f85r1.31
LEFT	akar	1	1	1	0	OPEN	OPEN	0	akary	0	0	f66r.62
LEFT	al	1	1	1	1	Rohstoffklasse I	GDT655:NEW_EXACT_WHOLE	0	aly	18	16	f58v.27
LEFT	ar	6	6	6	1	Drogenfraktion I	GDT654:NEW_EXACT_WHOLE	0	ary	15	13	f103v.24|f104v.39|f116r.18|f27r.5|f34r.14|f50r.5
LEFT	aralar	1	1	1	0	OPEN	OPEN	0	aralary	0	0	f116r.4
LEFT	as	1	1	1	0	OPEN	OPEN	0	asy	1	1	f76r.1
LEFT	ch	1	1	1	0	OPEN	OPEN	0	chy	162	96	f102v2.17
LEFT	chaiin	1	1	1	1	trocken, Grad III	V13:QUALITY_DEGREE_SERIES	0	chaiiny	0	0	f86v5.9
LEFT	char	1	1	1	0	OPEN	OPEN	0	chary	5	5	f42r.8
LEFT	chchs	1	1	1	0	OPEN	OPEN	0	chchsy	0	0	f56r.1
LEFT	chckhy	1	1	1	1	Arzneikompositum: trocken, Gradanfang	GDT651:REVISED_FOUR_SHELL_CKH_GRID	0	chckhyy	0	0	f43r.13
LEFT	chean	1	1	1	0	OPEN	OPEN	0	cheany	0	0	f8r.17
LEFT	ched	1	1	1	0	OPEN	OPEN	0	chedy	470	74	f86v5.17
LEFT	chedaiin	1	1	1	0	OPEN	OPEN	0	chedaiiny	0	0	f86v3.13
LEFT	chedl	1	1	1	0	OPEN	OPEN	0	chedly	0	0	f108r.18
LEFT	chedy	1	1	1	1	trocken in der Mitte des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	0	chedyy	0	0	f81v.25
LEFT	cheedy	1	1	1	1	trocken am Ende des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	0	cheedyy	0	0	f115r.22
LEFT	cheo	1	1	1	1	trocken angesetzte Zubereitung	V13:TARGET_SURFACE_DEFAULT	0	cheoy	4	4	f114v.40
LEFT	chodar	1	1	1	0	OPEN	OPEN	0	chodary	0	0	f114r.15
LEFT	chok	1	1	1	0	OPEN	OPEN	0	choky	32	28	f56r.10
LEFT	chokoaiin	1	1	1	0	OPEN	OPEN	0	chokoaiiny	0	0	f20r.5
LEFT	chol	2	2	2	1	trocken; nominal trockenes Gut/Material	V13:DRY_OL_FORM	0	choly	12	12	f16v.8|f49r.13
LEFT	choly	1	1	1	0	OPEN	OPEN	0	cholyy	0	0	f35r.1
LEFT	chor	2	2	2	1	Pflanzen-/Reproduktionsteil	V13:PART_OR_FORM	0	chory	11	11	f19r.2|f89r1.10
LEFT	chotor	1	1	1	0	OPEN	OPEN	0	chotory	0	0	f56v.10
LEFT	chs	1	1	1	0	OPEN	OPEN	0	chsy	1	1	f16r.5
LEFT	chtchy	1	1	1	0	OPEN	OPEN	0	chtchyy	0	0	f42v.2
LEFT	cthey	1	1	1	1	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	GDT638:ROUND_03	0	ctheyy	0	0	f2r.3
LEFT	cthol	1	1	1	1	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	GDT644:ROUND_02	0	ctholy	4	4	f28r.2
LEFT	cthor	1	1	1	1	Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	GDT638:ROUND_04	0	cthory	2	2	f36r.6
LEFT	d	3	3	3	0	OPEN	OPEN	0	dy	229	117	f11r.5|f13v.8|f86v6.28
LEFT	daiiin	1	1	1	1	Grad-/Maßwert IV	V13:CONTEXTUAL_VALUE_SERIES	0	daiiiny	0	0	f39v.13
LEFT	daiin	8	8	8	1	Grad-/Maßwert III	V13:CONTEXTUAL_VALUE_SERIES	0	daiiny	3	3	f104v.44|f107v.47|f13v.8|f22v.2|f25r.1|f46v.4|f56r.6|f78r.35
LEFT	dain	1	1	1	1	Grad-/Maßwert II	V13:CONTEXTUAL_VALUE_SERIES	0	dainy	1	1	f116r.48
LEFT	dair	1	1	1	1	abgemessene Fraktion II	GDT649:STRONG_FAMILY_DEFAULT	0	dairy	2	2	f30v.6
LEFT	dal	2	2	2	1	abgemessene Rohstoffmenge I	GDT655:NEW_EXACT_WHOLE	0	daly	24	19	f26r.3|f76r.13
LEFT	dalol	1	1	1	0	OPEN	OPEN	0	daloly	0	0	f114r.15
LEFT	dan	1	1	1	1	Grad-/Maßwert I	V13:CONTEXTUAL_VALUE_SERIES	0	dany	0	0	f11v.1
LEFT	dar	2	2	2	1	abgemessene Fraktion I	GDT649:STRONG_FAMILY_DEFAULT	0	dary	19	16	f51v.5|f77v.33
LEFT	dchor	1	1	1	0	OPEN	OPEN	0	dchory	0	0	f21r.6
LEFT	dky	1	1	1	0	OPEN	OPEN	0	dkyy	0	0	f11r.5
LEFT	do	1	1	1	0	OPEN	OPEN	0	doy	1	1	f8r.11
LEFT	dol	2	2	2	1	Materialmaß	GDT638:ROUND_11	0	doly	4	4	f36v.8|f44v.6
LEFT	dor	2	2	2	0	OPEN	OPEN	0	dory	4	4	f19r.9|f22v.5
LEFT	dshor	1	1	1	0	OPEN	OPEN	0	dshory	0	0	f44r.6
LEFT	dyeees	1	1	1	0	OPEN	OPEN	0	dyeeesy	0	0	f44r.2
LEFT	dytar	1	1	1	0	OPEN	OPEN	0	dytary	0	0	f82v.24
LEFT	dytchy	1	1	1	0	OPEN	OPEN	0	dytchyy	0	0	f14v.3
LEFT	foar	1	1	1	0	OPEN	OPEN	0	foary	0	0	f6r.1
LEFT	folaiin	1	1	1	0	OPEN	OPEN	0	folaiiny	0	0	f108r.24
LEFT	kaiin	1	1	1	1	heiß, Grad III	V13:TARGET_SURFACE_DEFAULT	0	kaiiny	0	0	f114r.34
