page	occurrences	lines	bos	medial	eos	only	p_tokens	l_tokens
f100r	1	1	0	1	0	0	1	0
f102v1	1	1	1	0	0	0	1	0
f102v2	2	2	0	1	1	0	2	0
f103r	2	2	0	1	1	0	2	0
f103v	4	4	1	2	1	0	4	0
f104r	2	2	2	0	0	0	2	0
f104v	3	3	1	2	0	0	3	0
f105r	1	1	0	1	0	0	1	0
f105v	2	2	0	2	0	0	2	0
f106r	2	2	1	0	1	0	2	0
f106v	1	1	0	1	0	0	1	0
f107r	4	4	1	3	0	0	4	0
f107v	7	6	2	4	1	0	7	0
f108r	6	6	1	3	2	0	6	0
f108v	1	1	1	0	0	0	1	0
f10r	1	1	0	1	0	0	1	0
f111r	2	2	2	0	0	0	2	0
f111v	4	3	2	1	1	0	4	0
f112r	4	3	0	3	1	0	4	0
f112v	2	2	1	1	0	0	2	0
f113r	5	5	4	1	0	0	5	0
f113v	3	3	2	1	0	0	3	0
f114r	5	4	1	4	0	0	5	0
f114v	3	3	2	1	0	0	3	0
f115r	6	6	5	1	0	0	6	0
f115v	2	2	1	1	0	0	2	0
f116r	7	7	0	5	2	0	7	0
f11r	4	3	0	4	0	0	4	0
f11v	1	1	0	0	1	0	1	0
f13r	2	2	0	1	1	0	2	0
f13v	4	3	1	3	0	0	4	0
f14v	1	1	0	1	0	0	1	0
f15r	1	1	0	0	1	0	1	0
f15v	1	1	1	0	0	0	1	0
f16r	1	1	0	1	0	0	1	0
f16v	2	2	0	2	0	0	2	0
f17r	2	2	0	2	0	0	2	0
f18r	1	1	0	1	0	0	1	0
f19r	2	2	0	2	0	0	2	0
f19v	1	1	0	1	0	0	1	0
f20r	1	1	0	1	0	0	1	0
f21r	2	1	0	2	0	0	2	0
f22r	2	2	1	1	0	0	2	0
f22v	2	2	0	2	0	0	2	0
f23r	4	4	0	4	0	0	4	0
f23v	1	1	1	0	0	0	1	0
f24r	1	1	0	1	0	0	1	0
f25r	1	1	0	1	0	0	1	0
f26r	1	1	0	1	0	0	1	0
f26v	1	1	0	1	0	0	1	0
f27r	2	2	0	2	0	0	2	0
f28r	1	1	0	1	0	0	1	0
f29v	1	1	0	0	1	0	1	0
f2r	1	1	0	1	0	0	1	0
f30v	1	1	0	0	1	0	1	0
f33r	1	1	0	1	0	0	1	0
f34r	1	1	0	1	0	0	1	0
f35r	1	1	0	1	0	0	1	0
f35v	1	1	0	1	0	0	1	0
f36r	1	1	0	1	0	0	1	0
f36v	3	3	0	3	0	0	3	0
f37v	1	1	1	0	0	0	1	0
f39r	1	1	0	1	0	0	1	0
f39v	3	3	1	1	1	0	3	0
f3v	1	1	0	1	0	0	1	0
f41r	1	1	0	1	0	0	1	0
f42r	2	2	0	1	1	0	2	0
f42v	3	2	0	2	1	0	3	0
f43r	2	2	0	2	0	0	2	0
f44r	2	2	0	2	0	0	2	0
f44v	2	2	0	2	0	0	2	0
f45r	2	2	0	2	0	0	2	0
f46r	1	1	0	0	1	0	1	0
f46v	1	1	0	1	0	0	1	0
f48r	1	1	0	1	0	0	1	0
f48v	5	5	0	5	0	0	5	0
f49r	1	1	0	1	0	0	1	0
f49v	5	5	0	0	0	5	0	5
f50r	1	1	0	1	0	0	1	0
f50v	1	1	1	0	0	0	1	0
f51v	1	1	0	0	1	0	1	0
f53r	1	1	0	1	0	0	1	0
f54v	1	1	1	0	0	0	1	0
f55r	3	3	1	2	0	0	3	0
f55v	3	3	0	2	1	0	3	0
f56r	3	3	0	2	1	0	3	0
f56v	1	1	0	1	0	0	1	0
f58r	1	1	0	1	0	0	1	0
f58v	6	6	1	5	0	0	6	0
f5v	1	1	0	1	0	0	1	0
f66r	5	5	0	1	0	4	1	4
f6r	2	2	0	2	0	0	2	0
f6v	3	2	2	1	0	0	3	0
f75v	1	1	0	1	0	0	1	0
f76r	7	6	1	2	4	0	7	0
f76v	1	1	0	1	0	0	1	0
f77r	1	1	0	1	0	0	1	0
f77v	2	2	0	2	0	0	1	1
f78r	5	3	2	2	1	0	5	0
f78v	2	2	1	1	0	0	2	0
f79r	8	7	5	2	1	0	8	0
f79v	1	1	0	1	0	0	1	0
f80r	4	4	1	2	1	0	4	0
f80v	2	2	0	2	0	0	2	0
f81r	2	2	2	0	0	0	2	0
f81v	1	1	0	1	0	0	1	0
f82v	1	1	0	1	0	0	1	0
f83v	1	1	1	0	0	0	1	0
f85r1	3	3	0	2	1	0	3	0
f86v3	2	2	0	2	0	0	2	0
f86v5	2	2	0	2	0	0	2	0
f86v6	4	4	1	2	1	0	4	0
f87r	1	1	1	0	0	0	1	0
f87v	2	2	1	1	0	0	2	0
f88v	1	1	0	1	0	0	1	0
f89r1	1	1	0	1	0	0	1	0
f8r	2	2	0	2	0	0	2	0
f8v	1	1	0	0	1	0	1	0
f94v	1	1	0	1	0	0	1	0
f95r2	2	2	1	1	0	0	2	0
f95v1	1	1	0	1	0	0	1	0
f95v2	2	2	0	2	0	0	2	0
f96v	1	1	0	1	0	0	1	0
f99r	1	1	0	0	1	0	0	1
f9v	1	1	0	1	0	0	1	0
