occurrence_id	page	locus	token_index	ordinal	line_length	position	token_kind	section	language	hand	left_surface	right_surface	left_fused_surface	left_fused_occurrences	right_fused_surface	right_fused_occurrences	left_v35_known	left_v35_meaning_de	right_v35_known	right_v35_meaning_de	right_materia_preparation_head	base_context_class	context_class	materia_subtype	direction_override	label_subrole	structural_tag	token_gloss_de	working_render_de	live_rival_de	all_three_present	line_all_present_exact	all_reader_separate_y	it2a_boundary_class	it2a_matched_surface	rf1b_boundary_class	rf1b_matched_surface
G659-Y001	f100r	f100r.23	11	11	12	MEDIAL	P	P	A	1	keey	ykeeam	keeyy	0	yykeeam	0	1	heiß am Ende des Grades	0	OPEN	0	Y_MEDIAL_UNRESOLVED_HINGE	Y_MEDIAL_UNRESOLVED_HINGE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=MEDIAL|ATTACHMENT=UNRESOLVED	hierzu:	hierzu:	gelernter lokaler Trenner ohne deiktische Funktion	1	0	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE
G659-Y002	f102v1	f102v1.12	1	1	10	BOS	P	P	A	1	<BOS>	cheol	NONE	0	ycheol	11	0	OPEN	1	trockener Drogenstoff	1	Y_BOS_ENTRY	Y_BOS_ENTRY	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=BOS|ROLE=ENTRY_HEAD	Eintrag:	Eintrag:	hierzu / zu derselben Droge, falls ein lokaler Antezedent sichtbar wird	1	0	0	MERGE_RIGHT	ycheol	SEPARATE	y
G659-Y003	f102v2	f102v2.17	6	6	8	MEDIAL	P	P	A	1	ch	shkeey	chy	162	yshkeey	0	0	OPEN	0	OPEN	0	Y_MEDIAL_LEFT_CLOSE	Y_MEDIAL_LEFT_CLOSE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=MEDIAL|ATTACHMENT=LEFT	Eintragsteil abgeschlossen	;	rechte Eintragsreferenz bei einem konkreten Folgekörper	1	0	0	VARIANT_OTHER	NONE	MERGE_LEFT	chy
G659-Y004	f102v2	f102v2.18	6	6	6	EOS	P	P	A	1	shy	<EOS>	shyy	0	NONE	0	1	feucht am Anfang des Grades	0	OPEN	0	Y_EOS_CLOSE	Y_EOS_CLOSE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=EOS|ROLE=ENTRY_CLOSE	Eintrag abgeschlossen	.	postponierter Bezug auf den linken Stoff	1	0	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE
G659-Y005	f103r	f103r.33	7	7	11	MEDIAL	P	S	B	3	qokal	shedy	qokaly	17	yshedy	7	1	Rohstoffklasse I, heiß am Gradanfang	1	feucht in der Mitte des Grades, abgeschlossen	0	Y_MEDIAL_BIDIRECTIONAL_HINGE	Y_MEDIAL_BIDIRECTIONAL_HINGE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=MEDIAL|ATTACHMENT=BOTH	; hierzu:	hierzu:	nur linkes Formende oder nur rechter Eintragskopf	1	0	0	MERGE_LEFT	qokaly	SEPARATE	y
G659-Y006	f103r	f103r.45	10	10	10	EOS	P	S	B	3	ltar	<EOS>	ltary	1	NONE	0	0	OPEN	0	OPEN	0	Y_EOS_CLOSE	Y_EOS_CLOSE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=EOS|ROLE=ENTRY_CLOSE	Eintrag abgeschlossen	.	postponierter Bezug auf den linken Stoff	1	0	0	MERGE_LEFT	ltary	SEPARATE	y
G659-Y007	f103v	f103v.24	11	11	12	MEDIAL	P	S	B	3	ar	kain	ary	15	ykain	11	1	Drogenfraktion I	1	heiß, Grad II	0	Y_MEDIAL_BIDIRECTIONAL_HINGE	Y_MEDIAL_BIDIRECTIONAL_HINGE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=MEDIAL|ATTACHMENT=BOTH	; hierzu:	hierzu:	nur linkes Formende oder nur rechter Eintragskopf	1	1	1	SEPARATE	y	SEPARATE	y
G659-Y008	f103v	f103v.28	11	11	11	EOS	P	S	B	3	aiin	<EOS>	aiiny	2	NONE	0	1	Menge III	0	OPEN	0	Y_EOS_CLOSE	Y_EOS_CLOSE	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=EOS|ROLE=ENTRY_CLOSE	Eintrag abgeschlossen	.	postponierter Bezug auf den linken Stoff	1	0	1	SEPARATE	y	SEPARATE	y
G659-Y009	f103v	f103v.4	1	1	8	BOS	P	S	B	3	<BOS>	cheey	NONE	0	ycheey	18	0	OPEN	1	trocken am Ende des Grades	0	Y_BOS_ENTRY	Y_BOS_ENTRY	0	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=BOS|ROLE=ENTRY_HEAD	Eintrag:	Eintrag:	hierzu / zu derselben Droge, falls ein lokaler Antezedent sichtbar wird	1	0	0	SEPARATE	y	MERGE_RIGHT	ycheey
G659-Y010	f103v	f103v.41	11	11	13	MEDIAL	P	S	B	3	shedy	lchdy	shedyy	0	ylchdy	1	1	feucht in der Mitte des Grades, abgeschlossen	1	Drogenholz, getrocknete Kurz-/Kompaktform	1	Y_MEDIAL_RIGHT_REFERENCE	Y_MEDIAL_RIGHT_REFERENCE_MATERIA	1	0	NONE	NAKED_Y|TOKEN_KIND=P|POSITION=MEDIAL|ROLE=RIGHT_REFERENCE|RIGHT_CLASS=MATERIA_PREPARATION	hierzu:	hierzu: Drogenholz, getrocknete Kurz-/Kompaktform	plain mechanical right reference; f80v.21 retains its recorded LEFT-close rival	1	0	0	VARIANT_OTHER	NONE	SEPARATE	y
