surface	occurrence_count	physical_pages	truth_recipe	candidate_count_capped	gdt519_rank	gdt519_top1	gdt520_rank	gdt520_top1	gdt520_top5	truth_gdt519_score	truth_segment_count	truth_boundary_nll	truth_gdt520_score	truth_alignment_trace	top1_gdt519_score	top1_segment_count	top1_boundary_nll	top1_gdt520_score	top1_alignment_trace	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	48	8	AIIN+CH+T+Y	9	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+LOCAL_CHAR_I+CH+T+Y | A_ADDR+IIN+CH+T+Y	7.760850276	4	6.571817785	8.818032055	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501	3.265456984	2	1.306405118	3.596097496	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
chady	1	f66r	CH+A_ADDR+DY	23	4	CH+DY	3	CH+DY	CH+DY | CH+A_ADDR+Y | CH+A_ADDR+DY | CH+D_ADDR+Y | CH+Y	3.896411699	3	1.015043852	4.297916084	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	2.453171985	2	2.447202512	2.897892236	cha=>cha~CH@edit0+alias0.268 | dy=>dy~DY@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
chap	1	f66r	CH+A_ADDR+P	5	2	CH+P	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | LOCAL_C+SH+A_ADDR+P | CH+SH+A_ADDR+P	2.442550023	3	0.973591116	2.839909135	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | p=>p~P@edit0+alias0.000	1.723556133	2	2.405749775	2.164131110	cha=>cha~CH@edit0+alias0.268 | p=>p~P@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
chekchy	1	f66r	CH+K+CH+Y	100	2	CH+K+Y	2	CH+K+Y	CH+K+Y | CH+K+CH+Y | CH+K+LOCAL_C+Y | CH+E+K+CH+Y | CH+E+K+Y	4.059331551	3	1.913274847	4.550659036	chek=>chek~CH+K@edit0+alias0.291 | ch=>ch~CH@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.993685347	2	4.996664629	3.693351810	chekc=>chek~CH+K@edit1+alias0.291 | hy=>hy~Y@edit0+alias0.254	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
cthom	1	f4r	CH+T+O+M_LOCAL	14	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	CH+T+O+AM_ADDR | CH+T+O+M_LOCAL | LOCAL_C+T+O+AM_ADDR | O+CH+T+AM_ADDR | LOCAL_C+T+O+M_LOCAL	3.799451996	3	0.783372834	4.177789280	cth=>cth~CH+T@edit0+alias0.508 | o=>o~O@edit0+alias0.000 | m=>m~M_LOCAL@edit0+alias0.000	2.832263473	3	0.783372834	3.210600757	cth=>cth~CH+T@edit0+alias0.508 | o=>o~O@edit0+alias0.000 | m=>m~AM_ADDR@edit0+alias0.508	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	100	2	D_ADDR+AIR+Y+K+O+DA+S	3	D_ADDR+AIR+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+DA+S | AIR+Y+K+O+DA+S | D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S | D_ADDR+AIR+Y+K+O+D_ADDR+S | AIR+Y+K+O+D_ADDR+A_ADDR+S	6.860690711	8	2.441161427	7.904806853	d=>d~D_ADDR@edit0+alias0.000 | air=>air~AIR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | s=>s~S@edit0+alias0.000	4.408768813	7	2.238211806	5.332589994	d=>d~D_ADDR@edit0+alias0.000 | air=>air~AIR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | da=>da~DA@edit0+alias0.000 | s=>s~S@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	100	3	AL+EEE+K+Y	2	AL+EEE+K+Y	AL+EEE+K+Y | AL+CH+EEE+K+Y | AL+CH+E+EE+K+Y | AL+LOCAL_C+EEE+K+Y | AL+CH+EE+E+K+Y	7.017473657	5	1.403941525	7.657867810	dal=>dal~AL@edit0+alias0.273 | ch=>ch~CH@edit0+alias0.000 | eee=>eee~EEE@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	4.742049556	4	2.505500298	5.392599586	dal=>dal~AL@edit0+alias0.273 | cheee=>heee~EEE@edit1+alias0.250 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
dcheol	1	f66r	D_ADDR+CH+E+O+L	45	2	D_ADDR+CH+E+OL	2	D_ADDR+CH+E+OL	D_ADDR+CH+E+OL | D_ADDR+CH+E+O+L | CH+E+OL | D_ADDR+LOCAL_C+E+OL | D_ADDR+E+OL	3.420331655	5	2.064525277	4.126784183	d=>d~D_ADDR@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | l=>l~L@edit0+alias0.000	2.692504248	4	0.585412669	3.151045515	d=>d~D_ADDR@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
dsholdaiir	1	f66r	D_ADDR+SH+OL+D_ADDR+IIN+R	100	2	D_ADDR+SH+OL+D_ADDR+AIIN+R	2	D_ADDR+SH+OL+D_ADDR+AIIN+R	D_ADDR+SH+OL+D_ADDR+AIIN+R | D_ADDR+SH+OL+D_ADDR+IIN+R | SH+OL+D_ADDR+IIN+R | SH+OL+D_ADDR+AIIN+R | D_ADDR+SH+OL+IIN+R	6.088650108	6	1.868329017	6.875483010	d=>d~D_ADDR@edit0+alias0.000 | sh=>sh~SH@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | aii=>iin~IIN@edit2+alias0.000 | r=>r~R@edit0+alias0.000	6.041969112	5	2.342957530	6.776264865	d=>d~D_ADDR@edit0+alias0.000 | sh=>sh~SH@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000 | daii=>daii~D_ADDR+AIIN@edit0+alias0.531 | r=>r~R@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
dyky	1	f66r	D_ADDR+Y+K+Y	8	2	DY+K+Y	2	DY+K+Y	DY+K+Y | D_ADDR+Y+K+Y | Y+K+Y | D_ADDR+Y+K+Y+CH | CHD+Y+K+Y	2.572449924	4	1.106281145	3.083078038	d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.044238128	3	1.094432825	2.453681411	dy=>dy~DY@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
