scope	model_stage	segment_weight	boundary_weight	target_count	truth_generated_count	top1_exact_count	top2_exact_count	top3_exact_count	top5_exact_count	rank_sum	deepest_truth_rank
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	GDT519_ANCHOR_BASE	0.0	0.0	1558	1441	1082	1319	1377	1418	2152	23
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	SEGMENT_ECONOMY_005	0.05	0.0	1558	1441	1085	1319	1378	1417	2149	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	SEGMENT_ECONOMY_010	0.1	0.0	1558	1441	1087	1318	1378	1418	2145	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	SEGMENT_ECONOMY_015	0.15	0.0	1558	1441	1085	1315	1378	1418	2152	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	SEGMENT_010_BOUNDARY_005	0.1	0.05	1558	1441	1084	1320	1378	1416	2145	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	GDT520_SELECTED	0.1	0.1	1558	1441	1089	1321	1381	1416	2139	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	SEGMENT_010_BOUNDARY_020	0.1	0.2	1558	1441	1096	1324	1379	1417	2133	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	SEGMENT_010_BOUNDARY_050	0.1	0.5	1558	1441	1104	1327	1376	1414	2148	23
CURRENT_159_OLD26_TO_NEW4	GDT519_ANCHOR_BASE	0.0	0.0	159	159	138	153	157	158	192	8
CURRENT_159_OLD26_TO_NEW4	SEGMENT_ECONOMY_005	0.05	0.0	159	159	137	154	157	158	192	8
CURRENT_159_OLD26_TO_NEW4	SEGMENT_ECONOMY_010	0.1	0.0	159	159	139	153	157	158	191	8
CURRENT_159_OLD26_TO_NEW4	SEGMENT_ECONOMY_015	0.15	0.0	159	159	139	153	157	158	191	8
CURRENT_159_OLD26_TO_NEW4	SEGMENT_010_BOUNDARY_005	0.1	0.05	159	159	139	154	157	158	191	9
CURRENT_159_OLD26_TO_NEW4	GDT520_SELECTED	0.1	0.1	159	159	139	154	158	158	190	9
CURRENT_159_OLD26_TO_NEW4	SEGMENT_010_BOUNDARY_020	0.1	0.2	159	159	137	153	158	158	193	9
CURRENT_159_OLD26_TO_NEW4	SEGMENT_010_BOUNDARY_050	0.1	0.5	159	159	138	153	158	158	192	9
