surface	truth_recipe	gdt520_top1	boundary_position	visible_pair	visible_window	truth_open	top1_open	pair_open_count	pair_closed_count	window_open_count	window_closed_count	smoothed_open_probability
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	AIIN+CH+T+Y	1	ai	^aii	YES	NO	16	188	0	2	0.062326325
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	AIIN+CH+T+Y	2	ii	aiic	YES	NO	7	135	0	0	0.072131809
chady	CH+A_ADDR+DY	CH+DY	2	ha	chad	YES	NO	43	7	0	0	0.807237437
chap	CH+A_ADDR+P	CH+P	2	ha	chap	YES	NO	43	7	0	0	0.807237437
chekchy	CH+K+CH+Y	CH+K+Y	4	kc	ekch	YES	NO	56	7	1	2	0.624303995
chekchy	CH+K+CH+Y	CH+K+Y	5	ch	kchy	NO	YES	6	561	2	11	0.121665380
chekchy	CH+K+CH+Y	CH+K+Y	6	hy	chy$	YES	NO	74	46	35	19	0.645377032
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	8	da	odas	YES	NO	90	69	0	1	0.449436030
dalcheeeky	AL+CH+EEE+K+Y	AL+EEE+K+Y	5	he	chee	YES	NO	288	125	28	9	0.750552059
dcheol	D_ADDR+CH+E+O+L	D_ADDR+CH+E+OL	5	ol	eol$	YES	NO	13	263	7	28	0.185561492
dsholdaiir	D_ADDR+SH+OL+D_ADDR+IIN+R	D_ADDR+SH+OL+D_ADDR+AIIN+R	6	da	ldai	YES	NO	90	69	7	4	0.616478677
dyky	D_ADDR+Y+K+Y	DY+K+Y	1	dy	^dyk	YES	NO	102	175	1	0	0.497037955
kchody	K+CH+O+D_ADDR+Y	K+CH+O+DY	5	dy	ody$	YES	NO	102	175	16	31	0.342846858
kechody	K+E+CH+O+D_ADDR+Y	K+E+CH+O+DY	6	dy	ody$	YES	NO	102	175	16	31	0.342846858
keeol	K+EE+O+L	K+EE+OL	4	ol	eol$	YES	NO	13	263	7	28	0.185561492
keody	K+E+O+D_ADDR+Y	K+E+O+DY	4	dy	ody$	YES	NO	102	175	16	31	0.342846858
ld	L+D_ADDR	L	1	ld	^ld$	YES	NO	45	6	0	0	0.827453752
okedals	OK+AL+S	OK+E+D_ADDR+AL+S	3	ed	keda	NO	YES	139	55	3	1	0.728514286
okedals	OK+AL+S	OK+E+D_ADDR+AL+S	4	da	edal	NO	YES	90	69	4	4	0.520598346
psheody	P+SH+E+O+D_ADDR+Y	P+SH+E+O+DY	6	dy	ody$	YES	NO	102	175	16	31	0.342846858
qef	E+LOCAL_CHAR_F	CARRIER_Q+E+LOCAL_CHAR_F	1	qe	^qef	NO	YES	12	2	0	0	0.719080516
saiis	S+IIN+S	S+A_ADDR+IIN+S	2	ai	saii	NO	YES	16	188	1	3	0.171744744
