surface	truth_recipe	candidate_is_truth	gdt517_compiler_rank	gdt519_rank	gdt520_rank	candidate_recipe	gdt519_score	segment_count	boundary_nll	gdt520_score	alignment_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	1	AIIN+CH+T+Y	3.265456984	2	1.306405118	3.596097496	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	2	IIN+CH+T+Y	4.745169778	2	1.306405118	5.075810290	aii=>iin~IIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	3	AIIN+LOCAL_C+T+Y	5.829728202	3	3.500403249	6.479768527	aii=>aiin~AIIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	6.339041655	3	6.481642404	7.287205895	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | icthy=>cthy~CH+T+Y@edit1+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	5	A_ADDR+IIN+CH+T+Y	6.645035927	3	4.017423224	7.346778249	a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	6	IIN+LOCAL_C+T+Y	6.903975888	3	3.500403249	7.554016213	aii=>iin~IIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	7.455194731	3	3.860799680	8.141274699	ai=>ain~AIN@edit2+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	9	8	A_ADDR+AIIN+CH+T+Y	8.045718662	3	1.306405118	8.476359174	∅=>a~A_ADDR@edit2+alias0.000 | aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	8	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	7.760850276	4	6.571817785	8.818032055	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	8.690660875	4	6.571817785	9.747842653	a=>a~A_ADDR@edit0+alias0.000 | i=>in~IIN@edit2+alias0.534 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	19	11	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	8.800567524	4	8.675640535	10.068131578	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | ic=>c~LOCAL_C@edit1+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
