canonical_lemma	regex	legacy_relation	note
abmessen	\b(?:abmessen|abzumessen|miss)\b	UNCHANGED	measure
abteilen	\babteilen\b	UNCHANGED	divide
abnehmen	\babnehmen\b	UNCHANGED	remove
abfüllen	\babfüllen\b	UNCHANGED	fill
abkühlen	\b(?:abkühlen|kühle\b[^.;|]{0,80}\bab)\b	NARROWED_NO_KUEHLEN_OVERLAP	separable kühle ... ab belongs only here
abziehen	\babziehen\b	UNCHANGED	draw off
ansetzen	\b(?:ansetzen|setze\b[^.;|]{0,80}\ban)\b	EXPANDED_SETZE_AN	set or prepare
abschließen	\b(?:abschließen|schließe|schließen)\b	EXPANDED_SCHLIESSEN	finish or close
aufbereiten	\baufbereiten\b	NEW_MISSING_FORM	prepare
bereitstellen	\bbereitstellen\b	UNCHANGED	make ready
bereiten	\b(?:bereiten|bereite)\b	UNCHANGED	prepare
bilden	\bbilden\b	UNCHANGED	form
bringen	\bbringen\b	UNCHANGED	bring to stage
einweichen	\b(?:einweichen|weiche)\b	UNCHANGED	soak
erhitzen	\b(?:erhitzen|erhitze)\b	UNCHANGED	heat
fertigstellen	\b(?:fertigstellen|stelle\b[^.;|]{0,80}\bfertig)\b	NARROWED_STELLE_CONTEXT	finish
führen	\bführen\b	UNCHANGED	lead to stage
halten	\bhalten\b	UNCHANGED	hold
herstellen	\bherstellen\b	UNCHANGED	make
hinzugeben	\bhinzugeben\b	UNCHANGED	add
kühlen	\bkühlen\b	NARROWED_NO_KUEHLE_COLLISION	cool without separable ab
mischen	\bmischen\b	UNCHANGED	mix
nachtrocknen	\bnachtrocknen\b	UNCHANGED	dry again
nehmen	\b(?:nehmen|nimm)\b	UNCHANGED	take
ruhen	\bruhen\b	UNCHANGED	rest
trocknen	\b(?:trocknen|trockne)\b	UNCHANGED	dry
überführen	\büberführen\b	UNCHANGED	transfer
verwenden	\bverwenden\b	UNCHANGED	use
verbinden	\bverbinden\b	UNCHANGED	combine
zugeben	\bzugeben\b	UNCHANGED	add
zusammengeben	\bzusammengeben\b	UNCHANGED	combine
stellen	\bstellen\b	UNCHANGED	set
