token_order	harmonized_surface	mixed_surface	harmonized_card	mixed_card	intended_card	same_card_readback	normalized_form	portable_value_de
1	chor	or	MC080	MC080	MC080	YES	chor	Ansatz
2	chaiin	daiin	MC039	MC039	MC039	YES	aiin	Sollmaß
3	cheky	cheky	MC147	MC147	MC147	YES	cheky	kurz wärmen
4	cheol	ol	MC153	MC153	MC153	YES	cheol	weiter
5	chey	dy	MC123	MC123	MC123	YES	chey	dies
6	dchol	dchol	MC142	MC142	MC142	YES	dchol	vom vorigen
7	dchey	dchey	MC071	MC071	MC071	YES	dchey	Grundteil
8	daiin	daiin	MC039	MC039	MC039	YES	aiin	Sollmaß
9	dal	al	MC154	MC154	MC154	YES	al	dorthin
10	dar	dar	MC055	MC055	MC055	YES	char	davon
11	or	or	MC080	MC080	MC080	YES	chor	Ansatz
12	okain	okain	MC017	MC017	MC017	YES	okain	Anteil zugeben
13	okeey	qokeey	MC002	MC002	MC002	YES	okeey	lange einwirken
14	ol	ol	MC153	MC153	MC153	YES	cheol	weiter
15	olchedy	olchedy	MC028	MC028	MC028	YES	olchedy	weiterführen; Schluss
16	qokaiin	qokaiin	MC120	MC120	MC120	YES	okaiin	bemessen
17	qokal	okal	MC040	MC040	MC040	YES	okal	dorthin einsetzen
18	qokeey	qokeey	MC002	MC002	MC002	YES	okeey	lange einwirken
19	qoky	qoky	MC026	MC026	MC026	YES	choky	einsetzen
20	qokedy	qokedy	MC083	MC083	MC083	YES	qokedy	kurz einwirken; Schluss
21	saiin	saiin	MC039	MC039	MC039	YES	aiin	Sollmaß
22	shedal	shedal	MC113	MC113	MC113	YES	shedal	am Ziel absetzen
23	shecthy	shecthy	MC137	MC137	MC137	YES	shecthy	Kurzvorbereitung
24	shcthy	checthy	MC161	MC161	MC161	YES	checthy	bereit
25	schedy	schedy	MC025	MC025	MC025	YES	dchedy	überführen; Schluss
