surface	master_card_id	master_form	portable_value_de	is_master_form	normalization_rule	normalizes_to
qokeey	MC002	okeey	lange einwirken	NO	R1_Q_ACTIVE	okeey
qokchedy	MC005	okchedy	einführen; Schluss	NO	R1_Q_ACTIVE	okchedy
qokey	MC007	okey	kurz einwirken	NO	R1_Q_ACTIVE	okey
qotchor	MC013	otchor	Folgeansatz	NO	R1_Q_ACTIVE	otchor
qokain	MC017	okain	Anteil zugeben	NO	R1_Q_ACTIVE	okain
schedy	MC025	dchedy	überführen; Schluss	NO	R9_CHEDY_CLOSE	dchedy
tchedy	MC025	dchedy	überführen; Schluss	NO	R9_CHEDY_CLOSE	dchedy
oky	MC026	choky	einsetzen	NO	R10_PAIRED_ALLOGRAPH	choky
qoky	MC026	choky	einsetzen	NO	R1_Q_ACTIVE	choky
qolchedy	MC028	olchedy	weiterführen; Schluss	NO	R1_Q_ACTIVE	olchedy
soiiin	MC033	oiiin	Arbeitsstufe	NO	R10_PAIRED_ALLOGRAPH	oiiin
sho	MC034	cho	weitere Zutat	NO	R10_PAIRED_ALLOGRAPH	cho
shckhy	MC035	chckhy	durchleiten	NO	R10_PAIRED_ALLOGRAPH	chckhy
chaiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
daiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
saiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
taiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
qokal	MC040	okal	dorthin einsetzen	NO	R1_Q_ACTIVE	okal
solkeedy	MC045	olkeedy	lange sammeln; Schluss	NO	R10_PAIRED_ALLOGRAPH	olkeedy
dar	MC055	char	davon	NO	R7_AR_SOURCE	char
sar	MC055	char	davon	NO	R7_AR_SOURCE	char
qotchedy	MC057	otchedy	Folgetransfer; Schluss	NO	R1_Q_ACTIVE	otchedy
sotaiin	MC060	otaiin	Folgemaß	NO	R10_PAIRED_ALLOGRAPH	otaiin
shcthey	MC073	qcthey	kurz vorbereiten	NO	R10_PAIRED_ALLOGRAPH	qcthey
chedy	MC074	chdy	überführen	NO	R10_PAIRED_ALLOGRAPH	chdy
or	MC080	chor	Ansatz	NO	R6_OR_PREPARATION	chor
shor	MC080	chor	Ansatz	NO	R6_OR_PREPARATION	chor
sor	MC080	chor	Ansatz	NO	R6_OR_PREPARATION	chor
chty	MC086	chety	Anteil	NO	R10_PAIRED_ALLOGRAPH	chety
qotal	MC093	otal	danach dorthin	NO	R1_Q_ACTIVE	otal
qolkain	MC097	olkain	weiterer Anteil	NO	R1_Q_ACTIVE	olkain
okchy	MC103	chokchy	weiterbearbeiten	NO	R10_PAIRED_ALLOGRAPH	chokchy
qokchy	MC103	chokchy	weiterbearbeiten	NO	R1_Q_ACTIVE	chokchy
kain	MC105	chkain	Anteil	NO	R10_PAIRED_ALLOGRAPH	chkain
shey	MC119	cheey	Klarauszug	NO	R10_PAIRED_ALLOGRAPH	cheey
qokaiin	MC120	okaiin	bemessen	NO	R1_Q_ACTIVE	okaiin
chy	MC123	chey	dies	NO	R4_Y_REFERENT	chey
dy	MC123	chey	dies	NO	R4_Y_REFERENT	chey
shy	MC123	chey	dies	NO	R4_Y_REFERENT	chey
sy	MC123	chey	dies	NO	R4_Y_REFERENT	chey
y	MC123	chey	dies	NO	R4_Y_REFERENT	chey
shedy	MC128	cheedy	kurz absetzen; Schluss	NO	R9_CHEDY_CLOSE	cheedy
tedy	MC128	cheedy	kurz absetzen; Schluss	NO	R9_CHEDY_CLOSE	cheedy
schol	MC142	dchol	vom vorigen	NO	R10_PAIRED_ALLOGRAPH	dchol
chol	MC153	cheol	weiter	NO	R5_OL_CONTINUE	cheol
ol	MC153	cheol	weiter	NO	R5_OL_CONTINUE	cheol
qol	MC153	cheol	weiter	NO	R1_Q_ACTIVE	cheol
sol	MC153	cheol	weiter	NO	R5_OL_CONTINUE	cheol
tol	MC153	cheol	weiter	NO	R5_OL_CONTINUE	cheol
chal	MC154	al	dorthin	NO	R3_AL_TARGET	al
cheal	MC154	al	dorthin	NO	R3_AL_TARGET	al
dal	MC154	al	dorthin	NO	R3_AL_TARGET	al
sal	MC154	al	dorthin	NO	R3_AL_TARGET	al
tal	MC154	al	dorthin	NO	R3_AL_TARGET	al
olor	MC157	cholor	derselbe Ansatz	NO	R10_PAIRED_ALLOGRAPH	cholor
cthy	MC161	checthy	bereit	NO	R8_CTH_STATE	checthy
shcthy	MC161	checthy	bereit	NO	R8_CTH_STATE	checthy
