surface	master_card_id	master_form	portable_value_de	is_master_form	normalization_rule	normalizes_to
chdal	MC001	chdal	Zieltransfer	YES	MASTER_FORM	chdal
okeey	MC002	okeey	lange einwirken	YES	MASTER_FORM	okeey
qokeey	MC002	okeey	lange einwirken	NO	R1_Q_ACTIVE	okeey
sheedy	MC003	sheedy	Langabsetzen; Schluss	YES	MASTER_FORM	sheedy
ldy	MC004	ldy	abziehen; Schluss	YES	MASTER_FORM	ldy
okchedy	MC005	okchedy	einführen; Schluss	YES	MASTER_FORM	okchedy
qokchedy	MC005	okchedy	einführen; Schluss	NO	R1_Q_ACTIVE	okchedy
chokcheo	MC006	chokcheo	Auszug einsetzen	YES	MASTER_FORM	chokcheo
okey	MC007	okey	kurz einwirken	YES	MASTER_FORM	okey
qokey	MC007	okey	kurz einwirken	NO	R1_Q_ACTIVE	okey
lchy	MC008	lchy	Abführgut	YES	MASTER_FORM	lchy
chary	MC009	chary	Quellposten	YES	MASTER_FORM	chary
chodaly	MC010	chodaly	Zielzugabe	YES	MASTER_FORM	chodaly
lchedar	MC011	lchedar	Quellabführung	YES	MASTER_FORM	lchedar
dl	MC012	dl	Zusatz	YES	MASTER_FORM	dl
otchor	MC013	otchor	Folgeansatz	YES	MASTER_FORM	otchor
qotchor	MC013	otchor	Folgeansatz	NO	R1_Q_ACTIVE	otchor
chair	MC014	chair	Zuguss	YES	MASTER_FORM	chair
qokokchy	MC015	qokokchy	erneut einsetzen	YES	MASTER_FORM	qokokchy
rol	MC016	rol	Anschluss	YES	MASTER_FORM	rol
okain	MC017	okain	Anteil zugeben	YES	MASTER_FORM	okain
qokain	MC017	okain	Anteil zugeben	NO	R1_Q_ACTIVE	okain
qotedaiin	MC018	qotedaiin	Kurzsoll	YES	MASTER_FORM	qotedaiin
oldy	MC019	oldy	fertig	YES	MASTER_FORM	oldy
solkeey	MC020	solkeey	Langsammlung	YES	MASTER_FORM	solkeey
oltchy	MC021	oltchy	Folgebereitung	YES	MASTER_FORM	oltchy
chckhal	MC022	chckhal	Zielpassage	YES	MASTER_FORM	chckhal
kair	MC023	kair	Beckenlauf	YES	MASTER_FORM	kair
qokol	MC024	qokol	Weiter einsetzen	YES	MASTER_FORM	qokol
dchedy	MC025	dchedy	überführen; Schluss	YES	MASTER_FORM	dchedy
schedy	MC025	dchedy	überführen; Schluss	NO	R9_CHEDY_CLOSE	dchedy
tchedy	MC025	dchedy	überführen; Schluss	NO	R9_CHEDY_CLOSE	dchedy
choky	MC026	choky	einsetzen	YES	MASTER_FORM	choky
oky	MC026	choky	einsetzen	NO	R10_PAIRED_ALLOGRAPH	choky
qoky	MC026	choky	einsetzen	NO	R1_Q_ACTIVE	choky
oykchor	MC027	oykchor	Arbeitsansatz	YES	MASTER_FORM	oykchor
olchedy	MC028	olchedy	weiterführen; Schluss	YES	MASTER_FORM	olchedy
qolchedy	MC028	olchedy	weiterführen; Schluss	NO	R1_Q_ACTIVE	olchedy
lar	MC029	lar	Quellabzug	YES	MASTER_FORM	lar
lo	MC030	lo	Abzug	YES	MASTER_FORM	lo
dalchdy	MC031	dalchdy	Zieltransfer; Schluss	YES	MASTER_FORM	dalchdy
cheeky	MC032	cheeky	länger bearbeiten	YES	MASTER_FORM	cheeky
oiiin	MC033	oiiin	Arbeitsstufe	YES	MASTER_FORM	oiiin
soiiin	MC033	oiiin	Arbeitsstufe	NO	R10_PAIRED_ALLOGRAPH	oiiin
cho	MC034	cho	weitere Zutat	YES	MASTER_FORM	cho
sho	MC034	cho	weitere Zutat	NO	R10_PAIRED_ALLOGRAPH	cho
chckhy	MC035	chckhy	durchleiten	YES	MASTER_FORM	chckhy
shckhy	MC035	chckhy	durchleiten	NO	R10_PAIRED_ALLOGRAPH	chckhy
solkaiin	MC036	solkaiin	Sollsammlung	YES	MASTER_FORM	solkaiin
tchody	MC037	tchody	Endzugabe; Schluss	YES	MASTER_FORM	tchody
lshedy	MC038	lshedy	Waschgang; Schluss	YES	MASTER_FORM	lshedy
aiin	MC039	aiin	Sollmaß	YES	MASTER_FORM	aiin
chaiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
daiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
saiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
taiin	MC039	aiin	Sollmaß	NO	R2_AIIN_MEASURE	aiin
okal	MC040	okal	dorthin einsetzen	YES	MASTER_FORM	okal
qokal	MC040	okal	dorthin einsetzen	NO	R1_Q_ACTIVE	okal
okchol	MC041	okchol	Weiterverarbeitung	YES	MASTER_FORM	okchol
cheedar	MC042	cheedar	Quelltransfer	YES	MASTER_FORM	cheedar
shecthedchy	MC043	shecthedchy	Vorbereitungstransfer	YES	MASTER_FORM	shecthedchy
