path	role	sha256
transcription/voynich_zl3b_lines.tsv	mixed transcription queried only through explicit allow-list and f84/f84r rejection	7520dd4c11f4d23c8492e4b2a52cc0fcbda6d9fc88a96ead8f1c31081a4d7ed2
vmanus-exp	guarded query executable	53b69eec8412b54d1248fd52d91c06e0eabc7f436b9015d0cfdb0746606c1528
experiments/yolo/gdt791_thirty_page_visual_owner_spine/src/run.py	executable synthesis	7e1f625847db1246a5803c5617052d04bd57a0b58f2518103b5ab7ac17fbb5e3
experiments/yolo/gdt791_thirty_page_visual_owner_spine/src/PAGE_SELECTOR_SPECS.tsv	35-selector to 30-page mapping	69e5463f7ce6c22bd83fe35e4fdc0601731a3c470b5c510a15ac3befa1716bae
experiments/yolo/gdt791_thirty_page_visual_owner_spine/src/PAGE_TOPOLOGY_SPECS.tsv	neutral page-context and topology specification	b2a461be7705c6535e558cb2295d78f889bfe19b620377144cb5a779e03224c7
experiments/yolo/gdt791_thirty_page_visual_owner_spine/src/VISUAL_BATCH_SPECS.tsv	exact six-batch visual evidence union	1bd3b3ab365c920a1974902872d67ad550a6535f2dbb79a278fc71c258a0330a
experiments/yolo/gdt515_second_random_four_page_full_admission/artifacts/gdt515_5866_unified_group_ledger.tsv	complete running/local token partition	29782d5278d881bab5ef6483bc2deea8b94b0b5be54cfee63b2401627a5bfa46
experiments/yolo/gdt515_second_random_four_page_full_admission/artifacts/gdt515_5122_running_event_edition.tsv	running event to line-coordinate map	6615c3874d09a2e0043e56ac9d71317d138b8fb675cc56f4ab3d866f5b8fa346
experiments/yolo/gdt581_grammar_content_boundary_audit/REPORT.md	legacy grammar boundary interpretation and ceiling	2956f609b9a71cceb3411a011c9d4d09ef5467156c5e0ac4baf4dc11de4567c5
experiments/yolo/gdt581_grammar_content_boundary_audit/artifacts/gdt581_30_page_boundary_profiles.tsv	exact released page registry and page counts	9454fa327a53fda42bb97babb9cb59027f37707ded44ef16f73885dc5abefd3c
experiments/yolo/gdt581_grammar_content_boundary_audit/artifacts/gdt581_5122_content_ready_event_edition.tsv	complete running event identity and statement positions	ce94f0ec11cd226cf1946a6bc1fa21420bd97c311e35cdab164c46143bc35c43
experiments/yolo/gdt581_grammar_content_boundary_audit/artifacts/gdt581_793_content_ready_statement_edition.tsv	legacy statement segmentation	ce9f447afb45e171bf5baf026b85051c25e5e04fe9c67f0178ce0353ca1c3801
experiments/yolo/gdt581_grammar_content_boundary_audit/artifacts/gdt581_744_local_card_hosts.tsv	complete local label and marker layer	b4c55fc633e91d1cf4e26cae0f288bb6a4999133fd075846c19ac58f1528fbe3
experiments/yolo/gdt581_grammar_content_boundary_audit/artifacts/gdt581_4026_inherited_alias_edges.tsv	legacy inheritance graph	27203f5e2b3c76134eae63082be4a9a4739f8e9507ff599854b1c221e20cd295
experiments/yolo/gdt581_grammar_content_boundary_audit/artifacts/gdt581_5672_focus_reconciliation.tsv	focus governor and effective-host graph	03759c615dbd837202831bdc9df8999dafdd7480adc1b9e4a88c28c3699e5932
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/REPORT.md	deep panel-owner interpretation and ceiling	c613d9869015e996ed6e8a33463a041a453e468f439ce78c4fdaa54a0bbe0ee3
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/artifacts/GDT790_123_IMAGE_AWARE_LINES.tsv	deep line to record map	13e4cc2f4373948c2772991f608d8f3b442cdf501b7fc685519dc6830f2f5216
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/artifacts/GDT790_28_LABEL_TOKEN_ATLAS.tsv	deep label-token to component map	a63da4254d0e45565ef37e0b4429cc27b5041de47c10e2a870bdf764213ec931
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/artifacts/GDT790_13_PANEL_RECORD_BINDINGS.tsv	deep record to panel map	b83222ec244d206c55fc0d516148a31d776b3ee619ae7f622ff2085ae67870d3
experiments/yolo/gdt790_panel_owner_image_grammar_overlay/artifacts/GDT790_10_EXACT_LABEL_PROSE_BRIDGES.tsv	string-only reference edges	76b04676f7c6b8d6779047a9b7e1bd39c7b3d5c3226139fd4c0b29474a8b8634
experiments/yolo/sidequest_theory_candidates_v70/V70_IMAGE_MANIFEST.tsv	image provenance for V70 ten-page batch	2a191ec26c7eca88a6cdcd0c134dffacf412d8208e78fb93c8258aeaada3419f
experiments/yolo/sidequest_theory_candidates_v70/V70_R1_TEN_PAGE_VISUAL_INVENTORY.tsv	manual visual inventory for V70 ten-page batch	f50bc385a33c78a9cf8f56a9aa116fe9e2bc16d567eab1b8e59721f66810fbff
experiments/yolo/sidequest_semantic_four_page_reality_check_nine_hundred_ninth/NINE_HUNDRED_NINTH_VISUAL_INVENTORY.tsv	manual visual inventory for pass 909 batch	c8a44c32426fc185c414f37735b5be1849c1949ecfd48114e17cff6ecabeee9a
experiments/yolo/sidequest_semantic_four_fresh_page_transfer_one_thousand_third/PASS1003_VISUAL_OWNER_MAP.tsv	manual visual owner map for pass 1003 batch	43b41c432207927c945a5e2dbfaf7d563d6fc465c58604157469f9b6a4098da7
experiments/yolo/sidequest_semantic_four_page_template_transfer_one_thousand_eighth/PASS1008_IMAGE_MANIFEST.tsv	image provenance and visual inventory for pass 1008 batch	f1d2e5742b0ab2e5dc5384570d8476a1e8088d97a5103195d8348b14e837a216
experiments/yolo/gdt404_random_four_page_factorized_admission/artifacts/gdt404_image_first_owner_manifest.tsv	image-first owner inventory for GDT404 batch	f9334ba634e2997a04e3650fce908fa38e24d17bf8205b892889599c792605e6
experiments/yolo/gdt514_second_random_four_page_selection_owner_map/artifacts/gdt514_4_image_owner_map.tsv	image-owner inventory for GDT514 batch	54bf92fe548617a7bce8463bbcf3315f608edf919d4ef2d3064ed82500459a77
