page_ordinal	physical_page	register	topology_family	coarse_page_owner_id	coarse_visible_layout_de	visual_batch_id	visual_annotation_tier	deep_panel_status	semantic_ceiling
1	f1r	SOURCE_SECTION_T	TEXT_BLOCK	F1R_TEXT_PAGE	vier getrennte Prosabloecke ohne sicheren Gegenstandsbesitzer	GDT404_IMAGE_FIRST	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Textblockgrenzen; kein Bildobjekt als Textbedeutung
2	f4r	HERBAL	WHOLE_PLANT_ARTICLE	F4R_WHOLE_PLANT	aufrechte vieltriebige Ganzpflanze mit zwei Prosabloecken	GDT514_IMAGE_OWNER_MAP	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
3	f10r	HERBAL	WHOLE_PLANT_ARTICLE	F10R_WHOLE_PLANT	eine abgebildete Ganzpflanze mit umgebender Prosa	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
4	f11r	HERBAL	WHOLE_PLANT_ARTICLE	F11R_WHOLE_PLANT	eine abgebildete Ganzpflanze mit umgebender Prosa	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
5	f13r	HERBAL	WHOLE_PLANT_ARTICLE	F13R_WHOLE_PLANT	eine grosse Pflanze mit Text oberhalb und um den Pflanzenkoerper	PASS909_VISUAL_INVENTORY	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Stoff- oder Teilbedeutung
6	f17r	HERBAL	WHOLE_PLANT_ARTICLE	F17R_WHOLE_PLANT	ganze Pflanze plus ein lokaler Beschriftungslocus im Bluetenbereich	PASS1003_VISUAL_OWNER_MAP	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext und lokale Kennung; keine portable Wortbedeutung
7	f18r	HERBAL	WHOLE_PLANT_ARTICLE	F18R_WHOLE_PLANT	grosse ganze Bluetenpflanze ohne sichtbares Gefaess oder Werkzeug	PASS1008_IMAGE_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
8	f20v	HERBAL	WHOLE_PLANT_ARTICLE	F20V_WHOLE_PLANT	hohe verzweigte Ganzpflanze mit zwei Prosabloecken	GDT514_IMAGE_OWNER_MAP	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
9	f24v	HERBAL	WHOLE_PLANT_ARTICLE	F24V_WHOLE_PLANT	ganzseitige Pflanze mit zwei Prosabloecken	GDT404_IMAGE_FIRST	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
10	f31r	HERBAL	WHOLE_PLANT_ARTICLE	F31R_WHOLE_PLANT	ganzseitige verzweigte Pflanze mit getrennten oberen Textbloecken	GDT514_IMAGE_OWNER_MAP	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
11	f55v	HERBAL	WHOLE_PLANT_ARTICLE	F55V_WHOLE_PLANT	eine abgebildete Ganzpflanze mit umgebender Prosa	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
12	f56r	HERBAL	WHOLE_PLANT_ARTICLE	F56R_WHOLE_PLANT	eine abgebildete Ganzpflanze mit umgebender Prosa	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ganzpflanzenkontext; keine Wort-zu-Pflanzenteil-Zuweisung
13	f66r	SOURCE_SECTION_T	TEXT_BLOCK	F66R_TEXT_PAGE	mehrere Haupttextbloecke Randzeichen und separater spaeter Nachtrag	GDT514_IMAGE_OWNER_MAP	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Text- und Randzonengrenzen; keine semantische Anheftung
14	f67r2	CELESTIAL	RADIAL_ARRAY	F67R2_RADIAL_PAGE	zwei begrenzte kreisfoermige Diagrammfelder mit lokalen Schriftfeldern	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ring- und Einschlusskontext; keine kosmologische Wortbedeutung
15	f68r1	CELESTIAL	RADIAL_ARRAY	F68R1_RADIAL_PAGE	drei kreisfoermige Einheiten mit vielen sternartigen lokalen Anheftungen	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ring- und Anheftungskontext; keine Sternnamenbedeutung
16	f69v	CELESTIAL	RADIAL_ARRAY	F69V_RADIAL_PAGE	mehrere radiale Ring- und Sektorgruppen mit lokalen Schriftfeldern	V70_DIRECT_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Array-Mitgliedschaft; keine eindeutige individuelle Besitzrelation
17	f70v	CELESTIAL	RADIAL_ARRAY	F70V_RADIAL_PAGE	zwei Tierkreisrad-Selektionen mit konzentrischen Baendern und Figuren	PASS909_VISUAL_INVENTORY	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ring-Namensraum; keine Leserichtung oder Wortbedeutung
18	f71v	CELESTIAL	RADIAL_ARRAY	F71V_RADIAL_PAGE	konzentrische Ringgruppen mit Stern- und Figurenpositionen	PASS1003_VISUAL_OWNER_MAP	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ring-Namensraum; Naehe ist keine Einzelbesitzrelation
19	f72r	CELESTIAL	RADIAL_ARRAY	F72R_RADIAL_PAGE	mehrere konzentrische Tierkreisraeder mit Figuren Sternen und Platzetiketten	PASS1008_IMAGE_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Ring-Namensraum; keine Startmarke oder Richtung
20	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	F75R_POOL_PAGE	mehrere verbundene Figuren- Becken- und Laufzonen	PASS909_VISUAL_INVENTORY	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Verbindung und lokale Zonen; keine Fluss- oder Prozessrichtung
21	f76r	BIOLOGICAL	TEXT_BLOCK	F76R_TEXT_PAGE	dichte Textseite mit vier sichtbaren Absaetzen und kleinen Abschnittsmarkern	PASS1008_IMAGE_REVIEW	DIRECT_PAGE_CONTEXT	PANEL_NOT_DEEPLY_ANNOTATED	Textblockgrenzen; keine erfundene Bildstation
22	f77r	BIOLOGICAL	POOL_APPARATUS_NETWORK	F77R_APPARATUS_PAGE	drei tief annotierte Bildpanels mit Bogen Koerper- und Beckenanordnung	PASS1003_VISUAL_OWNER_MAP	DEEP_PANEL_COMPONENT	GDT790_DEEP_PANEL_RECORDS	Panel Komponenten und Labelzonen; keine Flussrichtung oder Einzelwortbedeutung
