census_id	surface	family	level	channel	historical_mode	observed_occurrences	observed_pages	observed_anchor_signatures	complete_occurrences	complete_pages	complete_anchor_signatures	window_recurrence_gate	complete_template_gate	template_backed_total_occurrences	w3_only_complete_occurrences	w3_only_complete_pages	w3_only_complete_anchor_signatures	w3_only_complete_template_gate	unresolved_slot_class	historical_basis	lexeme_or_plaintext_credit
G744-C001	lain	SCALAR	II	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE	1	1	1	1	1	1	0	0	0	1	1	1	0	INGREDIENT_OR_COMMAND_CONTENT	command/process passage plus ingredient, preparation, part or amount	0
G744-C002	lain	SCALAR	II	PRESCRIPTIVE_PROCESS	PRESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_PROCESS_COMPLEMENT	command/process passage without a locally typed object	0
G744-C003	lain	SCALAR	II	DESCRIPTIVE_MATERIA	DESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state plus substance, preparation or plant-part carrier	0
G744-C004	lain	SCALAR	II	DESCRIPTIVE_QUALITY	DESCRIPTIVE	1	1	1	1	1	1	0	0	0	1	1	1	0	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state with lemma and carrier still open	0
G744-C005	lain	SCALAR	II	QUANTITY_OR_PART	AMBIGUOUS_BOUND_FIELD	0	0	0	0	0	0	0	0	0	0	0	0	0	QUANTITY_REFERENT_OR_PART_NAME	amount or part can belong to recipe quantity or descriptive plant-part fields	0
G744-C006	lain	SCALAR	II	MATERIA_OR_INGREDIENT	AMBIGUOUS_RECORD_CHANNEL	1	1	1	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_INGREDIENT	material, preparation or inherited whole-ingredient role alone does not distinguish description from prescription	0
G744-C007	lain	SCALAR	II	OPEN	OPEN	1	1	1	1	1	1	0	0	0	1	1	1	0	UNASSIGNED	no W2/W3 historical-channel anchor survives the clipped field	0
G744-C008	lcheedy	STATE_RESULT	II	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE	1	1	1	1	1	1	0	0	0	1	1	1	0	INGREDIENT_OR_COMMAND_CONTENT	command/process passage plus ingredient, preparation, part or amount	0
G744-C009	lcheedy	STATE_RESULT	II	PRESCRIPTIVE_PROCESS	PRESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_PROCESS_COMPLEMENT	command/process passage without a locally typed object	0
G744-C010	lcheedy	STATE_RESULT	II	DESCRIPTIVE_MATERIA	DESCRIPTIVE	1	1	1	1	1	1	0	0	0	0	0	0	0	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state plus substance, preparation or plant-part carrier	0
G744-C011	lcheedy	STATE_RESULT	II	DESCRIPTIVE_QUALITY	DESCRIPTIVE	0	0	0	0	0	0	0	0	0	1	1	1	0	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state with lemma and carrier still open	0
G744-C012	lcheedy	STATE_RESULT	II	QUANTITY_OR_PART	AMBIGUOUS_BOUND_FIELD	0	0	0	0	0	0	0	0	0	0	0	0	0	QUANTITY_REFERENT_OR_PART_NAME	amount or part can belong to recipe quantity or descriptive plant-part fields	0
G744-C013	lcheedy	STATE_RESULT	II	MATERIA_OR_INGREDIENT	AMBIGUOUS_RECORD_CHANNEL	0	0	0	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_INGREDIENT	material, preparation or inherited whole-ingredient role alone does not distinguish description from prescription	0
G744-C014	lcheedy	STATE_RESULT	II	OPEN	OPEN	4	4	1	4	4	1	0	0	0	4	4	1	0	UNASSIGNED	no W2/W3 historical-channel anchor survives the clipped field	0
G744-C015	lcheol	STATE	NA	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_COMMAND_CONTENT	command/process passage plus ingredient, preparation, part or amount	0
G744-C016	lcheol	STATE	NA	PRESCRIPTIVE_PROCESS	PRESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_PROCESS_COMPLEMENT	command/process passage without a locally typed object	0
G744-C017	lcheol	STATE	NA	DESCRIPTIVE_MATERIA	DESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state plus substance, preparation or plant-part carrier	0
G744-C018	lcheol	STATE	NA	DESCRIPTIVE_QUALITY	DESCRIPTIVE	2	2	2	2	2	2	1	1	2	2	2	2	1	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state with lemma and carrier still open	0
G744-C019	lcheol	STATE	NA	QUANTITY_OR_PART	AMBIGUOUS_BOUND_FIELD	0	0	0	0	0	0	0	0	0	0	0	0	0	QUANTITY_REFERENT_OR_PART_NAME	amount or part can belong to recipe quantity or descriptive plant-part fields	0
G744-C020	lcheol	STATE	NA	MATERIA_OR_INGREDIENT	AMBIGUOUS_RECORD_CHANNEL	0	0	0	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_INGREDIENT	material, preparation or inherited whole-ingredient role alone does not distinguish description from prescription	0
G744-C021	lcheol	STATE	NA	OPEN	OPEN	6	6	1	5	5	1	0	0	0	5	5	1	0	UNASSIGNED	no W2/W3 historical-channel anchor survives the clipped field	0
G744-C022	lkaiin	SCALAR	III	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE	5	4	5	3	2	3	1	1	5	2	2	1	0	INGREDIENT_OR_COMMAND_CONTENT	command/process passage plus ingredient, preparation, part or amount	0
G744-C023	lkaiin	SCALAR	III	PRESCRIPTIVE_PROCESS	PRESCRIPTIVE	1	1	1	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_PROCESS_COMPLEMENT	command/process passage without a locally typed object	0
G744-C024	lkaiin	SCALAR	III	DESCRIPTIVE_MATERIA	DESCRIPTIVE	11	8	11	6	5	6	1	1	11	7	6	7	1	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state plus substance, preparation or plant-part carrier	0
G744-C025	lkaiin	SCALAR	III	DESCRIPTIVE_QUALITY	DESCRIPTIVE	4	3	4	2	2	2	1	1	4	2	2	2	1	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state with lemma and carrier still open	0
G744-C026	lkaiin	SCALAR	III	QUANTITY_OR_PART	AMBIGUOUS_BOUND_FIELD	2	2	2	1	1	1	1	0	0	1	1	1	0	QUANTITY_REFERENT_OR_PART_NAME	amount or part can belong to recipe quantity or descriptive plant-part fields	0
G744-C027	lkaiin	SCALAR	III	MATERIA_OR_INGREDIENT	AMBIGUOUS_RECORD_CHANNEL	1	1	1	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_INGREDIENT	material, preparation or inherited whole-ingredient role alone does not distinguish description from prescription	0
G744-C028	lkaiin	SCALAR	III	OPEN	OPEN	18	10	1	16	10	1	0	0	0	16	10	1	0	UNASSIGNED	no W2/W3 historical-channel anchor survives the clipped field	0
G744-C029	lkain	SCALAR	II	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE	6	5	6	3	3	3	1	1	6	2	2	2	1	INGREDIENT_OR_COMMAND_CONTENT	command/process passage plus ingredient, preparation, part or amount	0
G744-C030	lkain	SCALAR	II	PRESCRIPTIVE_PROCESS	PRESCRIPTIVE	3	3	3	2	2	2	1	1	3	2	2	2	1	INGREDIENT_OR_PROCESS_COMPLEMENT	command/process passage without a locally typed object	0
G744-C031	lkain	SCALAR	II	DESCRIPTIVE_MATERIA	DESCRIPTIVE	5	4	5	3	3	3	1	1	5	3	3	3	1	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state plus substance, preparation or plant-part carrier	0
G744-C032	lkain	SCALAR	II	DESCRIPTIVE_QUALITY	DESCRIPTIVE	2	2	2	1	1	1	1	0	0	1	1	1	0	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state with lemma and carrier still open	0
G744-C033	lkain	SCALAR	II	QUANTITY_OR_PART	AMBIGUOUS_BOUND_FIELD	2	2	2	2	2	2	1	1	2	2	2	2	1	QUANTITY_REFERENT_OR_PART_NAME	amount or part can belong to recipe quantity or descriptive plant-part fields	0
G744-C034	lkain	SCALAR	II	MATERIA_OR_INGREDIENT	AMBIGUOUS_RECORD_CHANNEL	1	1	1	0	0	0	0	0	0	0	0	0	0	LEMMA_OR_INGREDIENT	material, preparation or inherited whole-ingredient role alone does not distinguish description from prescription	0
G744-C035	lkain	SCALAR	II	OPEN	OPEN	8	5	1	6	4	1	0	0	0	7	5	1	0	UNASSIGNED	no W2/W3 historical-channel anchor survives the clipped field	0
G744-C036	lkar	SCALAR	I	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE	1	1	1	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_COMMAND_CONTENT	command/process passage plus ingredient, preparation, part or amount	0
G744-C037	lkar	SCALAR	I	PRESCRIPTIVE_PROCESS	PRESCRIPTIVE	0	0	0	0	0	0	0	0	0	0	0	0	0	INGREDIENT_OR_PROCESS_COMPLEMENT	command/process passage without a locally typed object	0
G744-C038	lkar	SCALAR	I	DESCRIPTIVE_MATERIA	DESCRIPTIVE	3	3	3	2	2	2	1	1	3	2	2	2	1	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state plus substance, preparation or plant-part carrier	0
G744-C039	lkar	SCALAR	I	DESCRIPTIVE_QUALITY	DESCRIPTIVE	4	4	4	2	2	2	1	1	4	2	2	2	1	LEMMA_OR_DESCRIPTIVE_CONTENT	quality or state with lemma and carrier still open	0
G744-C040	lkar	SCALAR	I	QUANTITY_OR_PART	AMBIGUOUS_BOUND_FIELD	2	2	2	2	2	2	1	1	2	2	2	2	1	QUANTITY_REFERENT_OR_PART_NAME	amount or part can belong to recipe quantity or descriptive plant-part fields	0
