candidate_id	gdt744_field_id	patch_id	page	locus	target_surface	target_ordinal	field_channel	field_confidence_tier	candidate_ordinal	side	distance	candidate_surface	candidate_slot_class	default_role_de	positive_evidence	counterevidence	literal_identity	confirmed_lexeme	component_export_credit	candidate_deck_occurrences	candidate_deck_pages	cross_page_content_identity_gate
G744-U001	G744-F0019	G738-P0019	f103r	f103r.9	lkaiin	6	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	L	5	oteeos	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U002	G744-F0020	G738-P0020	f103r	f103r.52	lkaiin	9	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	7	L	2	chepchy	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U003	G744-F0020	G738-P0020	f103r	f103r.52	lkaiin	9	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	10	R	1	otalsy	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U004	G744-F0021	G738-P0021	f104r	f104r.24	lkaiin	7	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	5	L	2	olkeeor	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U005	G744-F0021	G738-P0021	f104r	f104r.24	lkaiin	7	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	4	L	3	okechol	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U006	G744-F0022	G738-P0022	f104r	f104r.32	lkaiin	8	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	7	L	1	shoda	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U007	G744-F0022	G738-P0022	f104r	f104r.32	lkaiin	8	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	4	L	4	otechshy	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U008	G744-F0022	G738-P0022	f104r	f104r.32	lkaiin	8	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	11	R	3	alchd	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U009	G744-F0025	G738-P0025	f104v	f104v.13	lkaiin	8	PRESCRIPTIVE_RECIPE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	3	L	5	qoeechdy	INGREDIENT_OR_COMMAND_CONTENT	Zutat-/Anweisungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
G744-U010	G744-F0025	G738-P0025	f104v	f104v.13	lkaiin	8	PRESCRIPTIVE_RECIPE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	9	R	1	cheetar	INGREDIENT_OR_COMMAND_CONTENT	Zutat-/Anweisungsinhalt offen	exact-reader V99R7 unknown inside a boundary-clipped, complete-template-backed historical field	cell identity and exact slot ownership remain unresolved; field membership does not identify a word	OPEN	0	0	1	1	0
