reader_id	selection_role	gdt744_field_id	page	locus	target_surface	target_ordinal	field_channel	field_confidence_tier	boundary_state	eva_microfield	gdt743_target_render_de	safe_microfield_render_de	gdt744_field_card_de	combined_target_field_render_de	unresolved_candidate_surfaces	information_added	reader_ceiling	manual_coherence	manual_information_gain	manual_note
G744-R01	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0011	f107v	f107v.12	lcheol	2	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R1|R=CURRENT_CLOSE_INCLUDED_R4	qokeey ⟦lcheol⟧ chol kaiin olkal shedy	Statusfeld; Zustandsachse offen; Träger offen	heiß am Ende des Grades; ⟦Statusfeld; Zustandsachse offen; Träger offen⟧; [chol:?]; heiß, Grad III; [olkal:?]; [shedy:?]	Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=heiß; Statusfeld; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Statusfeld; Zustandsachse offen; Träger offen ⟦Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=heiß; Statusfeld; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent DESCRIPTIVE_QUALITY record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_ROLE_ONLY	1	Quality-description channel is clearer than the inherited open status field; lemma and carrier remain visibly open.
G744-R02	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0037	f107r	f107r.49	lkaiin	7	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	L=PRIOR_CLOSE_BEFORE_R4|R=STRICT_INITIAL_BEFORE_R3	chkain okair chtl ⟦lkaiin⟧ okair chtl	Mengen-/Portionsstufe III der Zubereitungsfraktion	[chkain:?]; heiße Drogenfraktion II im Ansatz; [chtl: Lemma-/Beschreibungsinhalt offen]; ⟦Mengen-/Portionsstufe III der Zubereitungsfraktion⟧; heiße Drogenfraktion II im Ansatz; [chtl: Lemma-/Beschreibungsinhalt offen]	Materia-medica-Beschreibung: Lemma offen; Träger=Stoff+Zubereitung+Teil/Portion; Qualität=heiß; Skala/Stufe III; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Mengen-/Portionsstufe III der Zubereitungsfraktion ⟦Materia-medica-Beschreibung: Lemma offen; Träger=Stoff+Zubereitung+Teil/Portion; Qualität=heiß; Skala/Stufe III; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	chtl	adds recurrent DESCRIPTIVE_MATERIA record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_TWO_LAYER	1	The target contributes amount/portion level III while the surrounding field contributes hot material/preparation context; neither layer is collapsed into a substance name.
G744-R03	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0020	f103r	f103r.52	lkaiin	9	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	L=PRIOR_CLOSE_BEFORE_R5|R=LINE_EDGE_AFTER_R1	qokeey qoty chepchy qopchey ⟦lkaiin⟧ otalsy	Skalarstufe III; Dimension offen	heiß am Ende des Grades; [qoty:?]; [chepchy: Lemma-/Beschreibungsinhalt offen]; [qopchey:?]; ⟦Skalarstufe III; Dimension offen⟧; [otalsy: Lemma-/Beschreibungsinhalt offen]	Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=heiß; Skala/Stufe III; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe III; Dimension offen ⟦Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=heiß; Skala/Stufe III; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	chepchy|otalsy	adds recurrent DESCRIPTIVE_QUALITY record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_ROLE_ONLY	1	The hot descriptive channel narrows the field while both visible content candidates remain unidentified.
G744-R04	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0028	f105v	f105v.37	lkaiin	5	PRESCRIPTIVE_RECIPE	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R4|R=CURRENT_CLOSE_INCLUDED_R3	yshey ckhy sheo qoeeo ⟦lkaiin⟧ chs okol tchdy	Verarbeitungsgang III der Zubereitung	[yshey:?]; [ckhy:?]; Feuchtzubereitung; zweite Feuchtzubereitung; ⟦Verarbeitungsgang III der Zubereitung⟧; [chs:?]; [okol:?]; [tchdy:?]	Rezept-/Verarbeitungsfeld: Zutat offen; Verarbeitungsabschnitt belegt; Träger=Zubereitung; Mengenmarker=nicht belegt; Bedingung=feucht/eingeweicht; Ziel=Skala/Stufe III; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Verarbeitungsgang III der Zubereitung ⟦Rezept-/Verarbeitungsfeld: Zutat offen; Verarbeitungsabschnitt belegt; Träger=Zubereitung; Mengenmarker=nicht belegt; Bedingung=feucht/eingeweicht; Ziel=Skala/Stufe III; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent PRESCRIPTIVE_RECIPE record channel and locates the unresolved INGREDIENT_OR_PROCESS_PASS_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_PROCESS_PASS	1	PASS is correctly rendered as a processing section rather than an unsupported imperative; the ingredient remains open.
G744-R05	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0064	f107r	f107r.24	lkain	6	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	L=STRICT_INITIAL_BEFORE_R5|R=STRICT_INITIAL_BEFORE_R5	alchky okil cheol kair ⟦lkain⟧ qokeeo kair dar aiinpchod	Skalarstufe II; Dimension offen	[alchky:?]; [okil:?]; [cheol:?]; heiße Drogenfraktion II; ⟦Skalarstufe II; Dimension offen⟧; heißer Ansatz, Bindungsstufe II; heiße Drogenfraktion II; [dar:?]; [aiinpchod:?]	Materia-medica-Beschreibung: Lemma offen; Träger=Stoff+Zubereitung+Teil/Portion; Qualität=heiß; Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II; Dimension offen ⟦Materia-medica-Beschreibung: Lemma offen; Träger=Stoff+Zubereitung+Teil/Portion; Qualität=heiß; Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent DESCRIPTIVE_MATERIA record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_OPEN_TARGET_AXIS	1	The target axis remains open while the field supplies a hot material/preparation/part description.
G744-R06	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0081	f116r	f116r.29	lkain	7	PRESCRIPTIVE_PROCESS	F3_RECURRENT_COMPLETE_CONTEXT	L=STRICT_INITIAL_BEFORE_R3|R=CURRENT_CLOSE_INCLUDED_R5	chl l ⟦lkain⟧ chear aiin chl l keedy	Skalarstufe II; Dimension offen	trocknen; [l:?]; ⟦Skalarstufe II; Dimension offen⟧; [chear:?]; [aiin:?]; [chl:?]; [l:?]; heiß am Ende des Grades, abgeschlossen	Rezeptanweisung: Stoff offen; Vorgang belegt; Bedingung=heiß+trocken; Ziel=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II; Dimension offen ⟦Rezeptanweisung: Stoff offen; Vorgang belegt; Bedingung=heiß+trocken; Ziel=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent PRESCRIPTIVE_PROCESS record channel and locates the unresolved INGREDIENT_OR_PROCESS_COMPLEMENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_PROCESS_FIELD	1	A process field is supported without inventing the processed substance.
G744-R07	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0075	f111v	f111v.40	lkain	2	PRESCRIPTIVE_RECIPE	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R1|R=CURRENT_CLOSE_INCLUDED_R4	ykeeey ⟦lkain⟧ chckhy chokain chckhal sheckhedy	Skalarstufe II [Carrier=PREPARATION; Dimension offen; provisorischer R4-Lauf]	[ykeeey: Zutat-/Anweisungsinhalt offen]; ⟦Skalarstufe II [Carrier=PREPARATION; Dimension offen; provisorischer R4-Lauf]⟧; [chckhy:?]; erhitze den Trockenansatz auf Stufe II; trockenes Arzneikompositum, Rohstoffform I; feuchtes Arzneikompositum in der Gradmitte, abgeschlossen	Rezeptanweisung: Zutat offen; Vorgang belegt; Träger=Stoff+Zubereitung; Mengenmarker=nicht belegt; Bedingung=heiß+trocken+feucht/eingeweicht (konkurrierende Anker); Ziel=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II [Carrier=PREPARATION; Dimension offen; provisorischer R4-Lauf] ⟦Rezeptanweisung: Zutat offen; Vorgang belegt; Träger=Stoff+Zubereitung; Mengenmarker=nicht belegt; Bedingung=heiß+trocken+feucht/eingeweicht (konkurrierende Anker); Ziel=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	ykeeey	adds recurrent PRESCRIPTIVE_RECIPE record channel and locates the unresolved INGREDIENT_OR_COMMAND_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_CHANNEL_WITH_QUALITY_CONFLICT	1	The recipe channel is useful, but dry and moist anchors compete and are explicitly left uncollapsed.
G744-R08	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0073	f111v	f111v.35	lkain	4	QUANTITY_OR_PART	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R3|R=STRICT_INITIAL_BEFORE_R1	oain okaiin chcthy ⟦lkain⟧	Skalarstufe II; Dimension offen	zwei Teile Ansatz; [okaiin:?]; [chcthy:?]; ⟦Skalarstufe II; Dimension offen⟧	Mengen-/Teilfeld: Bezugsstoff offen; Marker=Teil/Portion; Träger=Zubereitung+Teil/Portion; Wert=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II; Dimension offen ⟦Mengen-/Teilfeld: Bezugsstoff offen; Marker=Teil/Portion; Träger=Zubereitung+Teil/Portion; Wert=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent QUANTITY_OR_PART record channel and locates the unresolved QUANTITY_REFERENT_OR_PART_NAME slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_QUANTITY_PART	1	The part/portion field is concrete at role level and does not invent its referent.
G744-R09	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0088	f103r	f103r.5	lkar	6	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	L=PRIOR_CLOSE_BEFORE_R3|R=CURRENT_CLOSE_INCLUDED_R3	oteey qokey ⟦lkar⟧ sheeky okalor shedy	Heißgrad I	kalter Ansatz am Ende des Grades; heiß in der Mitte des Grades; ⟦Heißgrad I⟧; [sheeky:?]; [okalor: Lemma-/Beschreibungsinhalt offen]; [shedy:?]	Materia-medica-Beschreibung: Lemma offen; Träger=Zubereitung; Qualität=heiß+kalt (konkurrierende Anker); Skala/Stufe I; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Heißgrad I ⟦Materia-medica-Beschreibung: Lemma offen; Träger=Zubereitung; Qualität=heiß+kalt (konkurrierende Anker); Skala/Stufe I; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	okalor	adds recurrent DESCRIPTIVE_MATERIA record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_CHANNEL_WITH_QUALITY_CONFLICT	1	The descriptive channel holds, but hot and cold anchors compete and are explicitly flagged.
G744-R10	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0092	f104v	f104v.18	lkar	4	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R3|R=STRICT_INITIAL_BEFORE_R3	dcheeoy qokaiiin qokaiin ⟦lkar⟧ ytaiin otcheochy	Kältegrad I	[dcheeoy: Lemma-/Beschreibungsinhalt offen]; [qokaiiin:?]; [qokaiin:?]; ⟦Kältegrad I⟧; Eintrag: kalt, Stufe III; [otcheochy:?]	Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=kalt; Skala/Stufe I; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Kältegrad I ⟦Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=kalt; Skala/Stufe I; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	dcheeoy	adds recurrent DESCRIPTIVE_QUALITY record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_ROLE_ONLY	1	A cold descriptive degree field is locally readable while the lemma stays open.
