candidate_component	current_best_constraint	why_not_closed	working_default_until_better_model	prediction_that_could_improve_it
CHEO_IN_CHOKCHEO	wahrscheinlich Hilfsmedium	keine unabhängige CHEO-Grundkarte	Hilfsmedium als Ganzkarte	Eine zweite CHEO-Karte mit anderer Hülle müsste denselben Stoffwert tragen
LDDY_IN_QOKYLDDY	wahrscheinlich lokale Abschluss- oder Auflagekonstruktion	nur ein Beleg	Ansatz anwenden und Schritt schließen als Ganzkarte	Ein weiterer LDDY-Träger müsste Abschluss und Richtung wiederholen
DAL_LO_SSHK_HULLS	lokale Hüllen der CHD~CHED-Familie	je nur ein Beleg und kein stabiler Gegenkontrast	keine eigene Stammübersetzung	Ein Minimalpaar gegen dieselbe CHD~CHED-Basis wäre nötig
D_S_T_SURFACES	Renderer- oder Hüllvarianten ohne getrennte Bedeutung	dchedy, schedy und tchedy sind dieselbe anonyme Karte	Arbeitsbewegung abschließen	Nur getrennte exakte Karten mit konstant verschiedener Funktion dürften daraus neue Kerne machen
GLOBAL_E	kein globaler Stamm; nur positionsgebundener Grad	E-Zahl wechselt bei identischen Karten und gehört in CHED/CKHE zum Kern	außerhalb lizenzierter Raster nicht zerlegen	Eine zweite vollständige Grundkern×E/EE/EEE×Y/DY-Tafel wäre nötig
AR_EXACT_CONTENT	Herkunft oder Quellrichtung	wenige starke Komposita	von oder aus	Mehrere unabhängige OK/CHED-Paare müssten dieselbe Quellrichtung zeigen
AIR_EXACT_CONTENT	laufendes Medium oder Strömungsbahn	nur fünf Ereignisse und Stoffart nicht sichtbar	Flüssigkeitslauf	Eine Nichtwasser-Anwendung würde Bahn statt Flüssigkeit wählen; ein klarer Wasserbesitzer würde Wasser stärken
MEMORIZED_WHOLE_CARDS	84 unveränderte Alt-Ganzkarten plus chokcheo als neu explizit opake Ganzkarte bleiben reine Ganzwerte	ihre sichtbaren Teilstücke übertragen keine einheitliche Bedeutung; qokylddy ist zusätzlich nur außen zerlegt	jeweilige kurze Ganzkartenglosse	Nur wiederkehrende Minimalpaare dürfen einzelne Stücke künftig zu Stämmen befördern
GLOBAL_P	P+CHED points inward or toward a receiver in two fixed cards	no independent P card or reversed minimal pair	use only inside pchedy and pchedal	another P+CHED argument pair should retain receiver direction
GLOBAL_SH	two learned graded cards encode resting	ch/sh/t vary inside one exact card and SH is not independently recurrent	rest only in the selected SH-rest family	an independent SH base with the same rest contrast
GLOBAL_CHK	cheky/cheeky encode short versus longer warmth	five events and no independent CHK card	warmth only in the selected pair	another CHK argument should preserve warmth
GLOBAL_SOLK	three local cards behave as a graded collection-station family	all support is owner-local	collection station only for these three cards	a second owner should reuse the same open/terminal grades
GENERAL_OK_REDUPLICATION	qokokchy is read as repeat rather than intensity	one doubled-OK card	repeat only in qokokchy	a second OK+OK minimal pair should repeat its single-OK operation
GENERAL_OK_AL_Y_ORDER	qokaly composes as put current item at target	one card and no reversed argument-order pair	use the selected whole construction	another OK+AL+Y or OK+Y+AL card should clarify binding order
