row_role	joint_tuple_id	surface_display	event_ids	pages	records	statement_ids	selected_segmentation	component_contribution	selected_default_de	statement_consequence_de	decision_status	evidence	limit
TARGET	65df3cd9e59060042d47	pchedy	E221	f82r	B2	B2-S016	P+CHED+DY	P=ein/hinein/zum Empfaenger; CHED=umsetzen/fuehren; DY=Schluss	in den Empfaenger einfuehren; Schluss	B2-S016 endet nun mit: in den Empfaenger einfuehren und schliessen	SELECTED_CONTEXT_BOUND	Aussagefinal nach Quelle/Mass/Kontakt; Gegenrichtung zu L+CHED	Ein Einzelbeleg; keine sichtbare Pfeilrichtung
TARGET	ba540da978ea132f6da5	pchedal	E248	f83r	B3	B3-S010	P+CHED+AL	P=ein/hinein/zum Empfaenger; CHED=umsetzen/fuehren; AL=Ziel/Stelle	Einfuellstelle	B3-S010 beginnt nun: Einfuellstelle; danach kurz einwirken lassen und abschliessen	SELECTED_CONTEXT_BOUND	Direkt der unteren korbartigen Gefaessstation zugeordnet; AL liefert Stelle	Ein Einzelbeleg; Gefaessbild beweist keine Richtung
TARGET	1322bc176443fc2a8a86	qokokchy	E090	f56r	H5	H5-S003	Q_RENDERER+OK+OK+CHY[Y]	Q ohne Semantik; doppelter OK-Aufruf=Wiederholung; CHY/Y=aktueller offener Ansatz	aktuellen Ansatz erneut in Arbeit nehmen	H5-S003 endet nun: den aktuellen Ansatz erneut in Arbeit nehmen	SELECTED_PARTIAL_COMPOSITION	Bekanntes OK+CHY kommt dreimal vor; hier nach grob zerreiben	OK+OK nur einmal; keine allgemeine Reduplikationsregel
TARGET	4a7a6326ac95a8809302	qokaly	E177	f82r	B2	B2-S005	Q_RENDERER+OK+AL+Y	Q ohne Semantik; OK=in Gang setzen; AL=Ziel/Stelle; Y=offen/aktiv	an der Zielstelle anwenden; offen lassen	B2-S005 beginnt nun: an der Zielstelle anwenden und offen lassen	SELECTED_COMPOSITION	QOKAL=OK+AL viermal auf drei Seiten; finales Y entspricht Zustandsslot	Y-Sachinhalt bleibt bild- oder exemplarabhaengig
CONTRAST	ba8142680851f24c9ff2	lched	E174	f82r	B2	B2-S004	L+CHED	L=ab/aus; CHED=umsetzen/fuehren	abfuehren oder weiterleiten	keine Aenderung	RETAINED_CONTRAST	Nichtterminaler Ausgangskontrast zu P+CHED	Ein Einzelbeleg
CONTRAST	433713294b25b0a12f66	lchedal	E147	f81v	B1	B1-S014	L+CHED+AL	L=ab/aus; CHED=umsetzen/fuehren; AL=Stelle	Ablassstelle	keine Aenderung	RETAINED_CONTRAST	AL lokalisiert die L-Transferstelle	Ein Einzelbeleg
CONTRAST	0f15effeca7ab10bb026	lchedar	E215	f82r	B2	B2-S016	L+CHED+AR	L=ab/aus; CHED=umsetzen/fuehren; AR=aus/von	aus einer Quelle oder Station abfuehren	keine Aenderung	RETAINED_CONTRAST	AR macht die Ausgangsrichtung explizit	Ein Einzelbeleg
CONTRAST	de7321bface5628e35d6	lchedy	E210|E235|E246|E262|E269|E282|E345|E357	f82r|f83r	B2|B3|B4	B2-S013|B3-S003|B3-S008|B3-S015|B3-S020|B3-S023|B4-S012|B4-S015	L+CHED+DY	L=ab/aus; CHED=umsetzen/fuehren; DY=Schluss	abfuehren; Schluss	keine Aenderung	RETAINED_STRONG_CONTRAST	Acht terminale Belege stützen L als Ausgangsrichtung	Konkretes Medium bleibt offen
CONTRAST	28ffbc88b97772a75f1e	olchedy|qolchedy	E126|E168|E242	f81v|f82r|f83r	B1|B2|B3	B1-S005|B2-S002|B3-S006	OL+CHED+DY	OL=mit Vorigem weiter; CHED=umsetzen/fuehren; DY=Schluss	weiterfuehren; Schluss	keine Aenderung	RETAINED_TEMPORAL_CONTRAST	Drei Seiten/Records; OL liefert Fortsetzung, keine Richtung	Lokale Ausfuehrung offen
CONTRAST	4de12cf322dfb76ded1e	otchedy|qotchedy	E281|E301	f83r	B3	B3-S022|B3-S030	OT+CHED+DY	OT=danach/erneut; CHED=umsetzen/fuehren; DY=Schluss	danach oder erneut umsetzen; Schluss	keine Aenderung	RETAINED_TEMPORAL_CONTRAST	OT liefert Sequenz, keine Richtung	Nur ein Record
CONTRAST	07913ef9b1fb773cd325	okchedy|qokchedy	E151|E264	f81v|f83r	B1|B3	B1-S015|B3-S016	OK+CHED+DY	OK=in Gang setzen; CHED=umsetzen/fuehren; DY=Schluss	Ansatz umsetzen; Schluss	keine Aenderung	RETAINED_ACTIVATION_CONTRAST	OK aktiviert den CHED-Arbeitsgang, ohne Richtungswert	Konkrete Operation offen
CONTRAST	87411f84689b4f93a303	qokchdy	E131|E284|E363	f81v|f83r	B1|B3|B5	B1-S007|B3-S025|B5-S002	Q_RENDERER+OK+CHD+DY	Q ohne Semantik; OK=in Gang setzen; CHD=umsetzen/fuehren; DY=Schluss	Ansatz umsetzen; Schluss	keine Aenderung	RETAINED_ACTIVATION_CONTRAST	Drei Belege der kuerzeren CHD-Realisierung	E-Differenz traegt keine sichere Operation
