event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	cthoor=säubern	säubern	säubern	Säubere ihn	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	ar=aus	aus	aus demselben Ansatz	Führe ihn als denselben Arbeitsansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	air=fließende Flüssigkeit	fließende Flüssigkeit	Quellwasser	Gieße Quellwasser darüber	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	otytchol=ersten Auszug auffangen	ersten Auszug auffangen	ersten Auszug auffangen	Fange den ersten Auszug in einem Glas auf	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	OK+Y_REFERENT	OK=in Arbeit setzen; Y=laufender Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	LOCAL_SEQUENCE	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Gebrauche diesen Auszug innerlich	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	OK+Y	E-Grad=UNMARKED; Zustand=OPEN_ACTIVE	aktiven Ansatz einsetzen oder anwenden	Aktiven Ansatz einsetzen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Nimm davon das örtlich vorgeschriebene kleine Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
