component_id	visible_realizations	working_meaning_de	status	licensed_environment	evidence_summary	important_limit
OK	ok|qok|chok	etwas in den laufenden Arbeitsgang setzen	FIXED_IN_WORKING_MODEL	vor bekannten Argumenten oder Arbeitskernen	23 Typen und 79 Ereignisse; 22 Typen mit explizitem OK-Beitrag, davon einer mit opakem Innenrest	Kein selbständiges Stoffwort und nicht immer deutsch als dasselbe Verb zu übersetzen
AIN	ain	abgegrenzte Portion	FIXED_IN_WORKING_MODEL	Grundkarte und OK+AIN	17 sichtbare Ereignisse in der Kandidatenfamilie	Nicht mit AIIN zusammenziehen
AIIN	aiin	vorgeschriebenes oder normiertes Maß	FIXED_IN_WORKING_MODEL	Grundkarte und OK+AIIN	39 sichtbare Kandidatenereignisse; starke Grund- und OK-Reihe	Einige längere aiin-haltige Karten bleiben Ganzwörter
AL	al	Ziel oder Stelle	FIXED_IN_WORKING_MODEL	Grundkarte und rechte Argumentposition	40 sichtbare Kandidatenereignisse; OK+AL sechsmal	Nicht jedes interne al ist dieser Stamm
AR	ar	Herkunft oder Quellrichtung; von oder aus	PROVISIONAL_THIN	freie AR-Karte und rechte Argumentposition	14 Kandidatenereignisse; OK+AR nur einmal	Material und räumliche Richtung bleiben offen
AIR	air	laufendes Medium oder Strömungsbahn	PROVISIONAL_THIN	chair|kair|okair|schedair	fünf Kartenereignisse; vier kompositionell passend	Nicht zwingend Wasser und nicht oben
OL	ol|chol|qol|sol|tol	weiter oder mit dem Vorigen	FIXED_IN_WORKING_MODEL	Grundkarte sowie OK+OL und OL+CHED	starke wiederkehrende Grundkarte; OK+OL und drei OL+CHED-Ereignisse	Kein Öl-Stamm
OT	ot|qot|sot	danach oder nächster	FIXED_IN_WORKING_MODEL	vor Maß, Ziel, CHED und E-Grad	OT+CHED dreimal; OT-E-Grad sechsmal	Keine Gleichheit oder bestimmte Zeitdauer im Stamm
CHD_CHED	chd|ched	umsetzen oder in einen Arbeitsgang führen	FIXED_IN_WORKING_MODEL	nackte CHD~CHED-Karte und produktive linke/rechte Erweiterungen	21 exakte Typen und 47 Ereignisse	Rühren, Ablassen oder Seihen sind mögliche lokale Ausführungen, nicht der Stammwert
L_CHED	l+chd|l+ched	ab- oder ausführen	FIXED_CONTEXT_BOUND	nur als linke Hülle der CHD~CHED-Familie	lched, lchedal, lchedar und lchedy zusammen elf Ereignisse	Kein globales L-Wort außerhalb dieser Familie
P_CHED	p+ched	ein- oder hineinführen; zum Empfänger führen	FIXED_CONTEXT_BOUND	nur pchedal und pchedy	pchedy and pchedal form the receiver-side contrast to L+CHED	two events only; no global P word or visible arrow direction
E_GRADE_1	e vor Y oder DY	kurzer oder direkter Kontakt; gewöhnliche Haltephase	FIXED_CONTEXT_BOUND	OK+E+Y/DY; provisorisch OT, SH und CHK	zehn starke OK-Rasterereignisse	Kein globales E-Morphem; in CHED und CKHE Teil des Kerns
E_GRADE_2	ee vor Y oder DY	anhaltender Kontakt oder verlängerte Haltephase	FIXED_CONTEXT_BOUND	OK+EE+Y/DY; provisorisch OT, SH und CHK	siebzehn starke OK-Rasterereignisse	Keine genaue Zeit und keine sichere Temperatur
E_GRADE_3	eee vor DY	vollständiger oder durchgehender Kontakt	PROVISIONAL_THIN	OK+EEE+DY	ein gerichteter Beleg	Oberste Stufe noch sehr dünn
Y_REFERENT	y; licensed chy wrappers	aktuell gemeinter Arbeitsposten; dies oder es	FIXED_CONTEXT_BOUND	OK-, OT- and CHD~CHED families audited in Y_CHY_PARADIGM.tsv	58 productive events in 12 exact cards, separated from 65 terminal counterevents and five KY boundaries	Y does not mean open; the owner supplies the concrete noun and a terminal construction supplies closure
DY_TERMINAL_CONSTRUCTION	dy only in licensed exact-card terminal frames	lokalen Arbeitsschritt abschließen	FIXED_CONTEXT_BOUND	recognized OK-E and wrapped CHD~CHED terminal constructions	terminal behavior remains stable after separating Y as a referent	not a global D+Y decomposition; bare chdy|chedy remains nonterminal
Q_RENDERER	q	keine eigene Bedeutung	NO_SEMANTIC_VALUE	exakte Karten mit und ohne q	mehrere identische Kartenfamilien wechseln q	Kann eine Schreib- oder Eintrittsrealisierung sein
CH_RENDERER	ch|sh|d|t in identischer exakter Karte	keine automatisch eigene Bedeutung	NO_SEMANTIC_VALUE	nur wo dieselbe anonyme Kartenidentität die Formen verbindet	chedy|chdy und dchedy|schedy|tchedy	Nicht auf alle sichtbaren ch-, sh-, d- oder t-Anfänge verallgemeinern
SH_REST_GRADED_FAMILY	cheedy|shedy|tedy; sheedy	ruhen oder nachwirken lassen	FIXED_LEARNED_FAMILY	the two exact graded whole cards only	12/12 short-grade events and 1/1 long-grade event are field- and statement-final	not a global SH letter root
CHK_WARMTH_PAIR	cheky; cheeky	kurz erwärmen; länger warm halten	FIXED_LEARNED_PAIR	the exact cheky/cheeky pair only	five open/internal events share an E/EE grade contrast	KY is not Y; chkeey/chkeedy are different cards
OLK_SOLK_COLLECTION_STATION	solkey; solkeey; olkeedy|solkeedy	lokale Sammel- oder Empfangsstelle	FIXED_LOCAL_FAMILY	right S-run/multiport station on the fixed Biological pages	two open grades and three terminal events at the same local owner class	weak and owner-local; not a portable global SOLK word
OK_REDUPLICATION	OK+OK in qokokchy	erneut in Arbeit nehmen	FIXED_SINGLE_CARD	qokokchy only	the repeated operator precedes the same wrapped Y referent	one card; not a general reduplication rule
OK_AL_Y_ORDER	OK+AL+Y in qokaly	den laufenden Posten an der Zielstelle einsetzen	FIXED_SINGLE_CARD	qokaly only	all three components already have selected bounded contributions	one card; argument order is not independently replicated
