page	locus	namespace_id	visible_kind	visible_owner	group_count	surface_sequence	atom_sequence	portable_card_reading_de	spoken_instruction_de	answer_slot_de	orientation_rule	crosspage_rule
f67r2	f67r2.1	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_01	3	ykshy s aram	YK | S | AR+AM	bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.2	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_02	3	ykecho ols eesydy	YK+HO | OL | EE+DY	bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.3	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_03	3	ey shs okar	SEL+Y | SH+S | OK+AR	aktuelle Auswahl; Nebenwert halten; Quelle aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuelle Auswahl; Nebenwert halten; Quelle aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.4	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_04	2	shekchy sykos	SH+KCH+Y | YK+OS	aktuellen Posten beim Bearbeiten halten; Klassenfeld	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Posten beim Bearbeiten halten; Klassenfeld. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.5	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_05	2	ykeody okchy	YK+E+OD+Y | KCH	diesen Klassenposten kurz markieren; diesen Diagrammposten setzen	Lies diesen sichtbaren Posten nur im gewählten Rad: diesen Klassenposten kurz markieren; diesen Diagrammposten setzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.6	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_06	1	dchetay	D+CH+T+A+Y	fester aktueller Hauptphasen-Zustand	Lies diesen sichtbaren Posten nur im gewählten Rad: fester aktueller Hauptphasen-Zustand. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.7	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_07	3	ykchy kchey ykchys	YK+KCH | KCH | YK+KCH	bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.8	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_08	1	chkchdar	KCH+AR	Bearbeiten + Quelle	Lies diesen sichtbaren Posten nur im gewählten Rad: Bearbeiten + Quelle. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.9	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_09	2	ykar ykaly	YK+AR | YK+AL	bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.10	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_10	3	lkshy kchy okar	SH+Y | KCH | OK+AR	aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
f67r2	f67r2.11	F67_RIGHT_WHEEL_NS	RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_11	3	chky chykchs chy	CH+K+Y | KCH | NONE	aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	LOKALER_BEDINGUNGS_ODER_NACHSCHLAGEWERT	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
