word	value	german	origin	positions
aiin	THREE	drei	NEW_GUESS	52
araiin	REACH	erreiche	NEW_GUESS	74
char	AGREES_IN	stimmt überein hinsichtlich	NEW_GUESS	77
chdy	CONSISTS_OF	besteht aus	NEW_GUESS	42
checkho	CYCLIC	kreisförmig	NEW_GUESS	13
chedar	BY	gemäß	NEW_GUESS	21,69
chedy	DAYLIGHT	helle Tageszeit	NEW_GUESS	7,58
cheey	NEXT_MEMBER	nächstes Glied der genannten Folge	RAW379_HYPOTHESIS	22,47
chey	FROM	von	NEW_GUESS	28,53
chopchedy	RETURN_INTERVAL	Wiederkehrintervall	NEW_GUESS	5
daiin	TWENTY_FOUR	vierundzwanzig	NEW_GUESS	41
dal	THEN_AFTER	danach	NEW_GUESS	68
dam	REMAINDER	Rest	NEW_GUESS	55
dar	MEMBER	Glied	NEW_GUESS	12
deeedy	SELECT	wähle	NEW_GUESS	30
dshedy	NOW	nun	NEW_GUESS	56
dy	THIS	dieser: typabhängiger Rückverweis	NEW_GUESS	40,43
kam	BOUNDARY	Grenze	NEW_GUESS	8
kedy	COUNT_WITH	mit einrechnen	NEW_GUESS	34
kolchdy	DEFINE	als Definition	NEW_GUESS	1
l	IN	in	NEW_GUESS	72
lchedy	NIGHT	Nacht	RAW379_HYPOTHESIS	35,45
lchey	NOT	nicht	NEW_GUESS	23
lchy	RULERSHIP	Herrschaftszuordnung	NEW_GUESS	80
lkeedy	ASSIGNED_TO	zugeordnet zu	NEW_GUESS	38
lolol	RETURN_START	zum Anfang zurückkehren	NEW_GUESS	14
lteedy	UNTIL	bis	NEW_GUESS	61
okain	METHOD	Rechnung	NEW_GUESS	76,78
okal	AFTER	nach	NEW_GUESS	15
okarchedy	LAST_MEMBER	letztes Glied	NEW_GUESS	16
ol	REMOVE	ziehe ab	NEW_GUESS	50
olchedy	START	Beginn	NEW_GUESS	18,33
olchy	NAME	Name	NEW_GUESS	26
olqo	SUCCESSIVE	aufeinanderfolgend	NEW_GUESS	11
or	REDUCE	vereinfache	NEW_GUESS	49
ory	SAME	gleich	NEW_GUESS	75
otain	SKIP	überspringe	NEW_GUESS	65
otedy	ORDER	Folge	NEW_GUESS	9
polched	OTHER_METHOD	andere Rechnung	NEW_GUESS	64
qodched	SEVEN	sieben	NEW_GUESS	10
qokaiin	RULER	herrschender Planet	RAW379_HYPOTHESIS	32,39
qokain	INITIAL_POINT	Ausgangspunkt	NEW_GUESS	29
qokal	DERIVED	abgeleitet	NEW_GUESS	27
qokedy	DAY	vollständige Tag-Nacht-Einheit	RAW379_HYPOTHESIS	2,36,60
qokeedy	HOUR	eine gezählte Stunde	RAW379_HYPOTHESIS	19,37,44,46,62,79
qokeeey	WHOLE	ganz	NEW_GUESS	59
qokeey	FIRST	erster	NEW_GUESS	31,70
qopol	SPAN	Zeitspanne	NEW_GUESS	3
qotal	INCLUDES	schließt ein	NEW_GUESS	6
qotedor	COMPLETE	abgeschlossen	NEW_GUESS	4
qotedy	ADVANCE	weiterschreiten	NEW_GUESS	20
qoteey	COUNT_THROUGH	durchzählen	NEW_GUESS	57
r	THEREFORE	daher	NEW_GUESS	25,48
ra	DAY_COUNT	Tageszählung	NEW_GUESS	54
ralchey	AFTER_LAST_HOUR	nach der letzten Stunde	NEW_GUESS	63
s	CYCLE	Kreis	NEW_GUESS	51,73
shedy	ONE_MEMBER	ein Glied	NEW_GUESS	66,67
solarol	RESET	neu ansetzen	NEW_GUESS	24
tcheol	WHEN	wenn	NEW_GUESS	17
ykeey	UNSKIPPED	nicht übersprungen	NEW_GUESS	71
